"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"R3388_YZ_39",3722.05302013116,209.8090101857,2148.77118967965,6392.97599563563,7461.3414856501,1715.45888663993,7783.79844083181,4150.53501586935,-2837.73842712168,2928.24300192731,7723.41400471711,135.150225192415,-32.0100295418653,577.79186057818
"R3388_YZ_40",3405.971169347,251.961551230547,2274.63184892683,7033.42827448492,7629.7596200748,1679.83903109223,8137.43924253103,4108.72345391865,-2852.08322721123,2659.2049362509,8011.0646944363,144.510423853622,97.1232673348423,564.660665595144
"R3388_YZ_41",3825.32808714309,162.919065652514,2196.99601965966,6418.59619180942,7494.78636773477,1722.37254485515,7640.91992966514,4148.02048439909,-2938.52911117324,2877.75862840135,7568.43614777511,151.209284749315,-85.7114619145164,574.18768101666
"R3388_YZ_42",3639.47457649876,283.972225837447,2360.77204083978,6395.09301631228,6901.9740918712,1751.70370664788,7554.91640380948,4213.67859168342,-2845.26569823036,2903.1535718654,7511.23202471626,116.795590720923,-82.8915588497412,585.0740647968
"R3388_YZ_43",3799.67778007945,257.236526627376,2389.5762126675,6460.91634608814,6932.34854417086,1710.15184857133,7733.07303242892,4201.83527017035,-2914.08984491291,2906.03179642211,7722.65740434415,129.570824969535,-64.801299470872,588.730913392262
"R3388_YZ_44",3664.71332158535,161.623131305837,2224.56726548759,6768.27322289314,6882.60208642624,1626.02701991692,7475.00068898019,4070.79660410931,-2903.01664249326,2883.36893436599,7456.66936199132,120.86485620754,-17.1593520975683,587.319370489808
"R3388_YZ_47",3733.59318397873,227.797483375923,2182.90463240468,6549.86294474478,6595.51455911084,1809.19999975717,7237.00438436217,4114.65307988026,-2917.36237576255,2921.04810984296,7148.08123329917,120.094396476064,-47.2327825433342,560.228104743442
"R3388_YZ_48",3729.87516994571,286.468925350401,2418.11312835427,6808.1797640405,6758.38442737315,1674.55797877907,8219.27651713185,4072.61319631398,-2813.75204360751,3224.55317950409,8187.00395127175,119.32624878572,-53.6004350254254,600.043538079365
"R3388_YZ_49",3696.38927476552,249.403419859835,2124.0542558195,6748.77309882492,7819.85955609737,1743.47595928386,7502.98374875826,4134.62574870355,-2885.13938036377,2862.41287101043,7472.36118199681,136.496597453665,-57.7156328037319,611.157093414873
"R3388_YZ_50",3643.36823809597,269.808180328577,2206.15082927845,6488.24857427249,7474.81114864577,1738.08442609855,7862.26463827559,4223.23409823741,-2925.29514773302,2844.90440205278,7836.6900508183,147.744904084033,-27.0690171053631,583.514832749157
"R3388_YZ_51",3667.44643990093,275.74216293594,2157.08426728893,6470.45150541155,7473.75052790607,1809.43714187501,7745.85556689416,4156.96715791592,-2953.8062930909,2720.54366687131,7786.83360930816,115.095245174301,50.2229703509765,562.003832624287
"R3388_YZ_52",3680.7697684335,278.281712517077,2281.16541329187,6651.31664501763,7819.50888187934,1704.32425283585,7883.94389317579,4155.17424082259,-3007.95833126559,3106.91282847902,7893.98567725156,149.02326328112,-44.014390091704,587.965801441013
"R3388_YZ_54",3740.59237226234,338.854970808394,2246.77665263821,6738.80466375402,7031.93637185254,1877.13201668166,8104.94817179517,4110.16890599551,-2873.32721279522,3059.95631926881,8088.27643557362,149.663685754729,-1.19552738706076,564.757475780428
"R3388_YZ_55",3532.32511862352,289.007417419961,2265.82255988223,6816.36340171066,7326.56194128058,1677.8874517217,8103.17428666071,4094.31992749077,-2862.2678705409,2945.56022143038,8110.35932701986,140.927489899007,10.0414630883952,596.232230669396
