Image Tag,Analysis Region,Total Cells,Hoechst 33342  ,Rhodamine 6G  ,Cy5  ,5-FAM  ,Texas Red  ,Hoechst 33342 Positive Nuclei Cells,Negative Nuclei Cells,Rhodamine 6G Positive Cytoplasm Cells,Cy5 Positive Cytoplasm Cells,5-FAM Positive Cytoplasm Cells,Texas Red Positive Cytoplasm Cells,Negative Cytoplasm Cells,VISTA+CD11b+ Cells,VISTA+CD11b+PanCKp Cells,VISTA+CD11b+PanCKn Cells,VISTA+CD68+ Cells,VISTA+CD68+PanCKp Cells,VISTA+CD68+PanCKn Cells,CD11b+CD68+ Cells,CD11b+CD68+PanCKp Cells,CD11b+CD68+PanCKn Cells,VISTA+PanCKp Cells,VISTA+PanCKn Cells,CD11b+PanCKp Cells,CD11b+PanCKn Cells,CD68+PanCKp Cells,CD68+PanCKn Cells,% Hoechst 33342  ,% Rhodamine 6G  ,% Cy5  ,% 5-FAM  ,% Texas Red  ,% Hoechst 33342 Positive Nuclei Cells,% Rhodamine 6G Positive Cytoplasm Cells,% Cy5 Positive Cytoplasm Cells,% 5-FAM Positive Cytoplasm Cells,% Texas Red Positive Cytoplasm Cells,% VISTA+CD11b+  ,% VISTA+CD11b+PanCKp  ,% VISTA+CD11b+PanCKn  ,% VISTA+CD68+  ,% VISTA+CD68+PanCKp  ,% VISTA+CD68+PanCKn  ,% CD11b+CD68+  ,% CD11b+CD68+PanCKp  ,% CD11b+CD68+PanCKn  ,% VISTA+PanCKp  ,% VISTA+PanCKn  ,% CD11b+PanCKp  ,% CD11b+PanCKn  ,% CD68+PanCKp  ,% CD68+PanCKn  ,Hoechst 33342 Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Cytoplasm Intensity,Cy5 Avg Positive Cytoplasm Intensity,5-FAM Avg Positive Cytoplasm Intensity,Texas Red Avg Positive Cytoplasm Intensity,Avg Cell Area (μm²),Avg Cytoplasm Area (μm²),Avg Nucleus Area (μm²),Avg Nucleus Perimeter (μm),Avg Nucleus Roundness,Area Analyzed (μm²)
NVA_PREDICT-COMBO2-Prod_19T049519-7.LP-01-61.C2.czi,Layer 1,435522,435522,119,669,228096,6847,435522,0,119,669,228096,6847,200815,24,0,24,21,3,18,1,0,18,813,6034,79,40,90,579,100,0.027324,0.153609,52.373016,1.572136,100,0.027324,0.153609,52.373016,1.572136,0.005511,0,0.005511,0.004822,0.000689,0.004133,0.00023,0,0.004133,0.186673,1.385464,0.018139,0.009184,0.020665,0.132944,31013.66211,450.486725,6466.531738,3239.713135,394.172089,84.321526,42.631836,41.689693,29.462864,0.713426,58332968
NVA_PREDICT-COMBO2-Prod_19T049519-7.LP-01-61.C2.czi,Layer 2,73640,73640,305,3827,26831,14919,73640,0,305,3827,26831,14919,34731,154,107,47,226,43,183,1,0,183,6156,8763,251,54,336,3491,100,0.414177,5.196904,36.43536,20.259371,100,0.414177,5.196904,36.43536,20.259371,0.209125,0.145301,0.063824,0.306898,0.058392,0.248506,0.001358,0,0.248506,8.359587,11.899783,0.340847,0.07333,0.456274,4.74063,18973.63672,411.718994,10029.61426,2590.952393,432.645905,95.979004,61.898117,34.080883,26.468836,0.723411,37933156
NVA_PREDICT-COMBO2-Prod_19T047780-3.LP-01-72.C2.czi,Layer 1,22175,22175,626,351,16193,6112,22175,0,626,351,16193,6112,2785,135,107,28,164,60,104,0,0,104,3010,3102,598,28,152,199,100,2.822999,1.582864,73.023674,27.562571,100,2.822999,1.582864,73.023674,27.562571,0.608794,0.482525,0.126268,0.739572,0.270575,0.468997,0,0,0.468997,13.573844,13.988726,2.696731,0.126268,0.685457,0.897407,16493.6543,406.763245,5991.719727,4721.368164,552.476196,89.598953,52.908325,36.690624,27.519579,0.716219,3258092.5
NVA_PREDICT-COMBO2-Prod_19T046509-0.LP-01-63.C2.czi,Layer 1,23230,23230,131,1652,15286,4897,23230,0,131,1652,15286,4897,4596,52,39,13,947,384,563,4,2,563,1976,2921,118,13,662,990,100,0.563926,7.111494,65.802841,21.0805,100,0.563926,7.111494,65.802841,21.0805,0.223848,0.167886,0.055962,4.076625,1.653035,2.42359,0.017219,0.00861,2.42359,8.506242,12.574258,0.507964,0.055962,2.849763,4.261731,11995.88574,391.080322,7074.037598,5147.890625,513.982361,97.440865,59.941479,37.499386,27.775356,0.717876,5918467.5
NVA_PREDICT-COMBO2-Prod_19T045605-12.LP-01-57.C2.czi,Layer 1,596242,596242,228,7261,296691,68172,596242,0,228,7261,296691,68172,238038,55,42,13,574,103,471,2,2,471,11542,56630,203,25,1919,5342,100,0.03824,1.217794,49.760166,11.433613,100,0.03824,1.217794,49.760166,11.433613,0.009224,0.007044,0.00218,0.09627,0.017275,0.078995,0.000335,0.000335,0.078995,1.935791,9.497822,0.034047,0.004193,0.321849,0.895945,28515.96289,403.143677,5542.48584,5481.289551,390.804932,93.039604,56.027355,37.012249,27.935678,0.707076,101421264
NVA_PREDICT-COMBO2-Prod_19T045605-12.LP-01-57.C2.czi,Layer 2,65555,65555,388,5499,36711,10607,65555,0,388,5499,36711,10607,20836,117,104,13,412,196,216,3,3,216,7089,3518,372,16,796,4703,100,0.591869,8.388376,56.000305,16.180307,100,0.591869,8.388376,56.000305,16.180307,0.178476,0.158645,0.019831,0.62848,0.298986,0.329494,0.004576,0.004576,0.329494,10.813821,5.366486,0.567462,0.024407,1.214248,7.174129,20702.70313,402.370117,10404.77148,3381.383545,453.653046,103.898392,64.671303,39.227093,28.622002,0.711484,38717492
NVA_PREDICT-COMBO2-Prod_19T043874-1.LP-01-59.C2.czi,Layer 1,42080,42080,458,536,12689,28516,42080,0,458,536,12689,28516,7959,442,213,229,434,129,305,25,15,305,7128,21388,227,231,189,347,100,1.088403,1.273764,30.154469,67.766159,100,1.088403,1.273764,30.154469,67.766159,1.05038,0.506179,0.544201,1.031369,0.306559,0.72481,0.059411,0.035646,0.72481,16.939163,50.826996,0.539449,0.548954,0.449144,0.82462,45877.80469,401.079163,5007.336914,2861.366943,709.998291,107.517845,52.828247,54.689598,34.031155,0.70504,6715264.5
NVA_PREDICT-COMBO2-Prod_19T043359-1.LP-01-54.C2.czi,Layer 1,1266870,1266870,252,644,353506,8992,1266870,0,252,644,353506,8992,904378,146,14,132,36,1,35,1,0,35,634,8358,68,184,33,611,100,0.019892,0.050834,27.903889,0.709781,100,0.019892,0.050834,27.903889,0.709781,0.011524,0.001105,0.010419,0.002842,0.000079,0.002763,0.000079,0,0.002763,0.050045,0.659736,0.005368,0.014524,0.002605,0.048229,22701.88867,458.592163,4971.611816,2522.672119,587.75116,92.630066,42.441334,50.188736,32.652779,0.721925,204243984
NVA_PREDICT-COMBO2-Prod_19T042132-10.LP-01-49.C2.czi,Layer 1,443254,443254,40,1853,282290,19803,443254,0,40,1853,282290,19803,141887,3,0,3,114,20,94,1,0,94,2146,17657,26,14,350,1503,100,0.009024,0.418045,63.685833,4.467641,100,0.009024,0.418045,63.685833,4.467641,0.000677,0,0.000677,0.025719,0.004512,0.021207,0.000226,0,0.021207,0.484147,3.983495,0.005866,0.003158,0.078961,0.339083,17321.38867,397.961121,5024.747559,4239.525879,401.379211,89.036774,45.928448,43.10833,30.162651,0.71097,56350500
NVA_PREDICT-COMBO2-Prod_19T042132-10.LP-01-49.C2.czi,Layer 2,124433,124433,184,9527,48072,11108,124433,0,184,9527,48072,11108,61430,76,41,35,151,25,126,1,0,126,5171,5937,84,100,471,9056,100,0.147871,7.656329,38.632839,8.926892,100,0.147871,7.656329,38.632839,8.926892,0.061077,0.032949,0.028128,0.12135,0.020091,0.101259,0.000804,0,0.101259,4.15565,4.771242,0.067506,0.080365,0.378517,7.277812,18817.98438,433.624268,6716.272949,2468.866455,454.144806,97.615356,62.80154,34.813816,26.721035,0.715484,42952176
NVA_PREDICT-COMBO2-Prod_19T041894-1.LP-01-62.C2.czi,Layer 1,47425,47425,93,1048,9849,9160,47425,0,93,1048,9849,9160,30112,29,26,3,543,166,377,2,2,377,2123,7037,90,3,244,804,100,0.196099,2.209805,20.767529,19.314707,100,0.196099,2.209805,20.767529,19.314707,0.061149,0.054823,0.006326,1.144966,0.350026,0.794939,0.004217,0.004217,0.794939,4.476542,14.838165,0.189773,0.006326,0.514497,1.695308,20234.25781,388.784698,6217.913574,6422.582031,556.737183,91.737541,58.199532,33.538013,26.513298,0.705285,10531568
NVA_PREDICT-COMBO2-Prod_19T041097-10.LP-01-46.C2.czi,Layer 1,1192264,1192264,1067,26978,505192,27317,1192264,0,1067,26978,505192,27317,641281,65,38,27,1929,184,1745,41,40,1745,4387,22930,996,71,2415,24563,100,0.089494,2.262754,42.372494,2.291187,100,0.089494,2.262754,42.372494,2.291187,0.005452,0.003187,0.002265,0.161793,0.015433,0.14636,0.003439,0.003355,0.14636,0.367955,1.923232,0.083539,0.005955,0.202556,2.060198,25411.02734,431.920044,5615.199219,2907.23584,357.497223,94.577423,52.127182,42.450237,29.959808,0.716975,176638816
NVA_PREDICT-COMBO2-Prod_19T041097-10.LP-01-46.C2.czi,Layer 2,125282,125282,2315,6695,80683,7354,125282,0,2315,6695,80683,7354,37292,352,321,31,165,83,82,10,9,82,5463,1891,2270,45,1210,5485,100,1.847831,5.343944,64.401108,5.869957,100,1.847831,5.343944,64.401108,5.869957,0.280966,0.256222,0.024744,0.131703,0.066251,0.065452,0.007982,0.007184,0.065452,4.360563,1.509395,1.811912,0.035919,0.965821,4.378123,22022.92578,414.646667,10056.92188,2870.4104,383.194794,100.996986,62.991653,38.005333,28.277809,0.70771,47857840
NVA_PREDICT-COMBO2-Prod_19T041360-1+3.LP-01-53.C2.czi,Layer 1,8158,8158,38,8,3526,668,8158,0,38,8,3526,668,4143,2,1,1,2,2,0,0,0,0,181,487,37,1,6,2,100,0.4658,0.098063,43.221378,8.188281,100,0.4658,0.098063,43.221378,8.188281,0.024516,0.012258,0.012258,0.024516,0.024516,0,0,0,0,2.218681,5.9696,0.453543,0.012258,0.073547,0.024516,29949.37891,404.404968,4446.274902,5969.365723,469.344421,94.185936,57.632225,36.553707,27.905142,0.690969,1455611.75
NVA_PREDICT-COMBO2-Prod_19T041302-8.LP-01-47.C2.czi,Layer 1,734287,734287,1146,19005,349824,4649,734287,0,1146,19005,349824,4649,364175,209,53,156,247,46,201,23,6,201,1169,3480,404,742,2572,16433,100,0.15607,2.588225,47.641315,0.633131,100,0.15607,2.588225,47.641315,0.633131,0.028463,0.007218,0.021245,0.033638,0.006265,0.027373,0.003132,0.000817,0.027373,0.159202,0.473929,0.055019,0.10105,0.350272,2.237953,36446.6875,510.94754,5384.058594,2735.32373,336.612488,88.538513,54.777161,33.761353,26.771406,0.704767,138156704
NVA_PREDICT-COMBO2-Prod_19T041302-8.LP-01-47.C2.czi,Layer 2,57254,57254,179,3729,35936,3470,57254,0,179,3729,35936,3470,17489,87,75,12,130,55,75,1,1,75,2842,628,142,37,478,3251,100,0.312642,6.513082,62.765919,6.060712,100,0.312642,6.513082,62.765919,6.060712,0.151954,0.130995,0.020959,0.227058,0.096063,0.130995,0.001747,0.001747,0.130995,4.963845,1.096867,0.248018,0.064624,0.834876,5.678206,28347.54492,470.026978,9743.898438,2497.962891,387.550995,95.468544,61.450443,34.018101,26.561152,0.718029,16571062
NVA_PREDICT-COMBO2-Prod_19T040163-3.LP-01-60.C2.czi,Layer 1,1010844,1010844,15,215,257456,18429,1010844,0,15,215,257456,18429,739367,1,0,1,21,0,21,0,0,21,4591,13838,14,1,11,204,100,0.001484,0.021269,25.46941,1.82313,100,0.001484,0.021269,25.46941,1.82313,0.000099,0,0.000099,0.002077,0,0.002077,0,0,0.002077,0.454175,1.368955,0.001385,0.000099,0.001088,0.020181,17179.1543,420.062073,4414.299316,2459.01709,415.149597,104.898079,61.225483,43.672592,29.856508,0.735813,192686096
NVA_PREDICT-COMBO2-Prod_19T039869-0.LP-01-66.C2.czi,Layer 1,34770,34770,2639,2700,17227,22487,34770,0,2639,2700,17227,22487,3470,1021,977,44,2233,813,1420,92,86,1420,8596,13891,2594,45,1099,1601,100,7.589876,7.765315,49.545586,64.673569,100,7.589876,7.765315,49.545586,64.673569,2.93644,2.809894,0.126546,6.422203,2.338223,4.083981,0.264596,0.24734,4.083981,24.722462,39.951107,7.460454,0.129422,3.160771,4.604544,28095.51953,431.988708,8047.794922,7327.364258,973.193176,85.534111,52.325909,33.208202,26.455515,0.71031,5011704
NVA_PREDICT-COMBO2-Prod_19T037720-1.LP-01-56A.C2.czi,Layer 1,6307,6307,359,1168,3034,3558,6307,0,359,1168,3034,3558,796,144,119,25,966,234,732,34,18,732,1217,2341,334,25,300,868,100,5.692088,18.519106,48.105278,56.413509,100,5.692088,18.519106,48.105278,56.413509,2.283177,1.886792,0.396385,15.316316,3.710163,11.606152,0.539084,0.285397,11.606152,19.296021,37.117489,5.295703,0.396385,4.756619,13.762486,29400.7168,433.442688,8623.766602,8095.819824,560.109009,76.691422,48.951469,27.739952,24.248545,0.706451,776765.625
NVA_PREDICT-COMBO2-Prod_19T037435-14.LP-01-42.C2.czi,Layer 1,1129720,1129720,44,7597,161462,142739,1129720,0,44,7597,161462,142739,824080,14,8,6,625,27,598,0,0,598,5239,137500,15,29,344,7253,100,0.003895,0.672468,14.292214,12.634901,100,0.003895,0.672468,14.292214,12.634901,0.001239,0.000708,0.000531,0.055323,0.00239,0.052933,0,0,0.052933,0.463743,12.171158,0.001328,0.002567,0.03045,0.642017,23887.72852,404.537079,5066.033203,2396.603027,464.595947,96.352646,55.007301,41.345348,29.305092,0.715065,171486448
NVA_PREDICT-COMBO2-Prod_19T037435-14.LP-01-42.C2.czi,Layer 2,10561,10561,10,583,4016,533,10561,0,10,583,4016,533,5627,4,1,3,6,4,2,0,0,2,158,375,3,7,42,541,100,0.094688,5.52031,38.026703,5.046871,100,0.094688,5.52031,38.026703,5.046871,0.037875,0.009469,0.028406,0.056813,0.037875,0.018938,0,0,0.018938,1.496071,3.5508,0.028406,0.066282,0.39769,5.122621,16889.05664,471.746277,7768.564453,2157.366699,465.954407,100.867264,62.380489,38.486774,28.539837,0.707176,3558438.75
NVA_PREDICT-COMBO2-Prod_19T037417-1+2.LP-01-51.C2.czi,Layer 1,30332,30332,1022,659,21294,15337,30332,0,1022,659,21294,15337,1921,410,395,15,648,297,351,4,3,351,8223,7114,1007,15,305,354,100,3.369379,2.172623,70.203087,50.563763,100,3.369379,2.172623,70.203087,50.563763,1.351708,1.302255,0.049453,2.136358,0.979164,1.157194,0.013187,0.009891,1.157194,27.109983,23.453777,3.319926,0.049453,1.005539,1.167084,25395.08594,427.356293,5258.425781,6682.185547,668.907104,85.09211,52.942368,32.149742,25.924622,0.710999,4607611
NVA_PREDICT-COMBO2-Prod_19T037089-2.LP-01-48.C2.czi,Layer 1,56051,56051,1392,1575,3216,31576,56051,0,1392,1575,3216,31576,22014,1338,97,1241,1020,29,991,39,1,991,1340,30236,105,1287,44,1531,100,2.483453,2.809941,5.737632,56.334412,100,2.483453,2.809941,5.737632,56.334412,2.387112,0.173057,2.214055,1.819771,0.051739,1.768033,0.069579,0.001784,1.768033,2.39068,53.943729,0.187329,2.296123,0.0785,2.731441,15082.8418,431.333282,5021.229004,3437.915039,698.707886,94.340111,57.896435,36.443676,27.700047,0.714476,14219681
NVA_PREDICT-COMBO2-Prod_19T036268-16.LP-01-40.C2.czi,Layer 1,750485,750485,139,4168,115418,87444,750485,0,139,4168,115418,87444,551284,124,20,104,1225,60,1165,0,0,1165,6461,80983,24,115,214,3954,100,0.018521,0.555374,15.379122,11.651666,100,0.018521,0.555374,15.379122,11.651666,0.016523,0.002665,0.013858,0.163228,0.007995,0.155233,0,0,0.155233,0.86091,10.790755,0.003198,0.015323,0.028515,0.526859,15249.15625,420.843567,4610.594238,2508.837158,432.456207,92.478073,58.260929,34.217148,26.425295,0.732493,129826760
NVA_PREDICT-COMBO2-Prod_19T036268-16.LP-01-40.C2.czi,Layer 2,248028,248028,248,5230,11541,9999,248028,0,248,5230,11541,9999,221647,109,2,107,143,12,131,0,0,131,238,9761,4,244,157,5073,100,0.099989,2.108633,4.653104,4.0314,100,0.099989,2.108633,4.653104,4.0314,0.043947,0.000806,0.04314,0.057655,0.004838,0.052817,0,0,0.052817,0.095957,3.935443,0.001613,0.098376,0.063299,2.045334,18501.21484,432.153107,4794.121582,2091.612549,361.718994,93.569153,53.903477,39.665676,28.210245,0.725955,37524320
NVA_PREDICT-COMBO2-Prod_19T035911-2.LP-01-45.C2.czi,Layer 1,6516,6516,249,10,5033,797,6516,0,249,10,5033,797,1067,44,40,4,5,2,3,0,0,3,385,412,244,5,4,6,100,3.821363,0.153468,77.240639,12.23143,100,3.821363,0.153468,77.240639,12.23143,0.675261,0.613874,0.061387,0.076734,0.030694,0.046041,0,0,0.046041,5.908533,6.322897,3.744629,0.076734,0.061387,0.092081,28843.44727,425.829315,4932.387695,4381.922363,418.382477,89.502731,55.334709,34.168018,27.097748,0.693273,943463.5
NVA_PREDICT-COMBO2-Prod_19T034643-0.LP-01-52.C2.czi,Layer 1,77138,77138,3934,3010,59680,12582,77138,0,3934,3010,59680,12582,11186,821,398,423,1471,414,1057,344,109,1057,7450,5132,3376,558,913,2097,100,5.099951,3.902097,77.367836,16.311028,100,5.099951,3.902097,77.367836,16.311028,1.064326,0.515958,0.548368,1.906972,0.5367,1.370271,0.445954,0.141305,1.370271,9.658015,6.653011,4.376572,0.723379,1.183593,2.718504,25316.99805,439.06427,6330.820801,7033.006348,421.980499,87.309616,50.844364,36.465252,27.852388,0.707837,12504499
NVA_PREDICT-COMBO2-Prod_19T033610-3+6.LP-01-39.C2.czi,Layer 1,24277,24277,324,36,15940,2518,24277,0,324,36,15940,2518,6892,36,30,6,13,8,5,0,0,5,1087,1431,318,6,17,19,100,1.334597,0.148289,65.658852,10.371957,100,1.334597,0.148289,65.658852,10.371957,0.148289,0.123574,0.024715,0.053549,0.032953,0.020596,0,0,0.020596,4.477489,5.894468,1.309882,0.024715,0.070025,0.078263,22777.71875,437.172699,4757.621094,3928.687988,621.59491,94.441177,58.190781,36.250397,27.547623,0.709326,5184714.5
NVA_PREDICT-COMBO2-Prod_19T032978-14.LP-01-32.C2.czi,Layer 1,1398581,1398581,78,3260,558863,33617,1398581,0,78,3260,558863,33617,805917,8,4,4,87,8,79,0,0,79,2665,30952,47,31,359,2901,100,0.005577,0.233093,39.959286,2.403651,100,0.005577,0.233093,39.959286,2.403651,0.000572,0.000286,0.000286,0.006221,0.000572,0.005649,0,0,0.005649,0.19055,2.2131,0.003361,0.002217,0.025669,0.207425,15881.25293,513.553467,5100.518066,2647.255127,421.309143,103.229836,58.08831,45.141529,30.949329,0.706067,285241824
NVA_PREDICT-COMBO2-Prod_19T032978-14.LP-01-32.C2.czi,Layer 2,194175,194175,43,7371,49478,25052,194175,0,43,7371,49478,25052,115082,32,3,29,188,4,184,0,0,184,2489,22563,4,39,145,7226,100,0.022145,3.79606,25.481138,12.901764,100,0.022145,3.79606,25.481138,12.901764,0.01648,0.001545,0.014935,0.09682,0.00206,0.09476,0,0,0.09476,1.281833,11.61993,0.00206,0.020085,0.074675,3.721385,16058.87891,403.819519,5784.699219,2286.325195,430.302612,96.617569,60.459179,36.158394,27.459356,0.72779,41684336
NVA_PREDICT-COMBO2-Prod_19T032882-16.LP-01-31.C2.czi,Layer 1,522429,522429,460,4687,252122,6583,522429,0,460,4687,252122,6583,260899,82,15,67,44,5,39,2,0,39,1020,5563,358,102,838,3849,100,0.08805,0.897155,48.259571,1.260076,100,0.08805,0.897155,48.259571,1.260076,0.015696,0.002871,0.012825,0.008422,0.000957,0.007465,0.000383,0,0.007465,0.195242,1.064834,0.068526,0.019524,0.160405,0.736751,20260.51367,414.613373,6566.494629,3131.31543,368.97348,94.362587,53.691364,40.671223,29.380941,0.711762,81190640
