Image Tag,Analysis Region,Total Cells,Hoechst 33342 ,Rhodamine 6G ,Cy5 ,5-FAM ,Texas Red ,Hoechst 33342 Positive Nuclei Cells,Rhodamine 6G Positive Nuclei Cells,Negative Nuclei Cells,Rhodamine 6G Positive Cytoplasm Cells,Cy5 Positive Cytoplasm Cells,5-FAM Positive Cytoplasm Cells,Texas Red Positive Cytoplasm Cells,Negative Cytoplasm Cells,CD8+GzBp Cells,CD8+GzBpPanCKp Cells,CD8+GzBpPanCKn Cells,CD8+GzBn Cells,CD8+GzBnPanCKp Cells,CD8+GzBnPanCKn Cells,CD8+PDL1p Cells,CD8+PDL1pPanCKp Cells,CD8+PDL1pPanCKn Cells,CD8+PDL1n Cells,CD8+PDL1nPanCKp Cells,CD8+PDL1nPanCKn Cells,CD8+PanCKp Cells,CD8+PanCKn Cells,PDL1pPanCKp Cells,PDL1pPanCKn Cells,% Hoechst 33342 ,% Rhodamine 6G ,% Cy5 ,% 5-FAM ,% Texas Red ,% Hoechst 33342 Positive Nuclei Cells,% Rhodamine 6G Positive Nuclei Cells,% Rhodamine 6G Positive Cytoplasm Cells,% Cy5 Positive Cytoplasm Cells,% 5-FAM Positive Cytoplasm Cells,% Texas Red Positive Cytoplasm Cells,% CD8+GzBp ,% CD8+GzBpPanCKp ,% CD8+GzBpPanCKn ,% CD8+GzBn ,% CD8+GzBnPanCKp ,% CD8+GzBnPanCKn ,% CD8+PDL1p ,% CD8+PDL1pPanCKp ,% CD8+PDL1pPanCKn ,% CD8+PDL1n ,% CD8+PDL1nPanCKp ,% CD8+PDL1nPanCKn ,% CD8+PanCKp ,% CD8+PanCKn ,% PDL1pPanCKp ,% PDL1pPanCKn ,Hoechst 33342 Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Cytoplasm Intensity,Cy5 Avg Positive Cytoplasm Intensity,5-FAM Avg Positive Cytoplasm Intensity,Texas Red Avg Positive Cytoplasm Intensity,Avg Cell Area (μm²),Avg Cytoplasm Area (μm²),Avg Nucleus Area (μm²),Avg Nucleus Perimeter (μm),Avg Nucleus Roundness,Area Analyzed (μm²)
NVA_PREDICT-COMBO1-Prod_19T049519-7.LP-01-61.C1.czi,Layer 1,467473,467473,5186,138,275431,6027,467473,4033,0,4269,138,275431,6027,183739,241,12,229,5786,1414,4372,16,2,14,6011,1424,4587,1426,4601,30,108,100,1.109369,0.02952,58.919125,1.289272,100,0.862724,0.913208,0.02952,58.919125,1.289272,0.051554,0.002567,0.048987,1.237719,0.302477,0.935241,0.003423,0.000428,0.002995,1.28585,0.304617,0.981233,0.305044,0.984228,0.006417,0.023103,30997.2168,563.710999,473.874573,3046.281006,4310.105957,684.685974,77.777573,43.603912,34.173664,27.037392,0.699713,59528704
NVA_PREDICT-COMBO1-Prod_19T049519-7.LP-01-61.C1.czi,Layer 2,72767,72767,2549,255,47563,889,72767,2295,0,1256,255,47563,889,24426,66,48,18,823,575,248,4,3,1,885,620,265,623,266,30,225,100,3.502961,0.350434,65.363419,1.221708,100,3.153902,1.726057,0.350434,65.363419,1.221708,0.0907,0.065964,0.024736,1.131007,0.790193,0.340814,0.005497,0.004123,0.001374,1.216211,0.852035,0.364176,0.856157,0.36555,0.041227,0.309206,20769.20508,552.821838,517.546631,2825.646973,3984.441406,709.066833,80.610909,55.516644,25.094261,22.757151,0.713875,33411004
NVA_PREDICT-COMBO1-Prod_19T047780-3.LP-01-72.C1.czi,Layer 1,20116,20116,2421,151,13613,1680,20116,2315,0,717,151,13613,1680,5643,479,308,171,1201,622,579,44,26,18,1636,904,732,930,750,91,60,100,12.035196,0.750646,67.672501,8.351561,100,11.508252,3.564327,0.750646,67.672501,8.351561,2.381189,1.531119,0.85007,5.970372,3.092066,2.878306,0.218731,0.12925,0.089481,8.13283,4.493935,3.638894,4.623186,3.728375,0.452376,0.29827,21826.34766,364.792969,355.470276,2018.801758,4625.155273,600.406311,84.986183,53.663204,31.322985,25.40506,0.710705,3079612.5
NVA_PREDICT-COMBO1-Prod_19T046509-0.LP-01-63.C1.czi,Layer 1,31433,31433,3499,1153,16383,8993,31433,3163,0,1398,1153,16383,8993,9808,2357,1422,935,6636,2648,3988,665,260,405,8328,3810,4518,4070,4923,463,690,100,11.131614,3.668119,52.120384,28.61006,100,10.062673,4.447555,3.668119,52.120384,28.61006,7.498489,4.523908,2.974581,21.11157,8.424268,12.687304,2.115611,0.827156,1.288455,26.494448,12.121019,14.373429,12.948175,15.661884,1.472974,2.195145,13079.88184,378.27829,334.575623,2089.081543,4833.595703,1223.147705,96.290398,59.667088,36.623314,27.241323,0.709183,7978957
NVA_PREDICT-COMBO1-Prod_19T045605-12.LP-01-57.C1.czi,Layer 1,526836,526836,35268,1426,242230,62123,526836,9999,0,31949,1426,242230,62123,238435,2056,1409,647,60067,16620,43447,686,220,466,61437,17809,43628,18029,44094,482,944,100,6.694304,0.270672,45.978256,11.791715,100,1.897934,6.064316,0.270672,45.978256,11.791715,0.390254,0.267446,0.122809,11.401461,3.154682,8.246778,0.130211,0.041759,0.088453,11.661504,3.380369,8.281135,3.422127,8.369588,0.09149,0.179183,12629.30469,394.120697,333.403229,1542.428955,10827.22559,745.6875,84.145393,53.854473,30.290924,25.018528,0.713078,106713288
NVA_PREDICT-COMBO1-Prod_19T045605-12.LP-01-57.C1.czi,Layer 2,43952,43952,8916,7,25403,3107,43952,8749,0,2295,7,25403,3107,16809,377,311,66,2730,1312,1418,2,2,0,3105,1621,1484,1623,1484,4,3,100,20.285767,0.015926,57.797142,7.069076,100,19.905806,5.221605,0.015926,57.797142,7.069076,0.857754,0.70759,0.150164,6.211321,2.985075,3.226247,0.00455,0.00455,0,7.064525,3.688114,3.376411,3.692665,3.376411,0.009101,0.006826,21984.16406,417.828033,430.183899,1342.940918,5881.525391,881.365906,86.712105,60.647743,26.06436,23.320347,0.704433,35290440
NVA_PREDICT-COMBO1-Prod_19T043874-1.LP-01-59.C1.czi,Layer 1,83350,83350,5743,360,33016,5425,83350,5570,0,1822,360,33016,5425,46714,1167,730,437,4258,1379,2879,48,37,11,5377,2072,3305,2109,3316,202,158,100,6.890222,0.431914,39.611279,6.508698,100,6.682663,2.185963,0.431914,39.611279,6.508698,1.40012,0.875825,0.524295,5.108578,1.654469,3.454109,0.057588,0.044391,0.013197,6.45111,2.485903,3.965207,2.530294,3.978404,0.242352,0.189562,37525.41797,334.937347,323.544586,1579.135376,4198.495605,580.846863,89.738228,50.729691,39.008537,28.915876,0.699349,11887554
NVA_PREDICT-COMBO1-Prod_19T043359-1.LP-01-54.C1.czi,Layer 1,1416670,1416670,7645,127,1014437,4293,1416670,4123,0,4796,127,1014437,4293,398629,367,38,329,3926,984,2942,45,1,44,4248,1021,3227,1022,3271,13,114,100,0.539646,0.008965,71.607147,0.303035,100,0.291035,0.33854,0.008965,71.607147,0.303035,0.025906,0.002682,0.023223,0.277129,0.069459,0.20767,0.003176,0.000071,0.003106,0.299858,0.07207,0.227788,0.072141,0.230894,0.000918,0.008047,19509.53711,361.747559,326.135437,1913.641357,4754.834473,830.383362,86.858124,45.458672,41.399448,29.779583,0.714598,239075904
NVA_PREDICT-COMBO1-Prod_19T042132-10.LP-01-49.C1.czi,Layer 1,484511,484511,3428,3138,309386,28890,484511,2549,0,2074,3138,309386,28890,150421,441,247,194,28449,6076,22373,1230,190,1040,27660,6133,21527,6323,22567,536,2602,100,0.707518,0.647663,63.855309,5.962713,100,0.526097,0.42806,0.647663,63.855309,5.962713,0.09102,0.050979,0.04004,5.871693,1.254048,4.617645,0.253864,0.039215,0.214649,5.708849,1.265812,4.443037,1.305027,4.657686,0.110627,0.537036,14455.19238,405.278442,385.966034,1935.552612,6393.339844,618.014709,85.364212,45.504578,39.859634,28.852612,0.708117,63757764
NVA_PREDICT-COMBO1-Prod_19T042132-10.LP-01-49.C1.czi,Layer 2,94940,94940,2022,2,34436,4173,94940,1698,0,1355,2,34436,4173,56985,176,58,118,3997,1397,2600,0,0,0,4173,1455,2718,1455,2718,0,2,100,2.129766,0.002107,36.271328,4.395408,100,1.788498,1.427217,0.002107,36.271328,4.395408,0.18538,0.061091,0.124289,4.210027,1.471456,2.738572,0,0,0,4.395408,1.532547,2.862861,1.532547,2.862861,0,0.002107,19595.79492,650.559875,606.762024,1901.308228,3443.812744,933.843628,84.048691,59.731785,24.316912,22.034548,0.727052,52273100
NVA_PREDICT-COMBO1-Prod_19T041097-10.LP-01-46.C1.czi,Layer 1,1220520,1220520,6775,177,699576,86399,1220520,4950,0,4349,177,699576,86399,455218,517,221,296,85882,22104,63778,67,0,67,86332,22325,64007,22325,64074,2,175,100,0.555091,0.014502,57.317863,7.078868,100,0.405565,0.356324,0.014502,57.317863,7.078868,0.042359,0.018107,0.024252,7.036509,1.811031,5.225478,0.005489,0,0.005489,7.073379,1.829138,5.24424,1.829138,5.24973,0.000164,0.014338,13524.89453,463.63446,468.060791,1573.005737,4834.182617,740.928467,86.643517,50.231529,36.411987,27.687582,0.713513,189939792
NVA_PREDICT-COMBO1-Prod_19T041097-10.LP-01-46.C1.czi,Layer 2,63860,63860,6516,2,43656,2365,63860,5984,0,2014,2,43656,2365,18837,244,173,71,2121,1312,809,0,0,0,2365,1485,880,1485,880,0,2,100,10.20357,0.003132,68.362045,3.703414,100,9.370498,3.153774,0.003132,68.362045,3.703414,0.382086,0.270905,0.111181,3.321328,2.054494,1.266834,0,0,0,3.703414,2.325399,1.378014,2.325399,1.378014,0,0.003132,12919.64258,455.653259,603.843079,1267.747559,4702.782227,870.098816,90.478188,60.250114,30.228073,24.985472,0.711022,35002340
NVA_PREDICT-COMBO1-Prod_19T041894-1.LP-01-62.C1.czi,Layer 1,43984,43984,2324,106,10110,1679,43984,1984,0,1246,106,10110,1679,32261,31,21,10,1648,137,1511,21,2,19,1658,156,1502,158,1521,20,86,100,5.28374,0.240997,22.985632,3.817297,100,4.510731,2.832848,0.240997,22.985632,3.817297,0.07048,0.047745,0.022736,3.746817,0.311477,3.43534,0.047745,0.004547,0.043198,3.769552,0.354674,3.414878,0.359222,3.458076,0.045471,0.195526,21517.2207,362.615295,348.520447,1769.814331,8141.222656,781.491394,87.763359,58.406567,29.356796,24.703007,0.70246,10406518
NVA_PREDICT-COMBO1-Prod_19T041360-1+3.LP-01-53.C1.czi,Layer 1,8466,8466,2158,0,3713,131,8466,1922,0,1393,0,3713,131,4538,31,9,22,100,14,86,0,0,0,131,23,108,23,108,0,0,100,25.490196,0,43.857784,1.547366,100,22.702576,16.454052,0,43.857784,1.547366,0.366171,0.106308,0.259863,1.181195,0.165367,1.015828,0,0,0,1.547366,0.271675,1.275691,0.271675,1.275691,0,0,20242.04883,419.337433,376.631012,0,9436.964844,592.260315,87.337791,56.235245,31.102545,25.813393,0.677328,1554555.75
NVA_PREDICT-COMBO1-Prod_19T041302-8.LP-01-47.C1.czi,Layer 1,824265,824265,8599,4832,504761,32531,824265,7525,0,4096,4832,504761,32531,293876,483,234,249,32048,9391,22657,1024,184,840,31507,9441,22066,9625,22906,1848,2984,100,1.043232,0.586219,61.237709,3.946668,100,0.912935,0.496928,0.586219,61.237709,3.946668,0.058598,0.028389,0.030209,3.88807,1.139318,2.748752,0.124232,0.022323,0.101909,3.822436,1.145384,2.677052,1.167707,2.778961,0.2242,0.36202,36588.38281,350.884949,339.597504,2363.705322,5590.689941,520.043335,84.927322,53.570889,31.356434,25.788652,0.704661,153318944
NVA_PREDICT-COMBO1-Prod_19T041302-8.LP-01-47.C1.czi,Layer 2,66597,66597,7651,1,50298,2394,66597,7292,0,2111,1,50298,2394,15654,449,419,30,1945,1506,439,0,0,0,2394,1925,469,1925,469,0,1,100,11.488505,0.001502,75.525925,3.594757,100,10.949442,3.169812,0.001502,75.525925,3.594757,0.674205,0.629157,0.045047,2.920552,2.261363,0.659189,0,0,0,3.594757,2.890521,0.704236,2.890521,0.704236,0,0.001502,33456.73047,394.366791,415.679016,10058.12305,4490.766602,698.868469,91.303963,59.694733,31.60923,25.578545,0.715662,19747534
NVA_PREDICT-COMBO1-Prod_19T040163-3.LP-01-60.C1.czi,Layer 1,1144035,1144035,5136,2278,773024,14947,1144035,4436,0,2235,2278,773024,14947,361367,1011,583,428,13936,6252,7684,513,99,414,14434,6736,7698,6835,8112,402,1876,100,0.448937,0.19912,67.569962,1.306516,100,0.38775,0.195361,0.19912,67.569962,1.306516,0.088371,0.05096,0.037411,1.218145,0.546487,0.671658,0.044841,0.008654,0.036188,1.261675,0.588793,0.672881,0.597447,0.709069,0.035139,0.163981,22268.02148,359.826569,329.246002,2309.887695,4523.373535,661.048096,99.871513,60.348366,39.523151,28.523352,0.725942,215252400
NVA_PREDICT-COMBO1-Prod_19T039869-0.LP-01-66.C1.czi,Layer 1,37555,37555,3632,1273,12213,15626,37555,3169,0,1746,1273,12213,15626,14610,1852,1401,451,13774,3647,10127,880,383,497,14746,4665,10081,5048,10578,638,635,100,9.671149,3.389695,32.520302,41.608307,100,8.438291,4.649181,3.389695,32.520302,41.608307,4.931434,3.730529,1.200905,36.676872,9.71109,26.965784,2.34323,1.019838,1.323392,39.265079,12.421782,26.843296,13.441619,28.166689,1.698842,1.690853,13649.69043,348.77417,328.19339,2589.293457,5638.369141,986.326477,80.117943,50.910061,29.207882,24.875122,0.701426,6317029.5
NVA_PREDICT-COMBO1-Prod_19T037720-1.LP-01-56A.C1.czi,Layer 1,6808,6808,1939,2156,2843,2097,6808,1582,0,1327,2156,2843,2097,2007,579,330,249,1518,241,1277,712,319,393,1385,252,1133,571,1526,1399,757,100,28.481199,31.668625,41.759693,30.801998,100,23.237368,19.491774,31.668625,41.759693,30.801998,8.504701,4.847239,3.657462,22.297297,3.539953,18.757345,10.458284,4.685664,5.772621,20.343714,3.701528,16.642185,8.387192,22.414806,20.549355,11.119271,31667.11914,389.222076,369.726532,7114.771484,8048.536621,819.508179,74.520485,49.438068,25.082417,23.028742,0.704227,929812.4375
NVA_PREDICT-COMBO1-Prod_19T037435-14.LP-01-42.C1.czi,Layer 1,1183589,1183589,4179,1292,176517,41121,1183589,3901,0,1268,1292,176517,41121,968396,604,271,333,40517,3495,37022,269,19,250,40852,3747,37105,3766,37355,70,1222,100,0.353079,0.10916,14.913708,3.474263,100,0.329591,0.107132,0.10916,14.913708,3.474263,0.051031,0.022896,0.028135,3.423232,0.295288,3.127944,0.022727,0.001605,0.021122,3.451536,0.316579,3.134956,0.318185,3.156079,0.005914,0.103245,27631.70703,356.190277,348.776855,1745.125977,3037.414551,512.185364,93.588951,55.099152,38.489796,28.439081,0.706266,178757904
NVA_PREDICT-COMBO1-Prod_19T037435-14.LP-01-42.C1.czi,Layer 2,14555,14555,254,6,8275,408,14555,249,0,30,6,8275,408,6104,7,6,1,401,235,166,2,2,0,406,239,167,241,167,3,3,100,1.745105,0.041223,56.853313,2.80316,100,1.710752,0.206115,0.041223,56.853313,2.80316,0.048093,0.041223,0.00687,2.755067,1.614565,1.140501,0.013741,0.013741,0,2.789419,1.642047,1.147372,1.655788,1.147372,0.020611,0.020611,22637.13477,332.197876,357.335602,1889.269531,3120.335205,519.967407,93.770844,59.693668,34.077171,26.790985,0.699529,4202258.5
NVA_PREDICT-COMBO1-Prod_19T034429-10.LP-01-35.C1.czi,Layer 1,1254320,1254320,10692,110088,165595,36648,1254320,9186,0,6294,110088,165595,36648,958926,413,54,359,36235,2603,33632,8952,544,8408,27696,2113,25583,2657,33991,11371,98717,100,0.852414,8.776708,13.201974,2.921742,100,0.732349,0.501786,8.776708,13.201974,2.921742,0.032926,0.004305,0.028621,2.888816,0.207523,2.681293,0.713693,0.04337,0.670323,2.208049,0.168458,2.039591,0.211828,2.709914,0.906547,7.870161,34669.5625,415.406006,395.319397,3366.582764,3975.122314,450.320313,86.727058,51.427368,35.29969,27.262611,0.710227,157051696
NVA_PREDICT-COMBO1-Prod_19T034429-10.LP-01-35.C1.czi,Layer 2,61872,61872,2400,9,24318,253,61872,2274,0,870,9,24318,253,36818,11,5,6,242,61,181,1,0,1,252,66,186,66,187,1,8,100,3.878976,0.014546,39.303722,0.408909,100,3.67533,1.406129,0.014546,39.303722,0.408909,0.017779,0.008081,0.009697,0.39113,0.098591,0.292539,0.001616,0,0.001616,0.407292,0.106672,0.300621,0.106672,0.302237,0.001616,0.01293,29586.70313,453.17865,435.861206,1751.954102,2916.333252,429.318726,93.311768,60.369869,32.941898,26.210567,0.704586,19027640
NVA_PREDICT-COMBO1-Prod_19T033610-3+6.LP-01-39.C1.czi,Layer 1,24259,24259,3109,50,14131,840,24259,3061,0,834,50,14131,840,9670,198,145,53,642,337,305,2,2,0,838,480,358,482,358,50,0,100,12.815862,0.206109,58.250546,3.462632,100,12.617997,3.437899,0.206109,58.250546,3.462632,0.816192,0.597716,0.218476,2.646441,1.389175,1.257265,0.008244,0.008244,0,3.454388,1.978647,1.475741,1.986892,1.475741,0.206109,0,21466.69922,376.931519,359.788055,2634.350342,4397.257813,816.535767,86.990089,56.866051,30.124037,25.053791,0.706572,5244397
NVA_PREDICT-COMBO1-Prod_19T032978-14.LP-01-32.C1.czi,Layer 1,1275876,1275876,1851,475,573579,33107,1275876,1584,0,689,475,573579,33107,675359,354,124,230,32753,6696,26057,133,17,116,32974,6803,26171,6820,26287,96,379,100,0.145077,0.037229,44.9557,2.594845,100,0.12415,0.054002,0.037229,44.9557,2.594845,0.027746,0.009719,0.018027,2.567099,0.524816,2.042283,0.010424,0.001332,0.009092,2.58442,0.533202,2.051218,0.534535,2.06031,0.007524,0.029705,12616.16406,381.939453,364.27063,2417.519287,3901.900879,714.747803,99.845802,56.796368,43.049435,30.223742,0.702419,283652480
NVA_PREDICT-COMBO1-Prod_19T032978-14.LP-01-32.C1.czi,Layer 2,131761,131761,1169,102,33084,7109,131761,1064,0,478,102,33084,7109,92233,100,17,83,7009,1142,5867,13,0,13,7096,1159,5937,1159,5950,2,100,100,0.887212,0.077413,25.109098,5.395375,100,0.807523,0.362778,0.077413,25.109098,5.395375,0.075895,0.012902,0.062993,5.31948,0.866721,4.452759,0.009866,0,0.009866,5.385509,0.879623,4.505886,0.879623,4.515752,0.001518,0.075895,15094.83984,410.249451,380.424622,1669.958008,2764.781738,756.911255,94.6912,61.084579,33.606617,26.289486,0.729863,33994560
NVA_PREDICT-COMBO1-Prod_19T037417-1+2.LP-01-51.C1.czi,Layer 1,29001,29001,6467,7769,20147,5824,29001,5420,0,4161,7769,20147,5824,5228,1598,1291,307,4226,1654,2572,1749,1321,428,4075,1624,2451,2945,2879,6672,1097,100,22.299231,26.788731,69.470016,20.082066,100,18.689011,14.347781,26.788731,69.470016,20.082066,5.510155,4.451571,1.058584,14.571911,5.703252,8.86866,6.030827,4.555016,1.475811,14.05124,5.599807,8.451433,10.154822,9.927244,23.006104,3.782628,22953.37109,349.290833,339.312012,6394.788574,8023.316406,791.227112,79.64875,53.091328,26.557419,23.593817,0.703175,4720998
