,CD11b+CD68+,CD11b+CD68+PanCK+,CD11b+CD68+PanCK-,CD11b+PanCK+,CD11b+PanCK-,CD68+PanCK+,CD68+PanCK-,CD8+GzB+,CD8+GzB+PanCK+,CD8+GzB+PanCK-,CD8+GzB-,CD8+GzB-PanCK+,CD8+GzB-PanCK-,CD8+PDL1+,CD8+PDL1+PanCK+,CD8+PDL1+PanCK-,CD8+PDL1-,CD8+PDL1-PanCK+,CD8+PDL1-PanCK-,CD8+PanCK+,CD8+PanCK-,PDL1+PanCK+,PDL1+PanCK-,VISTA+CD11b+,VISTA+CD11b+PanCK+,VISTA+CD11b+PanCK-,VISTA+CD68+,VISTA+CD68+PanCK+,VISTA+CD68+PanCK-,VISTA+PanCK+,VISTA+PanCK-
LP.01.06_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010622615331252168,0.00023846687478321194,0.0008237946583420048,0.19658342004856053,0.019836108220603537,0.176747311827957,0.0019077349982656955,0.00013007284079084288,0.0017776621574748526,0.19573794658342006,0.019944502254595906,0.17579344432882413,0.02007457509538675,0.177571106486299,0.0011706555671175858,0.010600936524453694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.62_Layer 1_combo_2,0.00016911889058007779,0.00016911889058007779,0.03187891087434466,0.0076103500761035,0.0002536783358701167,0.02063250465076949,0.06798579401319127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002452223913411128,0.002198545577541011,0.0002536783358701167,0.04591577879249112,0.014036867918146456,0.03187891087434466,0.17951970235075257,0.5950448165060037
LP.01.22_Layer 1_combo_2,0.0,0.0,0.0036721311475409837,0.00039344262295081965,0.009967213114754098,0.00957377049180328,0.13967213114754098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005508196721311476,0.00026229508196721314,0.005245901639344262,0.00419672131147541,0.0005245901639344263,0.0036721311475409837,0.031475409836065574,0.7858360655737705
LP.01.20_Layer 1_combo_2,0.0,0.0,0.006717927964386888,0.0,0.0011736139214892755,0.006070416835289356,0.14844192634560907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003237555645487657,0.0,0.0003237555645487657,0.006879805746661271,0.00016187778227438285,0.006717927964386888,0.01481181707810603,0.8083771752326994
LP.01.31_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009076327217245021,0.003247134306169555,0.005829192911075466,0.19009428426117914,0.041860647079535226,0.14823363718164392,0.00011736630022299597,3.912210007433199e-05,7.824420014866398e-05,0.19905324517820117,0.045068659285630454,0.15398458589257072,0.04510778138570479,0.15406283009271937,0.0022690818043112552,0.0018778608035679356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.16_Layer 1_combo_2,0.0,0.0,0.008440148490579254,0.00014008545212579673,0.00029768158576731806,0.003642221755270715,0.03195699376619738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031519226728304265,5.2532044547173775e-05,0.0002626602227358689,0.009158086432723962,0.0007179379421447083,0.008440148490579254,0.05662954402185333,0.8799467675281922
LP.01.07_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001558803061934586,0.000640222686151705,0.000918580375782881,0.19434933890048714,0.031176061238691717,0.1631732776617954,0.003312456506610995,0.0008907446068197634,0.0024217118997912315,0.1925956854558107,0.03092553931802366,0.16167014613778705,0.031816283924843425,0.16409185803757828,0.0035908141962421713,0.01686847599164927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.03_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009764855278714367,0.00328414415203398,0.006480711126680387,0.18872881727021937,0.062092218767789115,0.12663659850243025,0.0015763891929763104,0.0001751543547751456,0.0014012348382011648,0.19691728335595743,0.06520120856504795,0.1317160747909095,0.0653763629198231,0.13311730962911064,0.0008319831851819416,0.006699654070149319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Test.FFPE.08_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015610361653605727,0.0009287177186322395,0.0006323184467283332,0.1335999376980354,0.042334533653522036,0.09126540404451336,0.06996533872043853,0.034334659187331314,0.035630679533107217,0.06519563514295744,0.008928592184822963,0.05626704295813448,0.043263251372154275,0.09189772249124169,0.196714966187236,0.12748016449578414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.02_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007303839732888147,0.000521702838063439,0.00020868113522537563,0.19918614357262104,0.05613522537562604,0.143050918196995,0.00010434056761268782,0.0,0.00010434056761268782,0.19981218697829717,0.056656928213689485,0.1431552587646077,0.056656928213689485,0.14325959933222038,0.00010434056761268782,0.00031302170283806343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
