"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"R4163_YZ_3",0.144641887610324,0.39874569333517,0.198186506777291,0.172481602782791,0.144641887610324,0.39874569333517,0.134821607910121,0.206451765013637
"R4163_YZ_5",0.349912448005395,0.439423659316643,0.391045884437538,0.217359624815465,0.349912448005395,0.439423659316643,0.347329464081414,0.402614373379502
"R4163_YZ_7",0.271077322994508,0.339763595580675,0.405858990543862,0.208723163135043,0.271077322994508,0.339763595580675,0.322512853542455,0.39120917577708
"R4163_YZ_8",0.0856405043850719,0.183552752176929,0.0999033874004683,0.0671764144991437,0.0856405043850719,0.183552752176929,0.0826932688062537,0.0421084778807201
"R4163_YZ_9",0.57377606072963,0.460927647529786,0.521552779395263,0.199744878148961,0.57377606072963,0.460927647529786,0.588688748586582,0.567773055439738
"R4163_YZ_16",0.640981912062312,0.362308311858183,0.513608032715534,0.228465423064423,0.640981912062312,0.362308311858183,0.611866768985537,0.514941325674846
"R4163_YZ_17",0.153736659424261,0.265658774162864,0.236144057378549,0.16023902408827,0.153736659424261,0.265658774162864,0.147307137794433,0.220291587297795
"R4163_YZ_18",0.243606048101304,0.305489821045669,0.238209741114183,0.146703488163032,0.243606048101304,0.305489821045669,0.238224937288927,0.240915603704876
"R4163_YZ_19",0.125093730325631,0.228959834602639,0.132199526584069,0.0909579527649142,0.125093730325631,0.228959834602639,0.12753012681634,0.129309811754878
"R4163_YZ_20",0.300892453466899,0.298978632051832,0.272149195234598,0.151280538839384,0.300892453466899,0.298978632051832,0.313547917037403,0.287819762119679
"R4163_YZ_21",0.10609255217647,0.154329874821761,0.0738022626688484,0.0705980360629684,0.10609255217647,0.154329874821761,0.10723377733925,0.0858712906023634
"R4163_YZ_22",0.140231434919557,0.21345310032843,0.118087846315362,0.0846601086676487,0.140231434919557,0.21345310032843,0.136214166631464,0.0949633835780294
"R4163_YZ_23",0.255383196145916,0.37839326535511,0.214106469720192,0.143329517722329,0.255383196145916,0.37839326535511,0.265504700999886,0.185239780892201
"R4163_YZ_25",0.382306907229802,0.424125217975038,0.276273598966012,0.166478006809718,0.382306907229802,0.424125217975038,0.405077848933084,0.294407420575582
"R4163_YZ_26",0.0409832060564019,0.154741737516208,0,0.0278763411677596,0.0409832060564019,0.154741737516208,0.0250015371867945,0
"R4163_YZ_28",0.159170381165228,0.29257623226632,0.171675700812951,0.109946513574832,0.159170381165228,0.29257623226632,0.154622590619009,0.126740017081858
