"","Quantiseq_NK_cell","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"R3388_YZ_4",0.0680214786507733,0.155012079429753,0.22281828082426,0.227973067456623,0.293789614409936,0.088902345918311,0.214139914689568,0.0550408521243991
"R3388_YZ_5",0.0612889585536256,0.0840141582342285,0.105167923270049,0.0950737311864889,0.147047725833184,0.109038031894527,0,0.0787625480244427
"R3388_YZ_6",0.0718689491377108,0.0486849280782717,0.136686764727735,0.11096802601561,0.156133871084853,0.0791926404025177,0.0412925165902141,0
"R3388_YZ_7",0.044206739686457,0.0786395188057129,0.105562661312977,0,0.111215265446735,0.0912818668665465,0,0.0929524485911853
"R3388_YZ_9",0.044896230955226,0,0.0536547894571402,0.0262917672301434,0.0962809846351044,0.0569384638126918,0.0154976224078855,0
"R3388_YZ_10",0.0808736989373675,0.0693309660239435,0.200060769920826,0.181674817466755,0.214345173257242,0.0367482232915628,0,0.0383808685501534
"R3388_YZ_11",0.0796677707703196,0.0846159656100774,0.297485635140624,0.151272877762502,0.327009627114494,0.0578055001951496,0.199855013172372,0.0843793143611022
"R3388_YZ_12",0.040160991849978,0.0613062201811968,0.151858373456922,0.0374509142860798,0.169312847093463,0.0653726735599907,0.068915464936353,0
"R3388_YZ_13",0.0477892131665498,0.0501222021083333,0.191914593725725,0,0.218743753905509,0,0,0
"R3388_YZ_14",0.0591314891441651,0.0635990766305234,0.17893821069224,0.120513395371133,0.199585272317438,0.078281646602614,0.0889239938550359,0.103020124057717
"R3388_YZ_15",0.0811408255268597,0.0642285508015881,0.252857073383408,0.0258299915042622,0.26303488166132,0,0,0.0401008883470651
"R3388_YZ_16",0.0632729262857074,0.0800823894646942,0.106928651748817,0.016126426285797,0.109339722803851,0.047066231340792,0,0.0176733799054963
"R3388_YZ_17",0.0540409663710247,0.0114238779881041,0.107269979671595,0,0.140871063462516,0.0653898647110239,0,0
"R3388_YZ_19",0.0337925687168249,0.0314370800843295,0.0682008711973946,0.017535804370526,0.102666405859548,0.0840493073716889,0,0.0465908562383597
"R3388_YZ_20",0.0351089758513427,0,0.0777808718337383,0,0.134553166401527,0.0908671190202307,0.0149632197924369,0
"R3388_YZ_21",0.0675201128463513,0.0928320901545528,0.201220868360194,0.184505036980369,0.214455174917218,0.0313719157321344,0.169037199484607,0.0656767973029723
"R3388_YZ_23",0.0631012857161817,0.0189751114814441,0.296032745791203,0,0.302953257925936,0.0571763389235243,0.0780444257339448,0.0236864158809877
"R3388_YZ_24",0.065049788541126,0.0378065413252826,0.110214681737786,0,0.127691716337298,0.0554926407652337,0,0
"R3388_YZ_25",0.0481801738615069,0.0710491669596674,0.0789193536599396,0.0275371977255192,0.0884821393908525,0.0630523627389667,0,0.0247439917186674
"R3388_YZ_26",0.051013429682466,0.034811484698734,0.070795957250231,0,0.0661951626607097,0.0339985537320783,0,0.0639377898844506
"R3388_YZ_27",0.0591221622060644,0.0786114891120799,0.0954364879193801,0.0220274786982907,0.104186851506441,0.0708320709017829,0.0179283207139605,0.0494077307884403
"R3388_YZ_28",0.0549400403593685,0.0499019132610492,0.125228495012431,0.0485217601603607,0.152193781439647,0.0797095751362987,0.123126009850755,0.106592341457307
"R3388_YZ_29",0.0509031136380898,0.0044388699172321,0.108113405889764,0,0.128908046082851,0.0414024588736045,0,0.00623612862635117
"R3388_YZ_30",0.0292048387879082,0.000371012191196901,0.0690131865678729,0,0.108198733756221,0.0597982622023366,0,0
"R3388_YZ_31",0.0590511323023767,0.0419331195116258,0.128081040721612,0.0210763223077802,0.155049612390899,0.11568898480874,0.0326313940669494,0.0356732340768744
"R3388_YZ_32",0.0503315312712427,0.0183909744600984,0.0774572648414427,0,0.11383492342531,0.0642003400435689,0.129984097260063,0
"R3388_YZ_33",0.111044265870624,0.0642358189242813,0.216547187956003,0.0431111300130256,0.237740572178539,0.0773017386190077,0.0248848208405392,0
"R3388_YZ_34",0.0559098716840022,0.102968440068089,0.188610501726521,0.197049790708579,0.205159573236953,0.04015284821994,0.0292386006809504,0.144457541460336
"R3388_YZ_35",0.0750415037643293,0.157258477323699,0.134933754341136,0.151056344805863,0.142991458380766,0.099034155025106,0.143616800750086,0.0892833575698455
"R3388_YZ_36",0.0410156884284843,0.0271767561416624,0.198777279660929,0.00456136257228791,0.205609639633774,0.0482245344624189,0,0
"R3388_YZ_37",0.0531902518736573,0.0334457894816454,0.153829433320553,0,0.161228344239534,0.0366143433517757,0.0769947325959138,0.0570875167917237
"R3388_YZ_38",0.0708058739007813,0.0607391170454666,0.102773228228342,0.0133608901184935,0.113298249223108,0.0648917628038096,0,0.0106390510180697
"R3388_YZ_39",0.051921870220663,0.0742976844719334,0.147914936483734,0.0655114764197625,0.162250107603733,0.0564776422937462,0,0.113050604711367
"R3388_YZ_40",0.0464670046289576,0.0104753277475066,0.0489444923054525,0.117715033298854,0.113551815356202,0.118806740939982,0.11180333729144,0.00885067645483321
"R3388_YZ_41",0.0765011071323506,0.066958942320237,0.143875721481016,0.0334587144478439,0.151780063114182,0.0397850014274796,0.00322306810010271,0.0251486983889902
"R3388_YZ_42",0.0430886098206386,0.0661897924107297,0.182573274799396,0.128330121032674,0.247746246634689,0.0240092147057635,0.00829486114889695,0.0658028491265614
"R3388_YZ_43",0.0452212406085422,0.0270274955720578,0.0766292092820866,0,0.0959457603916641,0.0533639292437153,0,0.0157527758484607
"R3388_YZ_44",0.054046903077242,0.0265087403199014,0.260303114439098,0.070828159664612,0.31153487713639,0.04456599405089,0.0832200747572005,0
"R3388_YZ_47",0.0873374167000561,0.088979730041295,0.24661410713153,0.170099550515318,0.291604655145929,0.015439203403941,0.203231973795484,0.0720466934198294
"R3388_YZ_48",0.0420944936465428,0,0.0903482185937391,0,0.114788545731903,0.0755918475744103,0.0381182834832641,0
