"","Epidish_BPRNACan_CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__NSCLC.scRNAseq__T_cells_CD4","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4"
"R4163_YZ_9",0,0.293890083671265,0.0569168648103428,0.198196529012539,0.103929724168369,0.243746624802202,0,0.183166515274029,0.18363574902107,0.162934539223155,0.16795292368527
"R4163_YZ_16",0,0.0982313914947297,0.0325799664985176,0.15879799364225,0,0.246299521696146,0,0.077414727181646,0.0850685916837941,0.0705290978745795,0.215771702013611
"R4163_YZ_17",0.137043410404073,0.556166466183546,0.22397898491272,0.203579102824675,0.159547494054396,0.381194806816712,0,0.5052174017046,0.535203381314755,0.223230473620158,0.144815230551859
"R4163_YZ_18",0.0535147739817288,0.430604778216165,0.165605726756146,0.242710928503043,0.120439637753077,0.388815526922726,0,0.269036733044225,0.409732868897069,0.200432663269197,0.117375727484715
"R4163_YZ_19",0.0557797644164874,0.417753829081973,0.115727491381445,0.249696723096585,0.227471733805229,0.435311731988357,0.108730656658171,0.155159382552021,0.394313078187225,0.300499317149152,0.212076480039274
"R4163_YZ_20",0.00358763328318295,0.0913705834130636,0.0594902065256549,0.132251822932886,0,0.360544299474,0,0.078011826367651,0.067867752734093,0.197856618236287,0.0706956403693269
"R4163_YZ_21",0.0690098950830712,0.230101916001142,0.0759728246745547,0.403838471745394,0.364506491508033,0.348937617372622,0.229977313151674,0.167299338001131,0.215427091950532,0.503575900974424,0.425659696126168
"R4163_YZ_22",0.0466920038702954,0.262860644485761,0.074535283630916,0.216910394243269,0.250625019154374,0.425316073248609,0.0475363835215233,0.103400599988544,0.212307859294351,0.234786237093919,0.196981099559652
"R4163_YZ_23",0.0396755868152084,0.327976177697517,0.124747260248791,0.119966542071105,0.13759101050828,0.342196792597262,0,0.151126999450097,0.333699707880144,0.235523674343756,0.124136491829959
"R4163_YZ_25",0.0459610173288256,0.295943887473466,0.122658370657687,0.13863259046417,0.204702076362381,0.429076515089677,0,0.121953755469977,0.273748684975038,0.201896348970898,0.0608411930155831
"R4163_YZ_26",0.0384993828953194,0.134087415136993,0.029714437192242,0.276331075147467,0.662368640575373,0.528964014233326,0.422843983740558,0.108489801749394,0.138359872068624,0.601327449713901,0.174160950338879
"R4163_YZ_28",0.15356260720582,0.512679725356751,0.238139511038593,0.123688594746974,0.0821896572004203,0.379642704754844,0.303451991827016,0.623799110319331,0.529537931776528,0.0459218282538837,0.163747014027158
