"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__CCLE.TIL10__Monocytes","CBSX__CD226__Mono"
"R3388_YZ_23",0.0260207163116088,0.109456376799899,0.119573846102387,0.050811755153359,0.0175536501820138,0.0392272486521066,0.0153937549909298,0.108477443975747
"R3388_YZ_24",0.026659794419578,0.115258625682527,0.263115426258277,0.0348732583288494,0.0698831057048555,0.042412625932614,0.140973953584779,0.09089225313862
"R3388_YZ_25",0.0651388093153155,0.140305517901302,0.4373920568279,0.106206546174177,0.00586756909431297,0.0472380906944502,0.322654200548163,0.104495236326494
"R3388_YZ_26",0.13406615121222,0.124832472604707,0.452684330830588,0.0982083627430564,0.200557202535266,0.0482481067005259,0,0.0929010096564798
"R3388_YZ_27",0.0612801684059604,0.126402680140929,0.371611906413856,0.0614977959815684,0.0946881787052746,0.00951378692858281,0.0275794627637312,0.102520931166538
"R3388_YZ_28",0.0367811387745836,0.126536893632213,0.183174773276542,0.0502146655928121,0.0525083320080585,0.0243204864734935,0,0.0839574005194718
"R3388_YZ_29",0.0258456684470748,0.148190652378097,0.282927653502736,0.0267804820586027,0.0981071120564953,0,0,0.118656380270891
"R3388_YZ_30",0.0232423104013782,0.110876384611064,0.399058991549691,0.109072531095043,0.0546859825579752,0.191262051941538,0,0.0959984900303941
"R3388_YZ_31",0.0055358525282037,0.107258764932365,0.445681330029906,0.0699535404629014,0.0635780487861557,0.129601208574041,0,0.112427453426849
"R3388_YZ_32",0.0398004316683068,0.126848272282201,0.507533533859729,0.087875408273714,0.232484211596643,0.0837343413914891,0,0.134454491377093
"R3388_YZ_33",0.00786947538232961,0.0908996787249859,0.180254197018953,0.0259043498238153,0.0797026322344563,0,0.200889088023299,0.128716130898619
"R3388_YZ_34",0.0347263665437834,0.0955461255572238,0.36799992133453,0.126973150765773,0.114670685014443,0.0113045058432518,0,0.116841144127209
"R3388_YZ_35",0.0447378058100858,0.109641824240833,0.257847378710904,0.0749038318808844,0.0342068664450847,0,0.135665741911932,0.14985772947416
"R3388_YZ_36",0.00467077278233014,0.105817990925496,0.217495867065538,0.0440322002947316,0.079368358537273,0.0361663419771444,0.0636284338477656,0.106713913835429
"R3388_YZ_37",0.0444373045696084,0.122474406835603,0.198228133205062,0,0,0.0690837437338903,0.0907933418068317,0.0732303532182192
"R3388_YZ_38",0.0476589194058376,0.117080034290999,0.256406495832068,0.0664953959994854,0.0123825386089203,0,0,0.0953195900664656
"R3388_YZ_39",0.0447324398515624,0.124067706595054,0.406161821088013,0.0797105169984732,0.0278701792516347,0.0200043800468534,0.0523038019366117,0.0986822341610088
"R3388_YZ_40",0.0240755856886892,0.0990440065441824,0.101512805913419,0.0399266551022264,0.0135459731239727,0.0639397244901694,0,0.141664068668257
"R3388_YZ_41",0.0448950919384893,0.105617475939328,0.298495134338723,0.0482328952789522,0.117308102502998,0,0,0.109789818667783
"R3388_YZ_42",0.0167784536549164,0.0934873810818289,0.241891754309985,0.0266657633671839,0.0255098339406958,0,0,0.105936674438256
"R3388_YZ_43",0.0435723712326624,0.122748572669889,0.497581751912087,0.0889902028070633,0.0477079035229847,0.027324563195683,0,0.0796663701390789
"R3388_YZ_44",0.045887361117097,0.120626274781823,0.167548475841003,0.064885788221149,0.0913853930781643,0.0338065969525898,0,0.0980088526244374
"R3388_YZ_47",0.0186788503101336,0.0893693286257402,0.200005281018867,0.0444927147220235,0.150258436620297,0,0,0.0974836229235166
"R3388_YZ_48",0.0219157897520639,0.139810438952414,0.445506074718633,0.0700679787354469,0.013370394269018,0.0735528348570427,0,0.169550744577636
"R3388_YZ_49",0.0350633266372674,0.104312410484877,0.190716559431349,0.049667441583185,0.0652094589021722,0,0.0687378107157922,0.076142366146979
"R3388_YZ_50",0.052078287606516,0.112241306968344,0.389426926346944,0.116317671368445,0.0936148458368162,0,0.0103067846061358,0.106195698997525
"R3388_YZ_51",0.0333845799570744,0.152060668653537,0.226758384681119,0.0837103664851874,0.0715198077949325,0.0309891862936322,0,0.0996996506781514
"R3388_YZ_52",0.0510650403628026,0.126521504270569,0.352659545616944,0.0621193259443686,0.0911098698496416,0.0371789886068244,0.0146442252261297,0.113544917542763
"R3388_YZ_54",0.0126231763185998,0.095735879868007,0.389454670160768,0.0643655121699764,0.0111747607074822,0,0,0.0984111392762737
"R3388_YZ_55",0.0276901144757741,0.111126371752976,0.0648778354419731,0.00785883200758831,0.0512933062731735,0,0,0.125919292068136
"R3388_YZ_57",0.0325135980666334,0.092970597354586,0.338052987690122,0.0860707275830342,0.0901127800195522,0.272509003382863,0.13598233919641,0.109799416412714
"R3388_YZ_58",0.0228057613261494,0.0954476405191372,0.172005070265921,0.053180870030633,0.0799295769025734,0.0373197963286717,0,0.0964134662121042
"R3388_YZ_60",0.0224283105373394,0.0907977192890878,0.426703315185036,0.0756648279703191,0.00899044677830948,0,0.252212970470477,0.123430390794508
"R3388_YZ_61",0.0224431728036792,0.109169796843041,0.366579629092043,0.0436889086568502,0.178515900065158,0.0465259283800554,0,0.101593912788328
"R3388_YZ_62",0.0542964638114919,0.109536904069114,0.36902150019011,0.0784845134423593,0.219312003817977,0.0588015312787429,0.230715441777991,0.126365012685792
"R4163_YZ_1",0.0253325698326531,0.112848626042787,0.506646648176538,0.145532302324807,0.0650914888987957,0,0,0.225939112799927
"R4163_YZ_2",0.0813376715145077,0.133817915788177,0.435000039861874,0.182927302967149,0.0300484900236435,0,0,0.158835828796534
"R4163_YZ_3",0.151798337264793,0.210918758460367,0.419292374691856,0.199630048547966,0.113412903026624,0,0.00570347226653316,0.178279935981448
"R4163_YZ_5",0.182519608549393,0.183428819327989,0.531863061759157,0.212364402365288,0.0790077852737835,0.0246766434263534,0,0.150986864267203
"R4163_YZ_7",0.0819229768407476,0.147875325610341,0.344021640210805,0.165158311632295,0.0586957879295214,0.154929857158761,0.0666596409333147,0.198870615005287
"R4163_YZ_8",0.0612980415477104,0.116595838781277,0.335514750804615,0.10844286884543,0.0661240374761509,0,0,0.132666516892013
"R4163_YZ_9",0.0684933848063334,0.135990546230506,0.357834996690009,0.1682088033511,0.0147035868132125,0.06143497880553,0,0.151570218108851
"R4163_YZ_16",0.0999576246333641,0.161465207730029,0.477001728170746,0.272870970636601,0.0542981730897968,0.0680950448546569,0,0.146707716281344
"R4163_YZ_17",0.158622432272172,0.143116354076783,0.481520338070443,0.374704717265634,0.0874506597169774,0,0,0.191153798619155
"R4163_YZ_18",0.0897712243408261,0.136201224832565,0.482090317520062,0.231583813870016,0.0235357190699858,0.0140565191733693,0,0.173299386808982
"R4163_YZ_19",0.0352692455412964,0.107946960129846,0.365875486417899,0.251862847686745,0.0523417249467458,0,0.0154232322076941,0.195244135110247
"R4163_YZ_20",0.0638137423296689,0.136243146622756,0.479700166644325,0.145369041438461,0.0304154407742335,0.087496228700226,0.0108626833331889,0.178684169560586
"R4163_YZ_21",0.0404028328266379,0.113283835005199,0.697941826146751,0.391274193549098,0.0263424304653294,0,0,0.232152297108627
"R4163_YZ_22",0.0389018058608611,0.114825493365863,0.348660979762331,0.138585406397517,0.0195506563655537,0,0,0.199587848418051
"R4163_YZ_23",0.0678794250447375,0.136382014826414,0.205315585628719,0.107621911538896,0.0242042864117499,0.00196103627534041,0,0.157871745424568
"R4163_YZ_25",0.0976476206234124,0.126844313985867,0.562959626742884,0.240277565136181,0.0574260057765657,0,0,0.212641484137492
"R4163_YZ_26",0.0101694164885182,0.090291857728914,0.433633483138781,0.050218531497346,0.0645654743205973,0,0.161206262721473,0.213890275196929
"R4163_YZ_28",0.0696747010429773,0.127691257249939,0.379060267614269,0.168340906536042,0.0209144762557241,0,0,0.176672799999656
