"","Quantiseq_NoSignature_M2","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE.TIL10_M2","DeconRNASeq_CCLE.TIL10_M2","DeconRNASeq_CD226_M2","DeconRNASeq_TIL10_M2","CBSX_TIL10_M2","CBSX_CCLE.TIL10_M2","CBSX_CD226_M2"
"LUNG-NSCLC2-0685",0.106949008027412,0.0869410604266939,0.125471391542237,0.135747642949128,0.0677694663602957,0.117975726851547,0.012123030078212,0.140267700210214,0.182047061367274,0.120411933384163,0.124214018387841
"LUNG-NSCLC2-0687",0.0938719571198284,0.108010892878724,0.150689898844753,0.151012953920415,0.103083503032331,0.062589328743367,0.0788767195683277,0.0686794174461168,0,0.130801619598892,0.339194413366016
"LUNG-NSCLC2-0689",0.0796304568596148,0.0990465565261191,0.135660415831676,0.167244534811503,0.0034928104278079,0.111443099482529,0.0035460654937452,0.127051883253156,0.0435340709443547,0.0376340473381799,0.166105456806012
"LUNG-NSCLC2-0695",0.111904243171057,0.114564509852787,0.157763737940566,0.155016495822531,0.298868108835201,0.0978640141744293,0.0329887586921312,0.115542976491417,0,0.422344893009291,0.148273198787125
"LUNG-NSCLC2-0696",0.0655476071358517,0.0947027471100997,0.133548202333953,0.132652107659483,0.0678758322995329,0.0669282931037856,0.0289752202271752,0.0819113994305096,0.0083755829346602,0.152736561527573,0.165774827384216
"LUNG-NSCLC2-0698",0.102860861559491,0.0808231354714941,0.110594299658739,0.117059668204124,0.0274744444835118,0.116708395702101,0,0.131882636495778,0.0066167391666592,0.0258131841063223,0.0824809777904301
"LUNG-NSCLC2-0704",0.0604658016542485,0.106714034254186,0.139304574341836,0.136585743362069,0.175737368993895,0.0812113398157165,0.0157221200329586,0.0932676269217715,0,0.182266454643536,0.12781106952354
"LUNG-NSCLC2-0705",0.0858715067243429,0.0874310250760544,0.127701165590594,0.130530562017073,0,0.10625788185615,0.0185137707277107,0.131391712758072,0,0,0.0598872425378633
"LUNG-NSCLC2-0707",0.0823548375311358,0.0984006749811973,0.127438721827356,0.123834845308378,0.312401072347446,0.123585728137854,0.0231702141425614,0.14815648120742,0.117682862524458,0.329347591631871,0.219998553132746
"LUNG-NSCLC2-0709",0.0635271485235753,0.08037235869018,0.113239255608049,0.115781031468636,0,0.0605759036060023,0,0.0721016207274926,0,0.0401061871047729,0.101146897296998
"LUNG-NSCLC2-0712",0.140970975162715,0.110946588913546,0.156887500106483,0.157374668818932,0,0.0880739432389742,0.0173606246554603,0.104421754066046,0.199478702064505,0.058163887316013,0.0659723903438825
"LUNG-NSCLC2-0714",0.0926481715256074,0.0873456034974888,0.121477989590879,0.123278049237071,0.140993960899372,0.114680989833528,0,0.135763452462454,0.168630051661404,0.244279460322372,0.118816639707883
"LUNG-NSCLC2-0715",0.116571244335032,0.0850164166485094,0.117221352876589,0.119037880326519,0,0.10696007306525,0,0.125782928590904,0.103415501090304,0,0.156535844771804
"LUNG-NSCLC2-0718",0.0555368007085852,0.0752346828799186,0.0970517368535078,0.137071823865982,0.0315214613720308,0.0280700944375433,0.0061591621123227,0.04695282821856,0,0.057075020654233,0.121577070362013
"LUNG-NSCLC2-0720",0.103594413063395,0.102030510221548,0.140326837651017,0.140887187579072,0,0.0598516691479258,0,0.0770025363451845,0,0.0211477688905468,0.188811296731078
"LUNG-NSCLC2-0727",0.0994938757940155,0.0827009391233505,0.119911433157865,0.120193194377562,0.127560986592177,0.123815351659953,0.0045581763626707,0.136037545730907,0,0.232851749178688,0.115356552912131
"LUNG-NSCLC2-0728",0.114436033704414,0.0873244864998044,0.124303863656869,0.123776070629016,0.0570717655612885,0.0929202243342965,0.0105607006367497,0.0997774513800075,0,0,0.0814287333564944
"LUNG-NSCLC2-0729",0.0907306823485633,0.0997835517239987,0.138822870955814,0.140680604043006,0,0.117238955280164,0,0.127345970116687,0.0507950944829003,0.159729616443033,0.110858444043927
"LUNG-NSCLC2-0730",0.116903178128177,0.0863297911788581,0.114390969582923,0.122544239988457,0.0356022754365231,0.146030345266244,0,0.20354717846769,0,0.103057745882231,0.0685256820020145
"LUNG-NSCLC2-0732",0.0725931098947961,0.0729949776088421,0.105667426782633,0.126002686252549,0.0272204065447403,0.0736484197763759,0,0.111375303145784,0,0.0050618782754096,0.191147557639539
"LUNG-NSCLC2-0734",0.0708566244125524,0.094679516902282,0.121879562957959,0.119174820821637,0.0974159374475217,0.0594020263096011,0,0.0803554445159878,0.0431646689005482,0.059228916947061,0.0837463041154327
"LUNG-NSCLC2-0736",0.0988824423813674,0.100261662875349,0.131029402298971,0.131501765934375,0,0.152386918267215,0.0040804927169549,0.174885602063008,0.217329737951379,0.0102803497803407,0.134896432090328
"LUNG-NSCLC2-0737",0.0873881687384157,0.100503858155537,0.134072073500401,0.13235552093285,0.324951523711123,0.103515221932758,0.0431730479959654,0.106924206701778,0,0.325451985552079,0.21585584522889
"LUNG-NSCLC2-0740",0.0608209843550648,0.0926778398501804,0.136304447717736,0.149184329603032,0,0.0992371122067998,0,0.155780426558634,0.0828919125833598,0.0536729976346515,0.0707482170114714
"LUNG-NSCLC2-0742",0.0962545578978889,0.094950225012059,0.133943419739749,0.135282488139504,0,0.109443068675515,0,0.12379712934379,0.0678485418307057,0,0.096942444663833
"LUNG-NSCLC2-0743",0.120938068533183,0.110792319044466,0.152151686027959,0.151512895927734,0.212290826699588,0.107286040772806,0.0402288442335716,0.123734204498918,0.127139096250495,0.186949453793491,0.148376625924029
