"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX.NSCLC.scRNAseq_Mono","DeconRNASeq_CBSX.NSCLC.scRNAseq_Mono","Epidish_CBSX.LM22_Mono","DeconRNASeq_CBSX.LM22_Mono","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_NSCLC.scRNAseq_Mono","DeconRNASeq_NSCLC.scRNAseq_Mono","Epidish_LM22_Mono","DeconRNASeq_LM22_Mono","CBSX_LM22_Mono","CBSX_NSCLC.scRNAseq_Mono","CBSX_CD226_Mono"
"LUNG-NSCLC2-0718",0.0264463485258836,0.107197215607349,0.0272100309801776,0.109070605284293,0.0248297344430761,0.0960126462191718,0.0220876638550493,0.11186969277523,0.0536004333325038,0.0661343959426083,0.446518925025378,0.0779455782754712,0.0220876638550493,0.11186969277523,0.0536004333325038,0.0661343959426083,0.0710364053935826,0,0.114611803884096
"LUNG-NSCLC2-0720",0.0234933322298992,0.102739250041121,0.0281075372633342,0.103167801599681,0.0287054572993244,0.0896910768371359,0.0204465597381971,0.205033099572715,0.0526088497194177,0.105049765335446,0.48874985596214,0.0802726636004395,0.0204465597381971,0.205033099572715,0.0526088497194177,0.105049765335446,0.0381488010157608,0,0.115155987726027
"LUNG-NSCLC2-0727",0.0238262690002523,0.095317960067342,0.030245695609224,0.0980974287177689,0.0230420124331498,0.0832645085522393,0.112793312603865,0.190093778065738,0.0528346827261657,0.0911572079963882,0.416807772746276,0.0709032040388029,0.112793312603865,0.190093778065738,0.0528346827261657,0.0911572079963882,0.0486883730869651,0.0302537921139682,0.107801998308232
"LUNG-NSCLC2-0728",0.0542390594284633,0.118744576342567,0.0648981570329284,0.122918480394327,0.0488759272027264,0.104081255810648,0.0301902709545955,0.162152555549768,0.0570094657703695,0.102359667502767,0.444596540270084,0.107192273649248,0.0301902709545955,0.162152555549768,0.0570094657703695,0.102359667502767,0.046578828804521,0,0.0930959213365621
"LUNG-NSCLC2-0729",0.0241242905187625,0.100151596829456,0.0279070507700127,0.102644749910591,0.0293642833125261,0.0879700525612673,0.109684287618463,0.241535575010329,0.070579748679664,0.100121119338712,0.463303141775854,0.0940550646510059,0.109684287618463,0.241535575010329,0.070579748679664,0.100121119338712,0.0756352597239504,0.0487039590093611,0.100884865425521
"LUNG-NSCLC2-0730",0.0160132941887106,0.102637555292207,0.0177341373468747,0.104330032799974,0.0168366912562486,0.091654726046344,0.0313445455044956,0.238264754661869,0.0465128643745736,0.0745429168049304,0.235751295898463,0.0685273080755172,0.0313445455044956,0.238264754661869,0.0465128643745736,0.0745429168049304,0.0482398654583178,0.0244434634325662,0.109007505622878
"LUNG-NSCLC2-0732",0.037561503028795,0.0996814250387039,0.041039979221611,0.101073881853173,0.0305893886012611,0.0873099912732823,0.0564756870663399,0.247434722106652,0.019117542427368,0.0510754543522333,0.269015932441332,0.0335326370905949,0.0564756870663399,0.247434722106652,0.019117542427368,0.0510754543522333,0.0108217651238334,0.0446265983116588,0.0689606557829534
"LUNG-NSCLC2-0734",0.056860776484782,0.126423174121394,0.0596440240486459,0.12541193688273,0.0476696894025847,0.111271648864626,0,0.159295405750422,0.0519918403972081,0.0500683238641308,0.383912823662985,0.0805136449619404,0,0.159295405750422,0.0519918403972081,0.0500683238641308,0.0615767254840636,0,0.0871849923061009
"LUNG-NSCLC2-0736",0.0108661493764399,0.0898019464579535,0.0132317373143866,0.0889731459161483,0.0137243100700749,0.0777903861855831,0.0657885146247063,0.202696590239984,0.0455173298493122,0.0943469668089096,0.381342675263828,0.0897007481565647,0.0657885146247063,0.202696590239984,0.0455173298493122,0.0943469668089096,0.033209295624062,0.0141932306892547,0.0828723264624169
"LUNG-NSCLC2-0737",0.0535573870986645,0.113986561025172,0.055594891088879,0.118152213203505,0.0562749549546461,0.106345414407658,0.0427104142176319,0.185160725849422,0.0514747008846277,0.0902595439179986,0.443072986875585,0.0847620433569458,0.0427104142176319,0.185160725849422,0.0514747008846277,0.0902595439179986,0.0992413969959461,0.0091756339135483,0.155804173177026
"LUNG-NSCLC2-0740",0.0133498445125409,0.106936081319754,0.011678913478843,0.103825203395058,0.0067981089287842,0.088209714233045,0.0282971927813775,0.261776959101697,0.0870179852252736,0.0755003050302387,0.0813564792851685,0.0496452522495587,0.0282971927813775,0.261776959101697,0.0870179852252736,0.0755003050302387,0.080555362604381,0.0028733441965994,0.073968710804621
"LUNG-NSCLC2-0742",0.0228754709914709,0.0998988161288219,0.0278140120173645,0.103221209611149,0.0280020961653292,0.0897652703530249,0.0461024729359475,0.218429464403186,0.0399101871783215,0.109089606267748,0.533067055679512,0.0799452591403356,0.0461024729359475,0.218429464403186,0.0399101871783215,0.109089606267748,0.025554126773494,0.0060433661355177,0.0961266496984778
"LUNG-NSCLC2-0743",0.048960526598568,0.108876834616058,0.051902981614809,0.112701800204632,0.0475386027396055,0.100430703218602,0.0465020975843349,0.198807262480762,0.0496891212440733,0.12538484599535,0.501497378030481,0.0891441674173341,0.0465020975843349,0.198807262480762,0.0496891212440733,0.12538484599535,0.0526800278171131,0.0041765532625756,0.111585376307681
