"","MCP_NK_cells","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","Epidish_CBSX_LM22_NK.cells.activated","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","Epidish_LM22_NK.cells.activated","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__NSCLC.scRNAseq__NKT_cells"
"Gide_PD1_38_Pre",1.42705103498806,0.0723418185525495,0.0471035733329834,0.163932555853724,0,0.0190261443052467,0.0272781203968421,0.0382701766088416,0.0638421043080158,0.0723418185525495,0.0471035733329834,0.163932555853724,0,0.0190261443052467,0.0272781203968421,0.0382701766088416,0.0738288249423127,0,0.0188141655882256,0.0468231487730115
"Gide_PD1_4_Pre",2.25671270842276,0.0598435535607737,0.0580200970072174,0.188111250855005,0,0.0739206167597685,0.00543134443182492,0.0434482725866276,0.0346705035303176,0.0598435535607737,0.0580200970072174,0.188111250855005,0,0.0739206167597685,0.00543134443182492,0.0434482725866276,0.0452734994464493,0,0.0587712467130661,0
"Gide_PD1_40_Pre",3.71684944862186,0.0544403382346421,0.020601392957212,0.246439098620068,0.0469131050094395,0,0,0.0513917647716141,0.0322719059604673,0.0544403382346421,0.020601392957212,0.246439098620068,0.0469131050094395,0,0,0.0513917647716141,0.0548527556254207,0.0397554344583072,0,0.117940449368405
"Gide_PD1_41_Post",3.20996584028244,0.140221051030869,0.0736824189886433,0.201885783359747,0.025411283971426,0.0341238132501401,0.00460103458325794,0.0660295183362073,0.0335492523344121,0.140221051030869,0.0736824189886433,0.201885783359747,0.025411283971426,0.0341238132501401,0.00460103458325794,0.0660295183362073,0.0468261546142804,0,0.086261573466331,0.300550838753267
"Gide_PD1_41_Pre",0.675108781844674,0.0913093691017364,0.119336216190605,0.193962443858172,0,0.0321909024194891,0.0508404244783899,0.0821429338856781,0.0480883292065256,0.0913093691017364,0.119336216190605,0.193962443858172,0,0.0321909024194891,0.0508404244783899,0.0821429338856781,0.0656663040271698,0,0.0213762610806575,0
"Gide_PD1_42_Pre",0.979436539242875,0.243217992828293,0.133151804192828,0.19130944866979,0.13553369194133,0,0.0734597779154848,0.1015918318647,0.0478052831194374,0.243217992828293,0.133151804192828,0.19130944866979,0.13553369194133,0,0.0734597779154848,0.1015918318647,0.0798980356415631,0.115475523239142,0,0.351736280500402
"Gide_PD1_44_Pre",1.32513953880201,0.0220130438752219,0.0829171186375291,0.177551525146983,0.0235222969637275,0,0.00254148784398722,0.0302078638930661,0.022857262929032,0.0220130438752219,0.0829171186375291,0.177551525146983,0.0235222969637275,0,0.00254148784398722,0.0302078638930661,0.0008083640219049,0.0118879245403202,0.00279514920416299,0.0712265794983964
"Gide_PD1_45_Pre",3.05358367229487,0.0981907610264351,0.0724550346315877,0.205338148391615,0.00344502544958376,0.0222308722692014,0.0600796316920025,0.0531128298880341,0.0387914392779953,0.0981907610264351,0.0724550346315877,0.205338148391615,0.00344502544958376,0.0222308722692014,0.0600796316920025,0.0531128298880341,0.0473294310918325,0,0.0231224050098478,0.241520105746453
"Gide_PD1_46_Pre",1.28023117810178,0.0560470581017828,0.103200917425855,0.192575890630248,0,0.0321893860522727,0.0542847917476639,0.0187857475727879,0.0481225575616912,0.0560470581017828,0.103200917425855,0.192575890630248,0,0.0321893860522727,0.0542847917476639,0.0187857475727879,0.0498464652414192,0.00718391244768975,0,0
"Gide_PD1_47_Post",2.68335292846705,0,0,0.261122143594773,0,0.0175690581733687,0.0116388726667255,0.0711243957028334,0.0370872938404111,0,0,0.261122143594773,0,0.0175690581733687,0.0116388726667255,0.0711243957028334,0.0568878901876825,0.00311190720992725,0,0.0633887093543245
"Gide_PD1_47_Pre",1.97755727701416,0.0739314673355958,0,0.223622805541585,0,0.0351278552950559,0.0484644619071614,0.0457039909916547,0.0520858270373925,0.0739314673355958,0,0.223622805541585,0,0.0351278552950559,0.0484644619071614,0.0457039909916547,0.0718616841746705,0.0105235393865091,0.00045084359776728,0.0877627439254193
"Gide_PD1_48_Post",5.91056096512654,0.0599990672944689,0,0.15279196810135,0,0.0716576183469103,0,0.0375222957050253,0.00677001933363101,0.0599990672944689,0,0.15279196810135,0,0.0716576183469103,0,0.0375222957050253,0,0,0.0866878423310339,0.0761073474100703
"Gide_PD1_48_Pre",2.98242227045852,0.0828536967634355,0.109604661509175,0.158795861241686,0.063566528928077,0.0400719609555686,0.072440099470432,0.0587452769719687,0.0503193459025768,0.0828536967634355,0.109604661509175,0.158795861241686,0.063566528928077,0.0400719609555686,0.072440099470432,0.0587452769719687,0.0546602572540374,0.0377610003030769,0.0409945921589231,0.0928805617389529
"Gide_PD1_49_Pre",0.709316990666336,0.0404745224033516,0.122369326846723,0.193170187317724,0.0565009560677916,0,0.0664220989811538,0.0315818804508956,0.0472005375853456,0.0404745224033516,0.122369326846723,0.193170187317724,0.0565009560677916,0,0.0664220989811538,0.0315818804508956,0.0648105343223803,0.0297865243997038,0,0
"Gide_PD1_5_Pre",0.553723596701507,0.19584375998822,0.125120554290632,0.203280828940562,0.0315821894359439,0,0.071932407425573,0.0481180652201096,0.0642678643300383,0.19584375998822,0.125120554290632,0.203280828940562,0.0315821894359439,0,0.071932407425573,0.0481180652201096,0.0986172499753737,0.0410366096081661,0,0.145064863744849
"Gide_PD1_50_Pre",1.06930964332826,0.113303523835561,0.12719936964155,0.169460019570386,0.0717634778156912,0,0.0427273033884391,0.0549993247495785,0.0658254669943528,0.113303523835561,0.12719936964155,0.169460019570386,0.0717634778156912,0,0.0427273033884391,0.0549993247495785,0.0701171626432444,0.0715523318091765,0,0
"Gide_PD1_52_Pre",1.19071809657087,0.00616887239653632,0.0792068683745609,0.201370220492239,0.0252809403525087,0,0.0349296409650273,0.047364172344421,0.0427579312687873,0.00616887239653632,0.0792068683745609,0.201370220492239,0.0252809403525087,0,0.0349296409650273,0.047364172344421,0.0770627846621726,0.0139656149882178,0,0
"Gide_PD1_53_Pre",6.2155187562099,0.103577374326824,0.115270716457655,0.187034318860416,0.0123617132810947,0.0376571148896735,0.0379341590515383,0.0745035349876329,0.0736193683830849,0.103577374326824,0.115270716457655,0.187034318860416,0.0123617132810947,0.0376571148896735,0.0379341590515383,0.0745035349876329,0.0907936588064942,0.0139162488923682,0.0274922772518749,0.180946161498777
"Gide_PD1_54_Pre",0.823188595143909,0.147956246155467,0.142061222820641,0.149304301691687,0.00914788196683943,0.00211571394392655,0.0305942442528169,0.0234385352361154,0.0614457196016327,0.147956246155467,0.142061222820641,0.149304301691687,0.00914788196683943,0.00211571394392655,0.0305942442528169,0.0234385352361154,0.0722788042271429,0,0.0105310782523023,0.114747928699995
"Gide_PD1_6_Pre",2.07275276295426,0.0554260578493593,0.121494149683985,0.173208322120274,0.0336548948192928,0,0.0568708011022688,0.0232195366141448,0.0514416892644826,0.0554260578493593,0.121494149683985,0.173208322120274,0.0336548948192928,0,0.0568708011022688,0.0232195366141448,0.0372007093289758,0.0455062226303017,0,0.0196770450102115
"Gide_PD1_7_Pre",0.817474021956315,0.0764435487863201,0.00786517156425287,0.219998085491443,0,0.0159085365069576,0.0446227088242125,0.056004149725115,0.0492536499979374,0.0764435487863201,0.00786517156425287,0.219998085491443,0,0.0159085365069576,0.0446227088242125,0.056004149725115,0.0826765967130021,0,0.0134095290844437,0
"Gide_PD1_8_Post",0.502203325164872,0.0857007628672459,0.0855757956426754,0.231878078628197,0,0.0551498534779804,0.0397114937696344,0.0737386172240332,0.0593122354872991,0.0857007628672459,0.0855757956426754,0.231878078628197,0,0.0551498534779804,0.0397114937696344,0.0737386172240332,0.0861894059921397,0,0.0657508710983524,0
"Gide_PD1_8_Pre",0.232977946198541,0.465220081057217,0.126491101620732,0.203095701399271,0,0.0434865573055178,0.0670302273652859,0.0995515501117448,0.0800593774815375,0.465220081057217,0.126491101620732,0.203095701399271,0,0.0434865573055178,0.0670302273652859,0.0995515501117448,0.123967287667305,0,0,0
"Gide_PD1_9_Pre",2.22149894299647,0.124473685699929,0.12050899641825,0.193562035032457,0.0406403984156417,0,0.0595466463657237,0.0513700935957205,0.0341076635951163,0.124473685699929,0.12050899641825,0.193562035032457,0.0406403984156417,0,0.0595466463657237,0.0513700935957205,0.0527499606444408,0.0556581343081964,0,0
