"","Quantiseq_B_cell","Epidish_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__HNSCC__B_cells","CBSX__CD226__B"
"LP.01.22",0.0224040581340855,0.0124447468559607,0.00991166117030955,0.11302062141969,0.0169460646668838,0.114299114535203,0,0.131969550907906,0.0696496403861869,0.336052891632628,0.183551454574227,0.111725271927022,0.860017725049027,0,0,0.209955409297833
"LP.01.24",0.0960536679720558,0.0731910509243474,0.0696884835030425,0.0889472024991594,0.0757989384488989,0.0776566628080498,0,0.0898533062718851,0.123061406921388,0.148727884867265,0.180056232903025,0.135744669556978,0.861539441778221,0.0148958509818547,0,0.144009732871945
"LP.01.25",0.0540586290434818,0.025533277527593,0.0222309419150707,0.0739008549869022,0.0255469951021317,0.0617660478119135,0.0171042428124391,0.104399429882356,0.069110630311597,0.246930778187667,0.332637326460549,0.0942835255793908,0.880272180217338,0.0757686776315983,0.00636946801128659,0.201178849284556
"LP.01.28",0.0837323160059855,0.0237797018526919,0.0227712562054523,0.0846283355997838,0.0268969983281669,0.0714776876705521,0,0.0965073963018789,0.127548071137796,0.187947814632562,0.157265823025402,0.141424096954626,0.844351138977054,0.00485857958905442,0,0.166578247216203
"LP.01.31",0.039914700492398,0.0191673287716926,0.01343666854678,0.0921721545696936,0.0246974283556177,0.0824810626595912,0,0.118608114661245,0.0776544801577525,0.321567009866429,0.217321502847339,0.109557369908053,0.894439543108431,0,0,0.189761733307287
"LP.01.35",0.0803347807755813,0.0440243035968913,0.043466654515892,0.0708350689871647,0.0496173676535763,0.0591753455985741,0.00697259847807089,0.109412696937794,0.0940665572083398,0.0674298340983796,0.274739895123759,0.105552014223292,0.82996426320787,0.0385430403121672,0.00874292028183707,0.133938545545418
"LP.01.40",0.0199848830010747,0.0133971392178846,0.00849595860346482,0.09352536266152,0.0112755072526747,0.0818113303152491,0,0.126123490053945,0.032836584301957,0.0977194606558827,0,0.075746063673331,0.841464312930916,0.0111753296864548,0,0.18108732653674
"LP.01.42",0.0797343521172352,0.0629711014262983,0.0659418204450374,0.0883937159599174,0.0749982261403323,0.0805020323507171,0.00355707026485972,0.126412398397377,0.0807009302075457,0,0.0950434556633413,0.136280983851056,0.781511628219241,0,0.00808220732023424,0.173288631060188
"LP.01.46",0.0451593722265601,0.0296171986763431,0.0222551774956701,0.088461103710556,0.028285527518448,0.0824552405569839,0,0.0964886014835858,0.0663971872593103,0.398334772745644,0.449559910176398,0.0936319120090752,0.881980405106637,0,0,0.218576833882741
"LP.01.58",0.0688990952321133,0.0336197577689921,0.0350531353085756,0.0977459445803215,0.0416968760083637,0.0837547050514636,0.0238597445254067,0.128070818587781,0.0811229472522262,0.137169075555897,0.181620477450416,0.122897624707871,0.944856341926379,0.108109153865432,0.0269431051735955,0.198350627569684
"LP.01.61",0.0466599304154923,0.0241672684029769,0.0220935507203456,0.0955657468063723,0.0302109348796871,0.0998393717197762,0,0.115667670715555,0.0604372201268027,0.0710890331925078,0.114746146044392,0.111570825633622,0.864343645871774,0,0,0.149239385242436
"LP.01.66",0.117846543055129,0.0831512757717776,0.0795259763327027,0.0946538132962793,0.0877203303964968,0.0889378560017243,0.0261161352437976,0.116390145302498,0.125159348057535,0.126735626502359,0.341079358565042,0.158200355721609,0.905138223740624,0.0858688580495131,0.00959251964781267,0.165154483823785
"LP.01.67",0.0359435298994425,0.0270532446629128,0.0217672647303978,0.0914204376748171,0.0329762418291939,0.0851111932718372,0,0.0862057188006274,0.0666354134734614,0.177669670762464,0.220372398035316,0.0822521226760594,0.873571600352579,0.0146425468944697,0,0.215157935596901
"LP.01.68",0.0583154432301971,0.0679712960737433,0.0634467003294217,0.0914474339548806,0.0710510431731125,0.0804484104957696,0,0.089015032829028,0.0959085893662821,0.112098108969465,0.268754691174263,0.115472225296454,0.918216343939102,0.00388513813390267,0,0.158350011508893
"Test.FFPE.01",0.0341395639681822,0.0198846352315405,0.0147055963504124,0.0744784745868355,0.0252182342196033,0.0782423269405512,0.0102154598387442,0.118791831622269,0.0507721067142554,0.219337039973548,0.218443331966911,0.0774096786196499,0.796267036762316,0.0336736152247886,0.00677506926705347,0.153186318479851
"Test.FFPE.03",0.0714479640818984,0.0222352134908089,0.0203562433501408,0.0778050805737257,0.0342598829663247,0.0718525262425921,0.0190257775976459,0.107895433005106,0.0830668448333461,0.139207070253135,0.464698715003034,0.101564486996238,0.958864225358773,0.0636332637853847,0.00934775063723688,0.164327729792807
"Test.FFPE.04",0.062200064852955,0.0384522399891733,0.0350385797443557,0.0905703545945902,0.0399534910645258,0.0934212291850327,0.0233728204366179,0.129130615377982,0.110399268579652,0.290514854649354,0.234084224319421,0.138909416803913,0.807429890734693,0.098077037089083,0.0154140931273917,0.202442962260486
"Test.FFPE.05",0.0964568636769294,0.0403654827656585,0.0373102496424074,0.0820664915245042,0.048480607551285,0.0721013181493876,0.0541764965918686,0.125998723454077,0.133398329386224,0.276205651560311,0.341063526892134,0.159274205540173,0.828836779046811,0.13156271746632,0.0531942472655388,0.202263745834358
"Test.FFPE.06",0.0482752944809919,0.00757013354972829,0.00374714999896637,0.0591203841559663,0.0106947206250364,0.0524550334226394,0.00536449258151106,0.120422585200016,0.090913732849855,0.20237863921293,0.124908678415889,0.150103508809954,0.866117604944699,0.0251634999931174,0,0.158350366258208
"Test.FFPE.08",0.0667837775424942,0.0403340671755384,0.0379032600948757,0.0953028914314822,0.0547644755907615,0.0925835555190709,0.000630500822583858,0.129213708932035,0.0864778763373083,0.162655103051956,0.262216652306424,0.144820472100857,0.880134235547111,0.0255021980614807,0,0.17899352610737
