"","Quantiseq_Myeloid_dendritic_cell","MCP_Myeloid_dendritic_cells","Epidish_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","DeconRNASeq_CCLE_TIL10_Dendritic.cells","Epidish_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.resting","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_resting","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"Pt27_Pre_AD453873.5",0.0674772503124699,3.86967346868328,0,0.0292876321046373,0.100438504586218,0.0427504898337935,0.152240322876986,0.0179992840225228,0,0.0292876321046373,0.592660443397193,0.0358786766484842,0,0.0887121320293475,0.573413043858054,0.110573447706278
"Pt29_Pre_AD497504.5",0.103433469827198,11.8683169070401,0.0153106915320915,0.0414155450807922,0,0.0393686081444662,0,0.00958857139878743,0.0153106915320915,0.0414155450807922,0,0.13987515228857,0.00309569122442672,0,0,0
"Pt30_Pre_AD497503.5",0.0914582852598356,1.90550877531512,0.0260298224887839,0.0680707871021258,0.26952665801201,0.0638485503679013,0,0,0.0260298224887839,0.0680707871021258,0.292938657631334,0,0.0261420129069553,0.093682464236737,0.176569757411527,0
"Pt31_Pre_AD453872.5",0.0148996202312465,28.9330996131768,0.00230815608875644,0.0243196600028815,0.0237065691099663,0.0307029162844417,0.120641873364449,0,0.00230815608875644,0.0243196600028815,0.02933604723417,0,0.00065248374807609,0.0249786450964755,0.319742125770492,0.0409218111701901
"Pt8_Pre_AD153354.6",0,4.99678811606805,0.00205623269480596,0.0257051163101595,0,0.0320833528975515,0.0604467425101788,0,0.00205623269480596,0.0257051163101595,0.0463062672175582,0.015900691979217,0.00685499260388678,0.0145887395575915,0.119363521480958,0.0671211678400968
"Pt11_Pre_AD153352.6",0,15.7855257103076,0.0498977565452369,0.110612719349634,0,0.00794405927863262,0,0,0.0498977565452369,0.110612719349634,0,0,0.0614536942052661,0,0,0
"Pt28_Pre_AD297619.6",0.0889018584379241,3.16431539391162,0.00479209129100385,0.0249810737972329,0.259999379281558,0.0929471380147397,0,0.0307199546068058,0.00479209129100385,0.0249810737972329,0.00799109126401142,0.13975982446241,0,0.237147145648086,0.177550746539403,0.0121113255732329
"Pt44_Pre_AD467790.6",0.118577118456841,7.3519323900508,0.0229419937625017,0.0587554807423537,0,0.0317288822975815,0,0,0.0229419937625017,0.0587554807423537,0,0.0451114633272627,0.0178632817113757,0,0,0
"Patient100",0,4.4400309957716,0.00300546495253701,0.0167219708925967,0.00738527136810142,0,0,0,0.00300546495253701,0.0167219708925967,0,0,0.002428406132228,0.0034224750955842,0,0
"Patient102",0,7.77546530881422,0,0.0156219222180595,0.0527722375405757,0.0286484279075306,0,0,0,0.0156219222180595,0,0,0,0.0437914679739895,0,0
"Patient105",0,0.622060056274,0.00555355754756895,0.0583169572698117,0.51419727831017,0.0537682647318352,0.0414858518052963,0.00817060827306545,0.00555355754756895,0.0583169572698117,0.368271099879368,0.0142080146590469,0.0457247539676662,0.44756410142727,0,0
"Patient106",0,5.14547732498312,0,0.00783087945590868,0.0342273358949217,0.0392269266785983,0.00757995359469366,0,0,0.00783087945590868,0,0,0,0.022121584084351,0,0
"Patient107",0,0,0,0,0.20144785124742,0.0303394378239255,0.0235745542273119,0.0265773600328773,0,0,0,0.0329665060064601,0.0609016777931049,0.0728577654371619,0,0.0823463822412512
"Patient108",0.0342331055256967,0,0,0.0293756841958308,0.247650707628428,0.0505230290843544,0.132826988341221,0.0720235983290766,0,0.0293756841958308,0.301548847419332,0.0957499554097548,0,0.34307420123526,0.0229469313219703,0.0393759985709562
"Patient10",0.0457498398456163,1.66866761403856,0,0.0410278397524867,0.0852952036042562,0.0335188761940884,0.0146943541116938,0.0181811180657697,0,0.0410278397524867,0.113798594611395,0,0,0.0929799955399719,0.0628965285912121,0
"Patient112",0,2.74295546419554,0,0.0152370563879811,0.033088554164087,0.0392863359305401,0,0.00398947511127159,0,0.0152370563879811,0,0,0,0.0843242327690702,0,0
"Patient116",0,2.2734334507432,0,0.0584145829383063,0.091080524561791,0.0434180446379238,0,0.0185217539998435,0,0.0584145829383063,0,0,0,0.0591040992679528,0,0
"Patient117",0.0335305220485268,4.2780877630396,0.00969765079051264,0.0357609364412402,0,0,0,0,0.00969765079051264,0.0357609364412402,0,0,0.00265711078451923,0,0,0
"Patient11",0,1.157521610104,0.0061908306347224,0.0491867291163377,0.106051865323953,0.0475346377485132,0.0256544899248985,0.000435765683395012,0.0061908306347224,0.0491867291163377,0,0,0.00192268639259843,0.122492818564977,0,0.0137793406250952
"Patient121",0.0226909361248735,2.23734259199944,0,0.0433319396479684,0,0.0342189439901872,0,0.0208901524953094,0,0.0433319396479684,0,0.0124081350658727,0,0,0,0
"Patient125",0,5.4466404730836,0,0.0211285775707263,0,0,0,0,0,0.0211285775707263,0,0,0,0.00583032993161865,0,0
"Patient126",0,8.03066823667864,0.00760773867804545,0.0132527946304095,0,0.0196095937694143,0.124773402216984,0.014953344818245,0.00760773867804545,0.0132527946304095,0.254684407172928,0,0.00185990242550963,0,0.210087599247886,0.14038793640469
"Patient127",0,1.48629549683942,0,0.0538027786066671,0.249748683764092,0.0437005435434662,0,0.0103307587090497,0,0.0538027786066671,0,0.00665599609655137,0,0.238747106816159,0,0.00920768175575894
"Patient130",0,2.295467300906,0,0.0270327980537526,0.0695495159582838,0.0312613440074042,0.0279742130506516,0,0,0.0270327980537526,0.0302292375496275,0,0,0.0768108542664761,0,0
"Patient131",0,1.4720747943908,0,0.0874781932067628,0.124919996780515,0.0475082985662594,0,0,0,0.0874781932067628,0,0,0.00646109500393447,0.125089754719266,0,0
"Patient132",0.00672732214413468,6.301473422595,0,0.0154232724487789,0.0229010802712842,0.0148401436224055,0,0,0,0.0154232724487789,0,0,0,0.0329709874618636,0.0280322983431604,0
"Patient133",0,2.630750080913,0.0229788565263075,0.0233939298495968,0.259695129140865,0.06815497643253,0,0,0.0229788565263075,0.0233939298495968,0,0,0.00542960625092808,0.260761124653085,0.0207539741365283,0
"Patient134",0,3.9318299138204,0,0.0210741327081747,0.00241690359516545,0,0.00149147231033614,0,0,0.0210741327081747,0,0,0.00378246877743511,0.0271016204660452,0,0
"Patient135",0.0205614001430285,5.0476305564466,0.0150044943315988,0.0543916520887879,0,0.0376502937051121,0.0302470567335831,0,0.0150044943315988,0.0543916520887879,0.165225004306315,0.0141748266992641,0,0.0649670775631577,0.0805550342102756,0.0341119316011316
"Patient137",0,2.41858328095424,0,0.0136592988284311,0.0643758040467674,0,0.0179689846370046,0,0,0.0136592988284311,0.0199233700727764,0.0170677774314729,0,0.0731913633141689,0,0
"Patient13",0,0.46354698737936,0,0.065428485225284,0,0.0328448766047974,0,0.00236544351593548,0,0.065428485225284,0,0,0,0,0,0
"Patient140",0,0.6114090908644,0.0148538725761906,0.0748831736048509,0.143574822435368,0.0465104670432015,0.0426289870944742,0,0.0148538725761906,0.0748831736048509,0.222223251147301,0.0215119697755814,0,0.154237325420112,0.0442715514158041,0.0158339027084254
"Patient141",0.0042095897502458,13.40196086622,0,0.0242640258570282,0.236454130471217,0.0813254376388626,0,0.0403939513422513,0,0.0242640258570282,0,0.0510982819247877,0,0.200937175515432,0,0.0137471915289516
"Patient142",0,2.74808010042,0,0.0646694161118552,0,0.017887300467687,0.00728315129027373,0,0,0.0646694161118552,0,0,0,0,0,0.0777441303638357
"Patient143",0.20649104302355,0,0,0.0364748190716891,0.123966193566268,0.0383797753859172,0,0,0,0.0364748190716891,0,0.0861314593483582,0.115963438911827,0.0994131879621933,0,0
"Patient144",0,3.68433667183822,0.0113350300224138,0.0881172216737574,0.0424904549370963,0.0237328452168798,0.0121499414538322,0.00121453224087758,0.0113350300224138,0.0881172216737574,0.108151506760817,0.0109686821201488,0,0.0105701300721667,0.480639318264734,0.00629238969283068
"Patient145",0,6.997553281388,0.083044972376972,0.0735317196974147,0,0,0,0,0.083044972376972,0.0735317196974147,0,0,0.128759862276155,0,0,0
"Patient146",0,3.752509033748,0,0.0181199541155892,0,0.0119631233703889,0,0.0130827294719714,0,0.0181199541155892,0,0,0,0.018260415735193,0,0
"Patient147",0,0.5368237415758,0,0.0693099412670751,0.114453539523285,0.0463991055707153,0.0282376332673104,0.0371520273649347,0,0.0693099412670751,0,0.0342434179654811,0,0.112286678149998,0,0.0051204463932291
"Patient148",0.07025854874667,1.59507635210486,0.011151631411678,0.0851034862756288,0.0724335900110336,0.0415982277625291,0.0807382866751464,0.02768741618053,0.011151631411678,0.0851034862756288,0.104824994633437,0.0996437510446959,0.00838026342004941,0.0974227116675222,0,0.0220142989104063
"Patient149",0,13.6496864567142,0,0,0,0,0,0,0,0,0,0,0,0.00815308881649724,0,0
"Patient14",0,5.2916821310746,0.0166260984361489,0.0521546205600758,0.0268369889830353,0.0250799882001811,0,0,0.0166260984361489,0.0521546205600758,0,0,0.0122438216539622,0.0251600030257773,0,0
"Patient150",0,1.17053159100294,0.00618224031994697,0.0288774141592724,0.173007928872437,0.0717013303992947,0.0247300947587257,0.0294130465030608,0.00618224031994697,0.0288774141592724,0,0.0151226065225276,0.0191226566222256,0.167655825289145,0,0
"Patient154",0,4.7145570520894,0,0.0265055820701154,0,0.0072453115427228,0,0,0,0.0265055820701154,0,0,0,0,0,0
"Patient155",0,1.9709460650596,0,0.0772341518745992,0.0272125476125336,0.0281782011505109,0,0,0,0.0772341518745992,0,0,0,0.017054972012812,0,0
"Patient156",0,2.4648696335005,0,0.0715859351351604,0,0.0233483151477842,0,0,0,0.0715859351351604,0,0,0,0,0,0.0388176980774437
"Patient158",0,1.1550591400232,0,0,0,0.00714910787554919,0,0.0430044929757264,0,0,0,0.054349981930136,0,0.00650848265356139,0.0274678415269012,0
"Patient159",0.0173677152547992,0.81211079978198,0,0.0173396247553629,0.0449733623102946,0.0410305678330731,0.0389368173365089,0.0398323736886447,0,0.0173396247553629,0.173319219842883,0.0497358266690033,0,0.0933567618241617,0,0.0379813658330385
"Patient15",0,14.689108719658,0.029270755722943,0.069568214186997,0.213858715665787,0.0492268786591472,0.0198813286893172,0,0.029270755722943,0.069568214186997,0.0669437420322901,0,0.0162901999511353,0.243640056637243,0,0.0152903883831124
"Patient162",0,0.9714329012438,0,0.0182931250102943,0.0485519955382784,0.0247335248463867,0.0991843449249475,0,0,0.0182931250102943,0.0907584707480269,0.015599567142739,0,0.141206326867595,0.0190073831952568,0
"Patient163",0,2.8917116570084,0,0.0152391410135651,0.0394736300149876,0.0422600870602679,0,0.0138667221590346,0,0.0152391410135651,0,0.0119157857158027,0,0.0755808719416017,0,0
"Patient165",0.0440456605662772,1.14667679867998,0,0.0513045918579297,0.0668151453034783,0.0359268093708407,0,0,0,0.0513045918579297,0,0.0228589048302946,0,0.0807488020507604,0,0.00190680254794855
"Patient166",0,0.27459700529568,0,0.0709798574738044,0.151954268856319,0.0391241497453112,0.0252286085240245,0.0302574327693854,0,0.0709798574738044,0,0,0,0.174261323594775,0,0.0197533042730895
"Patient167",0.00343492839356538,2.5256808685188,0,0.0490431094391511,0.0283470870864377,0.038657078093174,0.00280383495058995,0.0159082450487321,0,0.0490431094391511,0,0.00435334384437959,0.00136220804422885,0.0352947168017885,0.0708452843799121,0.013747365103327
"Patient168",0.0345103896885722,0.62380841563182,0,0.0803736065038542,0,0.021203974690882,0.00138852664121405,0.00994009532747583,0,0.0803736065038542,0.0955177664466869,0.0796638205493972,0,0,0.0318591736713073,0
"Patient169",0.00366632814061283,10.978692354598,0.10098168881119,0.0646017479243967,0.00937777744148735,0.0347593226592871,0.0336857444486418,0.0074610653393867,0.10098168881119,0.0646017479243967,0.125015363311462,0.000906705614342418,0.0897764597107308,0.0514477432393781,0.0226479716117167,0
"Patient170",0,2.779404656595,0.024108057047839,0.0802706253288618,0.0172251639922,0.0285882599960665,0.00734401447169272,0,0.024108057047839,0.0802706253288618,0,0,0.0086119522529821,0.0164541382897857,0.0240740765998253,0
"Patient172",0.010282338167952,29.286819665876,0.0870866897573011,0.0587319246394565,0.00501066669718191,0,0,0,0.0870866897573011,0.0587319246394565,0,0,0.123210731568547,0.0175087973668317,0,0
"Patient173",0,2.1284454250639,0,0.057323808212001,0,0.0203348767183899,0,0,0,0.057323808212001,0,0,0,0,0,0
"Patient179",0.0050366374897291,0.703872383244,0,0.0380470004026204,0.964164208978831,0.0968045220401754,0.0560258408645462,0.0736953890043932,0,0.0380470004026204,0.1649479181,0.111412810945372,0,0.783646193534363,0.398144165437426,0.0736976972419817
"Patient17",0,4.188883376454,0,0.00643202429218064,0.00333323967767418,0.0102738634587239,0,0.00496240951570545,0,0.00643202429218064,0,0,0,0.00267032780039693,0,0
"Patient181",0,5.697967698696,0.0123376407924662,0.0379036428523231,0.0736089872246621,0.0392636770344356,0,0,0.0123376407924662,0.0379036428523231,0,0,0.0123738909983276,0.063813470910845,0,0
"Patient183",0.0128260332352727,5.593294294158,0.0180656612224785,0.0195120846545956,0.170897219799145,0.0439189300020651,0,0,0.0180656612224785,0.0195120846545956,0,0,0.0297372132974047,0.139527739292082,0,0
"Patient184",0,6.223760942024,0,0.0110720572101007,0.106952286704771,0.0391469591224284,0.0215305167310907,0.0112060767690871,0,0.0110720572101007,0,0.000610912124053245,0,0.100854454070692,0.0264771108365932,0.0196868114477195
"Patient185",0,3.585263154528,0.023180564589341,0.0570798803282436,0.00981895569211412,0.0340591253686519,0,0,0.023180564589341,0.0570798803282436,0,0,0.0534007856061544,0,0,0
"Patient187",0,8.1328867271642,0.021489150317864,0.026672308454653,0,0,0,0,0.021489150317864,0.026672308454653,0,0,0.0668078639659069,0,0,0
"Patient188",0,0.87554827702994,0,0.0386392359011507,0,0.0302166209315431,0,0,0,0.0386392359011507,0,0,0,0,0,0
"Patient18",0,9.85472925821958,0,0.0600305619525627,0.156996312454146,0.0413941785791333,0.045508722729806,0,0,0.0600305619525627,0.310332666460115,0.012086820160118,0,0.2295758937644,0.18830238778292,0.022441611313252
"Patient1",0.00695630862804186,1.3286968327086,0,0.0273329135676335,0.328127170994419,0.0422955616724688,0.0424011976993534,0,0,0.0273329135676335,0,0,0,0.388178022560867,0,0
"Patient20",0,4.58900709830452,0,0.0266552917975357,0.00631888561457456,0,0,0,0,0.0266552917975357,0,0,0,0.00346397106238588,0,0.0262065460341829
"Patient21",0.0552195657003785,0.634322231194,0.0222195669518341,0.10279072669216,0.258330421139894,0.048347389129565,0.00361519778899553,0.0569021932089357,0.0222195669518341,0.10279072669216,0.137682347659735,0.0922969989979452,0,0.230508530047833,0.184211067926681,0.025080831635777
"Patient22",0.0872523763161854,0.9445002487776,0.0147269842147148,0.0952848032671088,0.149712699358582,0.0487709162527322,0.0527032735879774,0.0948210888912128,0.0147269842147148,0.0952848032671088,0.160319471060872,0.118885386556043,0,0.137083420400518,0.295280467415882,0.0599931419873496
"Patient23",0.00730230863748992,1.40764426830118,0,0.00892622946845136,0.184490805274127,0.0443095796555086,0.0223524317482732,0,0,0.00892622946845136,0.00506649695619908,0,0,0.20675178969186,0,0.0288435116855827
"Patient24",0,0.8067674341606,0,0,0.00320390502867552,0.00633689658281998,0.0125715384249635,0,0,0,0,0,0,0,0,0.0154294891914542
"Patient25",0.0650457435839497,5.5208812545394,0.035021668577283,0.0882130180536841,0,0.0265059045360394,0,0,0.035021668577283,0.0882130180536841,0,0.0100261216487209,0.0568767198966812,0,0,0.0131791960024711
"Patient27",0,2.44467085944754,0.00150026277715301,0.0183591511392697,0.0391050098768454,0.0389916572239921,0,0,0.00150026277715301,0.0183591511392697,0,0,0,0.12293888335401,0,0
"Patient30",0,1.5256983088176,0.00564981231639116,0,0.0161890533679061,0.0328785588490725,0.0867908534735728,0,0.00564981231639116,0,0.150050377872486,0,0,0.0185634418006252,0.281643379514644,0.163746965257665
"Patient31",0.0399249453148577,0.4162383884,0,0.04295262860507,0.166048981497241,0.0404435102670261,0.107806915335498,0.0571234963169401,0,0.04295262860507,0.354593978857174,0.0630450530322915,0,0.18777880581535,0.321901279603378,0.0360806207660682
"Patient32",0,1.5846938801316,0.0257804045060124,0.0580938755316307,0.149796532319582,0.0421113576944305,0,0,0.0257804045060124,0.0580938755316307,0,0,0.00321112971264099,0.150591212958982,0,0
"Patient33",0.01566473157599,12.1551820682266,0,0.0226124048546716,0,0,0,0,0,0.0226124048546716,0,0,0,0,0,0
"Patient34",0.0290316548138818,4.71396417240314,0.000165253102390083,0.059721130911848,0,0.00938360186793273,0.150486509648558,0,0.000165253102390083,0.059721130911848,0,0,0,0,0,0
"Patient35",0.0105322661963055,0.79801529967574,0,0.0518597036955152,0.110700998211693,0.0358325131665156,0,0.0320763429294948,0,0.0518597036955152,0,0.0222007576035149,0,0.118062032801854,0,0
"Patient36",0.00618299897082758,1.002289340219,0,0.0622654469515602,0.0969314469703096,0.0496310171220438,0.00435379735576367,0,0,0.0622654469515602,0,0.00292725037145538,0,0.0597196371847314,0.300150310454522,0
"Patient37",0.00607815609009568,5.1063894908716,0,0.0183689774277054,0.029697951822668,0.0143643421347746,0.078478494151661,0,0,0.0183689774277054,0.113267255080395,0,0,0.0265644801262795,0,0.0109679125587172
"Patient38",0.0307849546646336,0.44151905793786,0,0.0787896221115533,0.183671618058859,0.047571260762532,0.0491008924902425,0.0519071027025449,0,0.0787896221115533,0.0940492719822087,0.0688916821423408,0,0.135342727848411,0.112500974907521,0.085953971538146
"Patient40",0,0.54293583820364,0.00123078496169105,0.0107273665704188,0.230340071215318,0.0437784770615854,0,0,0.00123078496169105,0.0107273665704188,0,0.0212382109707916,0.00040706804214341,0.218112596013819,0.0269492418238193,0
"Patient42",0,1.21029780410654,0,0.00223102492532297,0.105210825650885,0.0429624782552191,0.00261414528290823,0,0,0.00223102492532297,0,0,0,0.0536739970236456,0,0.0231858298590422
"Patient44",0,5.9849963137832,0,0.00164080725826575,0.0186979501095231,0.0352171510434538,0.0476492231503316,0.0482318398425077,0,0.00164080725826575,0.07456302725358,0.0187897910260929,0,0.0347744103666659,0.13575012867216,0.073744299949069
"Patient45",0,2.190977786734,0,0.0218068365281628,0,0.0216062001223546,0.0098516102438494,0,0,0.0218068365281628,0.0755483354970035,0,0,0,0.0581194686344331,0.02943668728398
"Patient47",0.0255479648631496,1.1217300670364,0,0.0560698834457949,0.15271108054032,0.0692754218152799,0,0.0147624082701443,0,0.0560698834457949,0,0.0620542373246687,0.0092261171125656,0.125669832202944,0,0
"Patient48",0.0299276682441784,0.5568785747734,0,0.0757588354872676,0.275144977133248,0.0401916052723727,0.067893087218998,0.0673286363399602,0,0.0757588354872676,0.0217040273741991,0.112847027164312,0,0.274804949091694,0.0934152422617891,0.043634568894906
"Patient4",0,2.99890319835148,0.0415584825853806,0.0507323255233013,0.0187373561447425,0,0.0246583064293749,0.00101482977244107,0.0415584825853806,0.0507323255233013,0.0450746055084775,0.0130002603372867,0.0380618459437932,0.00499767059746379,0,0.00514619664315785
"Patient51",0.0186118007512674,3.95719918632,0,0.042336897554533,0.0157520497652641,0.015253637189113,0,0,0,0.042336897554533,0,0,0.00341546803775512,0.0172644158773031,0,0
"Patient58",0,2.858350378536,0.0195184959314434,0.0837274971074035,0.0421354227749427,0.0401335253535313,0,0.00170831510075308,0.0195184959314434,0.0837274971074035,0,0.0108824400144095,0.00215391899845915,0.0572280879017424,0,0
"Patient61",0.122448158802453,16.73195741739,0.0595028388633264,0.0725149554979502,0.0636563841649117,0.0190651374282234,0,0,0.0595028388633264,0.0725149554979502,0,0.00102923204390736,0.0545703596014413,0.106278644955358,0,0
"Patient62",0,3.7345464544746,0,0,0,0.00219622876350976,0.00938293709827035,0,0,0,0.13464831573106,0,0,0,0.0156281000305694,0.00569758905320606
"Patient63",0.0261947528993661,1.3967914100824,0.00047682344143642,0.0656581865894273,0.474582064030344,0.0617094302644777,0.00353019211019816,0.0155548291298099,0.00047682344143642,0.0656581865894273,0,0.111508055082568,0,0.470212606257174,0,0.0258504623971373
"Patient67",0.0225439656272487,3.9750609816692,0,0.0454895122599409,0.247742567103827,0.0439885490862669,0,0,0,0.0454895122599409,0,0,0,0.170107123779318,0,0
"Patient6",0,2.5972476586148,0.00354576058979024,0.042200101328271,0.0256130057697453,0.0336428253320847,0.00817743144932928,0,0.00354576058979024,0.042200101328271,0.0117123510666067,0,0,0.0632552653018284,0.00967888965313855,0
"Patient72",0,1.9835511882328,0.00227963135577713,0.0653545689374984,0.0323272326059925,0.0199449760307946,0.0900642778067603,0,0.00227963135577713,0.0653545689374984,0.114055956878282,0,0.00124246852673489,0.00474649777683727,0,0.00324777110653289
"Patient73",0,1.46171860361396,0,0.0834705521842975,0.00480891405511455,0.0382428263900661,0.0169045302147509,0.0203755818691197,0,0.0834705521842975,0.10571215010497,0.0442556837479795,0.00079102317179764,0.0471621760933904,0,0
"Patient75",0,1.5451102485008,0,0.016400380335072,0.0201723383954329,0.0279851319631742,0.05685617949295,0.0222303587556374,0,0.016400380335072,0.2282645329114,0.0116021623089589,0.00792893106578058,0.0577565030450545,0.199749559555483,0.117064336573589
"Patient77",0,2.16166992675834,0.0106430279695393,0.0108076218111187,0.0397306159964321,0.000126501325751302,0.124450945611139,0.000353562864198909,0.0106430279695393,0.0108076218111187,0.155793405869261,0.0191962040228453,0.00302525064773967,0.0344311950092267,0.11585987169248,0.126747473481528
"Patient78",0.00616408276150403,5.2409576026478,0,0,0.000541089170465501,0,0.0382012232300028,0,0,0,0.103529866813896,0,0,0,0,0
"Patient79",0,2.43504914997532,0,0.0341002073610987,0,0,0,0,0,0.0341002073610987,0.0198955880600888,0,0,0,0,0.0421667622639492
"Patient7",0,0.79956228577652,0.0237251061278579,0.0426479564103313,0.0441612297144387,0.0431667762666927,0.00568977062611954,0,0.0237251061278579,0.0426479564103313,0,0,0.00332712278695481,0.0526882839241816,0,0.0101709383318194
"Patient82",0,8.3700429466956,0,0.0533556369905472,0.187794112105347,0.0428952924632275,0.0148742492320067,0.0137232136483733,0,0.0533556369905472,0,0,0,0.132514220096143,0.117147910363531,0
"Patient83",0,0.74915007120312,0.00544548797302169,0.0689768369499443,0.117626675896301,0.00925790422618777,0.0221461010188001,0,0.00544548797302169,0.0689768369499443,0.0346879407095365,0,0.0586204347053198,0.0447590969315066,0,0.0158524655960567
"Patient86",0,5.1403021278516,0,0.0198208324303836,0.0362733591998909,0,0,0,0,0.0198208324303836,0,0,0,0.0562971435015256,0,0
"Patient87",0.00686373096170822,3.47102447191612,0,0.0191235293734647,0,0.0331611271701619,0,0.00949506024529076,0,0.0191235293734647,0,0,0,0,0,0.00940667381659008
"Patient8",0,1.2018443042412,0,0.0695422593149859,0.0729062862992377,0.0260733193280999,0.0450201612001058,0,0,0.0695422593149859,0.0310839872761287,0,0,0.0504047755819376,0.281822835401648,0.0485305812469556
"Patient94",0.0338118956096024,3.513338546737,0.0118063752644707,0.0848217508647452,0.0729040452882258,0.0333024272635895,0.0089345287898321,0.00564528902216027,0.0118063752644707,0.0848217508647452,0.0526776365338377,0.076845752990505,0,0.0706713942720562,0,0
"Patient96",0,0.2981235997828,0,0.0853585004612067,0.029405955944625,0.0412531287418429,0.0471618389828253,0.0674769514144372,0,0.0853585004612067,0.234533320995896,0.0241354118466119,0,0.0201707104736528,0,0.0239781269395968
"Patient98",0,4.1770824436686,0.00536385970941116,0.017712634454761,0.0588034232335975,0.0356335181825342,0.0155323562696636,0,0.00536385970941116,0.017712634454761,0.018391681069472,0,0.00327701855696385,0.0788487277885618,0,0
"Patient99",0.0347915694961516,4.29894132882742,0,0.0727677348173077,0.0551892267125009,0,0,0,0,0.0727677348173077,0,0.0114839868028518,0.00480499332368529,0.0697794248578639,0,0
"Patient9",0,1.3501922917296,0.014333266429386,0.0354542427448878,0.0793952600247554,0.0427365898690652,0.0222659096047466,0.00725780971540951,0.014333266429386,0.0354542427448878,0.114121981978057,0.00401291374652484,0.0104457156201851,0.0757886897045854,0.171424407286669,0.0493663095800501
"Patient56",0,17.639399930026,0.0505745704014543,0.0663002201495168,0,0.00598365434509069,0,0,0.0505745704014543,0.0663002201495168,0,0,0.0314244250412032,0.00564807181682384,0,0
