"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"R3388_YZ_26",0.116462359079277,0.0603556540501311,0.0976257700978768,0.0143297169938071,0.119401871857126,0.254979120112428,0.154669007363677,0.113348427367107,0.839053522769792,0.00027427257067752,0.0236246813442787,0.15217476685974
"R3388_YZ_27",0.0958246881553676,0.0906367877182485,0.123897192736277,0.067488456228398,0.111843266019871,0.454698630734818,0.352488515153257,0.124034266967104,0.90491718145639,0.228968629911911,0.0497219268744629,0.284115769851588
"R3388_YZ_28",0.0588240893455835,0.0381760765731939,0.0891880551931726,0,0.0237376368039603,0.532405165495047,0.388200180079272,0.0506483567502279,0.648248183872478,0.0907544739507512,0,0.180301889577897
"R3388_YZ_29",0.0798652046449772,0.0107988702659927,0.09260133933294,0,0.13319055554676,0.577367339478659,0.196060634361618,0.156763638155282,0.717207264357958,0.099347527937945,0,0.287666508718879
"R3388_YZ_30",0.0422126568047529,0.0215273029917394,0.0914568050395208,0,0.0434438382079301,0.3554909826147,0.300581635822903,0.086451845434358,0.808737948058462,0.0539335858274824,0,0.197996433299763
"R3388_YZ_31",0.0468834176534003,0.000773319497903575,0.0763579355170077,0,0.0942857649831369,0.268171203573656,0.0479733613391008,0.111840358068767,0.449058195647758,0.00340489818405828,0,0.243452892916169
"R3388_YZ_32",0.0626447895203109,0.0197905576327814,0.0901004331871387,0,0.0941541476761538,0.280146216788465,0.132071070759041,0.0979416967375508,0.739014011915548,0.0161608402086355,0,0.203579841697358
"R3388_YZ_33",0.0502859945018114,0,0.094175459166831,0,0.109842132085884,0.475246576182554,0.155681631085619,0.119086234240911,0.737067188327583,0.0767291057710793,0,0.304695908359386
"R3388_YZ_34",0.0396310650173463,0.041321172755166,0.125401941832505,0,0.0644336206647299,0.449887640914163,0.386855242059941,0.0666870395069867,0.96964132231615,0.0366366173833066,0,0.35044017104791
"R3388_YZ_35",0.12099032616344,0.106905970232904,0.113934246326585,0.0404000768907608,0.135528124628399,0.427253045433095,0.196617112242952,0.135189369531312,0.733086418782993,0.271823330263519,0.0185752312219283,0.196127435000962
"R3388_YZ_36",0.0512252565187506,0.0130984460705183,0.067707337977396,0,0.0869655014643864,0.400138548237957,0.122293249877352,0.0977522373270113,0.850478267957029,0.0747544305945216,0,0.283770984058876
"R3388_YZ_37",0.0490387161394466,0.0206353818065566,0.0754917038835598,0,0.0462576299414959,0.325611159372235,0.0917259346359629,0.0544576533136833,0.749528595072593,0,0,0.118832272722091
"R3388_YZ_38",0.144405735705935,0.070193740268292,0.117542002038403,0.05400773282713,0.169308250606608,0.42658249147812,0.303430585077494,0.173594920421035,0.843753262594055,0.217741721539159,0.0576826927868441,0.285628252527208
"R3388_YZ_39",0.0766169902365868,0.082114159689787,0.113040553827042,0.00800951490447466,0.0893167922802932,0.338840738215665,0.272590830601247,0.106071381771908,0.788991008111619,0.170033823621353,0.0117633472742461,0.230538614580923
"R3388_YZ_40",0.109756339223866,0.0936068714289655,0.148093489339073,0.036565197189718,0.114022465749863,0.567221313621343,0.42766924276139,0.18404794145722,0.844447109901539,0.342377314858617,0.0655155034990274,0.280145512338329
"R3388_YZ_41",0.194595463711775,0.201497099675924,0.152372565450132,0.164910266402847,0.170681409273328,0.523358732401124,0.310776177316493,0.177182764999267,0.879877022462214,0.346257571169688,0.187535767664952,0.352701156554971
"R3388_YZ_42",0.0654717108748933,0.0321871836397745,0.109902386110259,0,0.0864188081102084,0.383328075960408,0.085783392072168,0.118953491196858,0.868095144081963,0.0882321461003677,0,0.246963855491303
"R3388_YZ_43",0.0995355723637638,0.0512094494004836,0.101831337565182,0.00453723292843708,0.129379865761404,0.299037264319934,0.109445043768022,0.142820383182405,0.830381242430379,0.0967043552827293,0,0.156706194576326
"R3388_YZ_44",0.0482823681568619,0.0409506274867523,0.0990088618365433,0,0.0184976015357263,0.404362674012971,0.315663802792532,0.0581355816044689,0.953386179614371,0.0692003069567056,0,0.149132890078673
"R3388_YZ_47",0.0409439843177002,0.0152424674039636,0.105509002038325,0,0.0839221158626302,0.419839780146093,0.207354468518912,0.0881989335406186,0.899647652526403,0.0752847632460856,0,0.236522337400754
"R3388_YZ_48",0.0541297324488355,0.00952439899353215,0.0616064853001293,0,0.0586918470083986,0.260179288496273,0.0945455098724136,0.0865025027618124,0.735091135890369,0.0326750496819923,0,0.269267685013391
"R3388_YZ_49",0.0711490064994121,0.0552697700379974,0.110451052925496,0.060447269118305,0.0817410782570326,0.503251744465049,0.228662267427938,0.0934452564991232,0.667099365509382,0.15968453865132,0.0786564908724792,0.26018197230247
"R3388_YZ_50",0.0821127768619875,0.0794911819448363,0.127760322005725,0.0599658241459124,0.109902828338938,0.4149174657694,0.40483326373674,0.142105272021712,0.778702478713418,0.197471714220618,0.0746366735184777,0.281969412796027
"R3388_YZ_51",0.0317975567717975,0.0346703592702695,0.105646965329332,0,0.0307826264674978,0.55802151321197,0.400428726792924,0.0724584968828844,0.807410244617503,0,0,0.209354520592274
"R3388_YZ_52",0.0660091394898282,0.034530541682298,0.0934320376607587,0.00714115381124299,0.0674290883092391,0.30654260847121,0.265750977289327,0.0749950807595019,0.850412689660741,0.10530974396325,0.00695426633162423,0.228822062097856
"R3388_YZ_54",0.1570201117499,0.105234991881879,0.10522451535548,0.0991588468514857,0.162149752528052,0.385228666971261,0.196071190356879,0.163157290163392,0.826116293209617,0.258905544707108,0.0847077032190461,0.305898747599746
"R3388_YZ_55",0.0852663729022134,0.0365330780934126,0.0861206290917206,0,0.0779392240548929,0.466008181855239,0.183925856590148,0.111819336682787,0.632766374541431,0.118791867000456,0.0100677488488055,0.232942138732152
"R3388_YZ_57",0.0334507252123525,0.0216638520446881,0.0795566422563757,0,0.0561910214800054,0.483309977558588,0.36769893431057,0.0714026775739403,0.682604927963395,0.0425474492248433,0,0.220854559790765
"R3388_YZ_58",0.058486382489511,0.0495836914597082,0.107551113517423,0,0.0993172069890209,0.652231259684081,0.360335479709836,0.119516188872906,0.794271464405806,0.0691282700411517,0,0.281636699372855
"R3388_YZ_60",0.0706650950223121,0.117996933737315,0.147070519010896,0.0425697479862417,0.10664143530073,0.413104848222551,0.255063810644659,0.110264500118103,0.951198705388837,0.266547324969753,0.0435136196744642,0.289511518336682
"R3388_YZ_61",0.0383257361871708,0,0.0825710882309424,0,0.0623411788085505,0.293155517281249,0.167135911121724,0.0976972934036556,0.879264184479844,0.00020119911628208,0,0.151209287768914
"R3388_YZ_62",0.0309556695905417,0.0322054678061058,0.11814792592704,0,0.0827077452619216,0.432382329751859,0.205588520581902,0.0872811247452653,0.721034188129104,0.0306078489914551,0,0.191949305031934
"R4163_YZ_1",0.00830327192650934,0.056667200953654,0.158100434414253,0,0.0279276136947619,0.330136532868972,0.304533615521044,0.0439141250778026,0.569630539555651,0.200704486558421,0,0.237212142027604
"R4163_YZ_2",0.136930360621913,0.197452317690815,0.188874618027581,0.0294264019362543,0.0762579817989777,0.310820894299101,0.206844903576883,0.0720230278291146,0.688389912884298,0.348224186720806,0.0372436068515625,0.0920083416767188
"R4163_YZ_3",0.247417303659892,0.308062653448579,0.264981612536719,0.166479321712213,0.27618052216873,0.439287385264572,0.444093598908831,0.286098262658938,0.878118135631027,0.563777750644127,0.178886296472014,0.226061057104604
"R4163_YZ_5",0.0883973436723354,0.138113395493251,0.154408699991031,0.0218444641246258,0.0502626499369296,0.165637894638544,0.38946527199233,0.0908719049729335,0.853417310608676,0.351979561698885,0.0241214410516058,0.147488648850403
"R4163_YZ_7",0.0580508769719304,0.0588542967170336,0.133028541393881,0,0.0689956578053425,0.343693642511406,0.341223075732886,0.0774022476845654,0.771917808810558,0.169826789891151,0,0.252633910033161
"R4163_YZ_8",0.0340405502474028,0.175090892628744,0.180306810519561,0.00816021244782688,0,0.259824707877043,0.0506325645069317,0,0.454244649705665,0.202445832155769,0,0
"R4163_YZ_9",0.0327592885161233,0.0380128279693413,0.124554981281323,0,0.0272725291730846,0.243685638956108,0.36489004158366,0.0360012865805791,0.913861388373481,0.141790733609905,0,0.148362094690377
"R4163_YZ_16",0.0417582033949879,0.0285232058408962,0.127192100263702,0,0.0401849393370568,0.194888307967186,0.131572381494577,0.0528744098044633,0.742125667029768,0.010394443376849,0,0.122635431655073
"R4163_YZ_17",0.00327307077948352,0.164595178089689,0.164794346758715,0,0,0.175437030502202,0.0528724133645887,0,0.494271260766569,0.208172882240507,0,0.0293334078166056
"R4163_YZ_18",0.0505648144335331,0.137925671842857,0.161653541215864,0,0.0195397010554201,0.212934549851439,0.209341700638719,0.0158196564786995,0.596740045299388,0.260197634268272,0,0.0959629317235138
"R4163_YZ_19",0.121049371472977,0.136942378938447,0.154387436428881,0.018165606549547,0.081693877664456,0.345548257299429,0.234386872338515,0.0870253518540812,0.81619235517066,0.334581496022391,0.0245083565051612,0.227346279254888
"R4163_YZ_20",0.0387507511850428,0.0249564154976651,0.109666072697758,0,0.0326367325552971,0.232351057233514,0.280695882882768,0.0488166441224949,0.778923306511623,0.051538471008762,0,0.189884812933262
"R4163_YZ_21",0.0427759748792701,0.0405072632602705,0.108600153307856,0,0.0676053167644196,0.129892498385886,0,0.0766787695426044,0.523629819905453,0.0441941956484997,0,0.119226681371166
"R4163_YZ_22",0.0947842122513777,0.0802890024508157,0.134077852383337,0.00737186407682081,0.0809714024921388,0.326594123756661,0.155335930765313,0.0852632557771592,0.828253103453409,0.193767647487938,0.0129823378721181,0.275546851613213
"R4163_YZ_23",0.101330061271411,0.144474772775082,0.154159553307524,0.0110036222508389,0.0845997399866929,0.436676296402056,0.382864749337008,0.0892677632720185,0.85610797608181,0.306820285105045,0.0180408308183098,0.148741247429067
"R4163_YZ_25",0.0677894347761774,0.0545173223512954,0.126725614646166,0,0.0509149715831859,0.157772633598239,0.277184638393063,0.0677897078342882,0.894129828751928,0.134791542409336,0,0.0806162963826911
"R4163_YZ_26",0.0394866753298605,0.0103880708976611,0.107102679409726,0,0.0788270762546438,0.452367134124686,0.183516354724253,0.0918785523799892,0.55141379935748,0.0426632336541383,0,0.391229280197926
"R4163_YZ_28",0,0.0829418920003264,0.143110800599651,0,0,0.200194327706404,0.123837596069506,0,0.294025379525893,0.0870599506627126,0,0.0700732131621083
