"","Quantiseq_NK_cell","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__CCLE.TIL10__NK.cells"
"LP.01.29",0.0422406312533851,0.0460151271178155,0.0986022775667608,0.0674284184312998,0.066713284080377,0.159923561511845,0.0728065823390448,0.00623676590045597,0.0363637207703774,0,0.0714710893495381,0.0674284184312998,0.066713284080377,0.159923561511845,0.0728065823390448,0.00623676590045597,0.0363637207703774,0.13262263907344,0.0540684117966605,0,0
"LP.01.31",0.0400562917675356,0.054260086524229,0.0850042527018085,0.102620779459559,0.147541349108513,0.165034692168127,0,0,0.0896675383471447,0.0425402028937846,0.438870777626811,0.102620779459559,0.147541349108513,0.165034692168127,0,0,0.0896675383471447,0.446604728303933,0,0.0109856546930607,0.00547766269280887
"LP.01.37",0.0209385031528518,0.0606410387706357,0.089394826877287,0.0927272547826108,0.0749611791721564,0.175224101123597,0.0261244578582314,0,0.0472702440800765,0,0.0459954546512464,0.0927272547826108,0.0749611791721564,0.175224101123597,0.0261244578582314,0,0.0472702440800765,0.0716179551342295,0.00889249768412605,0.0242692347252697,0
"LP.01.38",0.0210852878591978,0.0662259196098193,0.080074583534779,0.0650695526344767,0.0729984318541592,0.237694537592735,0.0273707016917098,0.0295286263802581,0.0753240863841174,0,0.106960609230439,0.0650695526344767,0.0729984318541592,0.237694537592735,0.0273707016917098,0.0295286263802581,0.0753240863841174,0.227666456542575,0.00699006856132388,0,0
"LP.01.40",0.0270598693934372,0.0795117272397273,0.105035877835465,0.0684347137005858,0.0734988722284168,0.202751317118279,0.0603619769156863,0.0281224157696444,0.0702140234847556,0,0.0848981183633062,0.0684347137005858,0.0734988722284168,0.202751317118279,0.0603619769156863,0.0281224157696444,0.0702140234847556,0.138155865997767,0.0776264995348177,0,0.00343364031802107
"LP.01.43",0.0336789706467375,0.0427215755113601,0.0725475974264214,0,0,0.150556479795966,0.0315938856736577,0.0268095144692526,0.0106851671325698,0.0493767545386656,0.0888792910539638,0,0,0.150556479795966,0.0315938856736577,0.0268095144692526,0.0106851671325698,0.112526238292315,0.0222146561417136,0,0.0449284476004215
"LP.01.45",0.0334274961669837,0.0562364860477107,0.099865494121746,0.110891338259511,0.0727195959457147,0.226091108770524,0.0321716742495982,0.0142636238982507,0.0540553777126664,0,0.0812941818564054,0.110891338259511,0.0727195959457147,0.226091108770524,0.0321716742495982,0.0142636238982507,0.0540553777126664,0.140726743976587,0.0334695311990063,0,0
"LP.01.47",0.0315841902227473,0.0328157191357821,0.0780275782112805,0,0.0364498863988476,0.162512238847216,0,0,0.0199180213328412,0.0255432094999473,0.197123917843292,0,0.0364498863988476,0.162512238847216,0,0,0.0199180213328412,0.206731850191196,0,0.0114638416195765,0.0259629969313425
"LP.01.48",0.00371736151713595,0.0663012050894135,0.0866691486518542,0.0167041940123846,0.0672183460784913,0.239627766834275,0.0839169142758512,0.03749809681021,0.0701540177083352,0,0.0194554764593137,0.0167041940123846,0.0672183460784913,0.239627766834275,0.0839169142758512,0.03749809681021,0.0701540177083352,0.0740855513657373,0.0129072844811635,0.0119002358546712,0
"LP.01.52",0.03032507274496,0.0655301887815274,0.0842349453179131,0,0.00761564101375723,0.161632355985863,0.0126066810897327,0,0.0381185240344381,0,0.13608629898875,0,0.00761564101375723,0.161632355985863,0.0126066810897327,0,0.0381185240344381,0.153270286577588,0.0248398262301219,0,0
"LP.01.57",0.0276046280265932,0.0289806928124088,0.0695742532436529,0.00587691238886198,0.0701871946322992,0.111426473660454,0,0.0273907657973775,0,0.0335441346053892,0.122563852016089,0.00587691238886198,0.0701871946322992,0.111426473660454,0,0.0273907657973775,0,0.135415932636146,0.00877287996077542,0.00150443912718411,0
"LP.01.61",0.0432982176347061,0.0355050624768342,0.0774925065992172,0.072528375019329,0.086238021545046,0.152752164174028,0.00984624261821673,0.0141013615950231,0.0428556280301736,0,0.0726309946881334,0.072528375019329,0.086238021545046,0.152752164174028,0.00984624261821673,0.0141013615950231,0.0428556280301736,0.134828811580928,0.00540376248654264,0.0146310427704707,0
"LP.01.63",0.0161064127935407,0.0340959683938095,0.0722379296420211,0.0691088090411973,0.0811227851283368,0.0407841072124615,0.0387445409579734,0.0560701815628444,0.0517201633945442,0.01280293004491,0.0564526626620279,0.0691088090411973,0.0811227851283368,0.0407841072124615,0.0387445409579734,0.0560701815628444,0.0517201633945442,0.0891892222673474,0,0.0752807017277584,0
"LP.01.64",0.0325708369760715,0.0453377776759702,0.0786813780111132,0,0.0586614077407737,0.193914406953824,0.0130042331593215,0.00781528161312003,0.0366875340253425,0,0.139253892569052,0,0.0586614077407737,0.193914406953824,0.0130042331593215,0.00781528161312003,0.0366875340253425,0.220742648864091,0.0198621947645724,0,0.0154556962634988
"LP.01.66",0.0379193877469217,0.0363625388211168,0.0704536602679951,0.01580952709759,0.0611973879628605,0.0760858546306179,0.0407087891585432,0.0257049334004567,0,0.0453574612601037,0.0654113240046829,0.01580952709759,0.0611973879628605,0.0760858546306179,0.0407087891585432,0.0257049334004567,0,0.0864565824426207,0.0329594287837229,0.00745706085409966,0.0373482284819878
"LP.01.70",0.0148494072490914,0.0484242429355573,0.0632566812969778,0.0903491135891262,0.085272668482037,0.203617329484968,0.0141861404771643,0.0231301307146327,0.0615547073574129,0,0.199433707764244,0.0903491135891262,0.085272668482037,0.203617329484968,0.0141861404771643,0.0231301307146327,0.0615547073574129,0.269197144314018,0.0279274155252796,0.0190208676217757,0
"LP.01.72",0.0161528625178134,0.0430049470697387,0.0714617926060086,0.25768065823573,0.10016860353568,0.138167838303037,0.0604984454778053,0.0386560897918456,0.0747512282047134,0,0.0369279072734192,0.25768065823573,0.10016860353568,0.138167838303037,0.0604984454778053,0.0386560897918456,0.0747512282047134,0.083973532532498,0,0.047119283122068,0
"Test.FFPE.01",0.0276353369044402,0.0292097251805813,0.0644807862588624,0,0.0485762003766782,0.217247395942716,0.0611695830997486,0.0307903204597207,0.0467909851439935,0,0.0733003054267854,0,0.0485762003766782,0.217247395942716,0.0611695830997486,0.0307903204597207,0.0467909851439935,0.123966103964913,0,0,0.00226219891994974
"Test.FFPE.02",0.02764698108655,0.0306770594527493,0.0625433444418417,0,0,0.152130321025455,0.0477786327844209,0.0295346309671227,0,0,0.0560984466437038,0,0,0.152130321025455,0.0477786327844209,0.0295346309671227,0,0.0712135804593147,0.0385920955099127,0,0.0447274597384807
"Test.FFPE.04",0.0352132669667907,0.0415867549053594,0.0897304664861209,0,0.0157342542567519,0.209225931044249,0.0260773317792383,0.0330837071658999,0.0334963776535215,0.0100468677537114,0.0805170344296975,0,0.0157342542567519,0.209225931044249,0.0260773317792383,0.0330837071658999,0.0334963776535215,0.112484489420407,0.0337587648254898,0,0
"Test.FFPE.05",0.0319434111328004,0.0531822404272188,0.0836723484064065,0,0.0406061530914743,0.123079622176319,0.0380291081115978,0.0312941161251525,0.00364558383711588,0.00305228945430838,0.0587589547231619,0,0.0406061530914743,0.123079622176319,0.0380291081115978,0.0312941161251525,0.00364558383711588,0.077832978189007,0.018687122500989,0.021043120614275,0
"Test.FFPE.06",0.0230724942566984,0.0350468048345408,0.062586911661064,0.132049376774541,0.0688452487170652,0.173859778982353,0.0305741225499663,0.0302738715692003,0.0427349281581235,0,0.0553799888765812,0.132049376774541,0.0688452487170652,0.173859778982353,0.0305741225499663,0.0302738715692003,0.0427349281581235,0.0969995823042075,0.0349934299410875,0,0
"Test.FFPE.07",0.0322102597219185,0.0270226965837949,0.0596408123890212,0,0.0331486317473773,0.142484125189042,0.051033423384131,0,0,0.00940752430645922,0.0815890655677413,0,0.0331486317473773,0.142484125189042,0.051033423384131,0,0,0.119134448516042,0.052618869895837,0,0
"IP.108b",0.0282478045764885,0.064507602540774,0.0854844751589194,0.103364616033751,0.0693292691729043,0.22542633048504,0.111511227835814,0.0224343641397496,0.0489342772256688,0,0.0911526309901831,0.103364616033751,0.0693292691729043,0.22542633048504,0.111511227835814,0.0224343641397496,0.0489342772256688,0.111310574833334,0.122783111403421,0,0
"IP.115b",0.0145628100421218,0.0533446194248008,0.0776297551380719,0.157694725381533,0.0661784288911099,0.224232144195795,0.0732643692453379,0.0321171218139409,0.0759452458424615,0,0.0592520139448037,0.157694725381533,0.0661784288911099,0.224232144195795,0.0732643692453379,0.0321171218139409,0.0759452458424615,0.116027332026399,0.0724482043922516,0,0
"IP.124b",0.0291459515742402,0.0501444788237754,0.0781696507806527,0,0.0443560043328542,0.231305233351046,0.0583135805931554,0.0149217861121703,0.034463483284692,0,0.0762634383787915,0,0.0443560043328542,0.231305233351046,0.0583135805931554,0.0149217861121703,0.034463483284692,0.0901282353060892,0.0427561611003886,0,0
"IP.127",0.106119394988414,0.0961225523332584,0.105359611241735,0,0.0603597931442764,0.253595834612097,0.0397227032116905,0.0429186523654056,0.092118291540041,0.035018407238103,0.192625432019218,0,0.0603597931442764,0.253595834612097,0.0397227032116905,0.0429186523654056,0.092118291540041,0.213417680515966,0.0158751739570506,0.0325713693420979,0
"IP.138b",0.0340907186780392,0.0444807361894216,0.112045298328165,0,0,0.184167144020461,0.0379710959802171,0,0.0161598325185851,0.0214183333219161,0.103376866514828,0,0,0.184167144020461,0.0379710959802171,0,0.0161598325185851,0.126766778659258,0.0552569776640112,0,0
"IP.140b",0.0601206664205003,0.0631179979441675,0.119644132888291,0,0,0.22045985716382,0.0629099956147219,0.02806230473765,0.040799216426832,0.01776147214624,0.122587054233174,0,0,0.22045985716382,0.0629099956147219,0.02806230473765,0.040799216426832,0.148259373689726,0.026624318557909,0.0331557373015734,0.0386570422451756
"IP.148",0.0396772507491008,0.0363152254916429,0.0581376920735565,0.0434616391452294,0.0941447277945005,0.187736480961541,0.00901983363794741,0.0213038036571986,0.0426836550522092,0.0303528048572821,0.35430271208811,0.0434616391452294,0.0941447277945005,0.187736480961541,0.00901983363794741,0.0213038036571986,0.0426836550522092,0.377571204991592,0.00637632564698887,0.0162026417449356,0
"IP.197",0.0370354137194126,0.0831196081787118,0.0920396593650645,0.105963350111729,0.038912702074432,0.262928892132258,0.031956417877221,0.0407130137546603,0.0942581654886439,0,0.193857054037719,0.105963350111729,0.038912702074432,0.262928892132258,0.031956417877221,0.0407130137546603,0.0942581654886439,0.289392645972354,0.0110601290667772,0.0271420918438155,0
"IP.214",0.0409337009301693,0.0624696094252406,0.0869425045416546,0,0.0661754506761003,0.248346611219291,0.0317801214345039,0.0219799441593169,0.0964644739853489,0,0.100092662193849,0,0.0661754506761003,0.248346611219291,0.0317801214345039,0.0219799441593169,0.0964644739853489,0.1715257260564,0.0855341964418247,0,0.00449624675766635
"IP.28",0.0173951647487152,0.067889183947558,0.0688961764830896,0.040593894653704,0.0618942697884588,0.261863137198098,0.00978475139578155,6.31421820897898e-06,0.0877548388909185,0,0.0920061503459656,0.040593894653704,0.0618942697884588,0.261863137198098,0.00978475139578155,6.31421820897898e-06,0.0877548388909185,0.161323425798858,0,0.05306091863468,0.0590719971371213
"IP.31b",0.0440074487265254,0.0402377320181885,0.0615485564636303,0,0.0428805223945715,0.262342630037653,0.0317863954382306,0.0360372941353133,0.0497730908201324,0,0.110972330535734,0,0.0428805223945715,0.262342630037653,0.0317863954382306,0.0360372941353133,0.0497730908201324,0.120579363989273,0.0221559280076535,0,0
"IP.36",0.0346023986439056,0.0560005464322072,0.0581044313432476,0.0586410774601417,0.061851198883117,0.250398756012119,0.111811573934207,0.0376240137343843,0.0830725476501988,0,0.0947618867890229,0.0586410774601417,0.061851198883117,0.250398756012119,0.111811573934207,0.0376240137343843,0.0830725476501988,0.135508580011111,0.126212388968625,0,0
"IP.38b",0.000100790501433565,0.0615353908130172,0.103516093569698,0.305977165716632,0.0849347128665323,0.243787688013408,0.1308377353093,0.0852108802334088,0.107512073668206,0,0.063871613553963,0.305977165716632,0.0849347128665323,0.243787688013408,0.1308377353093,0.0852108802334088,0.107512073668206,0.109156734101521,0,0.0928901982052654,0
"IP.52",0.0331592483859201,0.047612222380495,0.104226152672419,0.154004272002096,0.0789370778957833,0.207119339953886,0.0511211030090035,0.040158316347338,0.0608999648452851,0.017485630438976,0.105177101336846,0.154004272002096,0.0789370778957833,0.207119339953886,0.0511211030090035,0.040158316347338,0.0608999648452851,0.174623739898083,0.0404939954861417,0.00018532495149866,0.00763446317591436
"IP.57",0.0283232214050993,0.0267741372561428,0.0406241127368437,0.319628405583763,0.0756698339755445,0.239555780656004,0.0395825352005757,0.0149879615597802,0.0496411199403278,0,0.0682305301475942,0.319628405583763,0.0756698339755445,0.239555780656004,0.0395825352005757,0.0149879615597802,0.0496411199403278,0.141514070259232,0.00819858407577402,0,0
"IP.58b",0.0462557225584359,0.0583178325171644,0.123423863871117,0.00678342348016847,0,0.153328484841698,0.0960848637084324,0.0465572004116708,0.0125673310687312,0.0706988611254532,0.193373035591893,0.00678342348016847,0,0.153328484841698,0.0960848637084324,0.0465572004116708,0.0125673310687312,0.228349624647266,0.0742236933908512,0,0
"IP.67b",0.0257468459929327,0.085811765817856,0.0935068721378785,0.913810860722628,0.0616407000446651,0.263155044596659,0.0807568608557653,0.0348751504523866,0.118376830498919,0,0.0717768354590851,0.913810860722628,0.0616407000446651,0.263155044596659,0.0807568608557653,0.0348751504523866,0.118376830498919,0.118505717347447,0.106255895707687,0.0153763078270893,0
"IP.73",0.0269836935183986,0.0739212412989883,0.0956669400957518,0.247355869296617,0.0723026131197835,0.252249909097013,0.0357326197062324,0.0382739575711648,0.0543376917315308,0,0.0671221876872341,0.247355869296617,0.0723026131197835,0.252249909097013,0.0357326197062324,0.0382739575711648,0.0543376917315308,0.107810369618631,0.0406655351353616,0.0363232147598715,0
"IP.82b",0.123974427440941,0.079426147146417,0.11643326840664,0,0,0.241779113482502,0.0531583713645554,0.0165303291297404,0.0602599543135318,0.0165684285415287,0.165416039472237,0,0,0.241779113482502,0.0531583713645554,0.0165303291297404,0.0602599543135318,0.18951238686668,0.0600362484070007,0,0.00124350811225621
