"","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusPostAct"
"LP.01.29",0.0291956338906593,0,0.0190697856050893,0.00140450412652771,0,0.029819508867536,0.0462762977089885,0,0.21031268626926,0,0.0190697856050893,0.00140450412652771,0,0.0620672455198642,0.0199357416909045,0.193352342211978,0,0.0271313171745124,0.0749161761434723
"LP.01.31",0.0260381573788637,0,0,0,0,0.00494417750773916,0,0.138650271686143,0.152161769502697,0,0,0,0,0.0330024815054622,0.0075411646097512,0.0615974917365931,0,0,0.0563348630947223
"LP.01.37",0.0248230997932581,0,0.00556402428132346,0,0.00192932451000104,0.0355053380232921,0,0.0154095952403049,0.265192636266996,0,0.00556402428132346,0,0.00192932451000104,0.0463384567551431,0.0245394319064932,0.194306708970213,0.00219166853439125,0,0.0903474565224161
"LP.01.38",0.0119013190841048,0,0,0,0,0.0201689717682962,0,0,0.396079575379485,0,0,0,0,0.0334963938310259,0.0162986980845546,0.129609748884416,0.0947815309405283,0.00085823457634839,0.119071193670025
"LP.01.40",0.0111817692493507,0.0257029596309921,0.00163943402291305,0.0184090660614155,0.00263477187971243,0.0388592036181542,0,0.0833796125099713,0.188840501313881,0.0257029596309921,0.00163943402291305,0.0184090660614155,0.00263477187971243,0.0648136719248665,0.0186906507360324,0.119096200232869,0.0222725964237233,0,0.0479515843624152
"LP.01.43",0.0196971873775766,0.0427476122875808,0.0589288937286736,0.0456082713347636,0.0224317054472201,0.0546225224957786,0.0778948146458862,0,0.0678336462372959,0.0427476122875808,0.0589288937286736,0.0456082713347636,0.0224317054472201,0.0948709838309946,0.0480162705963277,0.100391598910249,0.0127865379399548,0.172368578297897,0.0638074794048617
"LP.01.45",0.0703978217558247,0,0,0.0219272042640717,0,0.0375928894005957,0,0.143443679757246,0.284938447632447,0,0,0.0219272042640717,0,0.0630795912153734,0.0568653384593433,0,0.0609656601734388,0,0.122514393433133
"LP.01.47",0.0430413320777591,0.00743371765327137,0.0194598857236625,0,0,0.0164307595245172,0.0555620378752956,0.0580959446325324,0.130744797519794,0.00743371765327137,0.0194598857236625,0,0,0.0372928378663987,0,0.109830504007098,0,0.00385975156628042,0.0541266468349496
"LP.01.48",0.0151835335850385,0,0,0,0,0.012240739275724,0,0.0184223015390653,0.356295388760149,0,0,0,0,0.0568376630411607,0.037168195916165,0.123898313151657,0,0,0.105263875473554
"LP.01.52",0.0059544784579551,0.0105232880909688,0.0173426867257729,0,0,0.0200009419987792,0.0305513376457504,0,0.0652194692236036,0.0105232880909688,0.0173426867257729,0,0,0.0407501274654284,0,0.0977926103337878,0,0.0149689599998762,0.0491534885816391
"LP.01.57",0.034143924328689,0.0164577928921735,0.0110927564920918,0.00367211617732951,0.0366368190580843,0.0291110959526966,0.0592402073773077,0,0.0844100360487203,0.0164577928921735,0.0110927564920918,0.00367211617732951,0.0366368190580843,0.0515060256832519,0,0.0761671912155506,0.00393702418394246,0.0225481406877737,0.0460031594571524
"LP.01.61",0.0531728053213349,0,0.0182093582713928,0,0,0.0264398651318839,0.0761418615250966,0.0531547069570399,0.111919656166685,0,0.0182093582713928,0,0,0.0491787988613483,0,0.0989389363718263,0,0,0.0196269614925834
"LP.01.63",0.043720357746491,0,0,0.123860529694606,0.0689044288043172,0.0441078550655414,0,0.0390895541788674,0.371771446888699,0,0,0.123860529694606,0.0689044288043172,0.0753878956425592,0.0280116755539582,0,0.042211723601598,0.0294724790951985,0.0933253212854595
"LP.01.64",0.0305808427853975,0.0812413611185887,0.0131198472564327,0.0328959630127338,0.0615460993079787,0.00819265052107157,0.0402671053184219,0.00183871188389386,0.228055027274163,0.0812413611185887,0.0131198472564327,0.0328959630127338,0.0615460993079787,0.0428749474104294,5.619187721127e-05,0.188540634539539,0.0692461476894432,0,0.0715643787618632
"LP.01.66",0.0329957748623438,0.0122783544614018,0.0185012350524994,0.0451799511771644,0.0387871254577233,0.0365547683074196,0.0572386423880468,0,0.116717332608886,0.0122783544614018,0.0185012350524994,0.0451799511771644,0.0387871254577233,0.0652619468327041,0,0.0841240566667132,0.039783066493419,0.0177383058811716,0.0744484862001576
"LP.01.70",0.00201226517264535,0,0,0,0,0.0107111094101415,0,0.0275748943343605,0.226354306301739,0,0,0,0,0.0412546903658323,0,0,0,0,0.0815832997871324
"LP.01.72",0.0326564128932332,0,0,0.000835636862552783,0.014320779347283,0.0253485415257391,0,0,0.507284913263905,0,0,0.000835636862552783,0.014320779347283,0.0519527889931708,0,0,0.0745632568417854,0,0.125580369362131
"Test.FFPE.01",0.03466338991552,0,0.0109584750451739,0.00670114279571209,0,0.0227894462349221,0,0.0517180920846571,0.305232445621668,0,0.0109584750451739,0.00670114279571209,0,0.0426132332466267,0.110575164251579,0.161707973176366,0,0.0159758500154627,0.104181893276733
"Test.FFPE.02",0.0211091263720827,0.0774434031325297,0.0481258782932568,0.0606111090782713,0.0386365735206433,0.0502079590310087,0.0677959268087982,0,0.0728480230425742,0.0774434031325297,0.0481258782932568,0.0606111090782713,0.0386365735206433,0.0771634186473039,0.0604250439157599,0.0648858614563647,0.0621789368198666,0.0136062669741213,0.0586935175232274
"Test.FFPE.04",0.0408659803659389,0.024286943628595,0.02949320965744,0.0189462907086329,0,0.0378795135733924,0.0393143063519794,0.0979967935603313,0.125433537996513,0.024286943628595,0.02949320965744,0.0189462907086329,0,0.0616908169493778,0,0.178763884697978,0,0.0346396742945341,0.0553785425503796
"Test.FFPE.05",0.0245593409317241,0.0669377714794267,0.0572954511473913,0.0904334598247474,0.0376847972003652,0.0691129649561552,0.078454213570657,0,0.131832974367837,0.0669377714794267,0.0572954511473913,0.0904334598247474,0.0376847972003652,0.0894275731755271,0.0680469001459829,0.101656263780899,0.0364973196308412,0.0693046136579018,0.07214565016095
"Test.FFPE.06",0.0263032685420802,0,0.0234189812621316,0,0.0425157247696751,0.033040199867433,0.0168499496097143,0,0.256336993527509,0,0.0234189812621316,0,0.0425157247696751,0.0827274373333193,0.0356615013752704,0.0920978563677093,0.0738150680758135,0.00979875551816825,0.0516328825778195
"Test.FFPE.07",0.0308647443433435,0.0502174578812047,0.0420429440990455,0.0540884892433416,0.0407011872646372,0.0383523766370907,0.0342078735841846,0,0.142445094523025,0.0502174578812047,0.0420429440990455,0.0540884892433416,0.0407011872646372,0.0624191347036145,0.0645869566415087,0.0631187830257337,0.0587171350730261,0,0.0890474517055442
"IP.108b",0.00369118556645801,0,0,0,0,0.0445808959523923,0.0728033251568455,0.0210821637185877,0.13136184451464,0,0,0,0,0.068782642246792,0,0,0,0,0.0863772995971933
"IP.115b",0.00680194978274098,0,0,0,0,0.0423430173425914,0,0.0982668491521684,0.256159182316513,0,0,0,0,0.0619092784257144,0.0123645088285611,0.111814196360275,0,0,0.0679855464543125
"IP.124b",0.0141412361860847,0,0.0105951757563609,0,0,0.052044841807341,0.105783939287531,0.0253934816094981,0.111937887674743,0,0.0105951757563609,0,0,0.0713437920526789,0.0163854883243831,0,0,0,0.0691632848264137
"IP.127",0,0,0,0,0,0.0474422716189226,0,0.0719234368729781,0.0938124493861142,0,0,0,0,0.0705401827816107,0,0.0179360067516873,0.00333643830583174,0,0.0338374794997964
"IP.138b",0.0205202567173244,0.0241400423368938,0.0370274900070999,0,0,0.035285223723422,0.0473227494103492,0,0.0604183861822111,0.0241400423368938,0.0370274900070999,0,0,0.0526028094120269,0,0.124321855384735,0,0,0.0549251313431647
"IP.140b",0.028180036188762,0.0588480269738768,0.0305397155673814,0,0,0.0521693842730609,0,0,0.119277601084785,0.0588480269738768,0.0305397155673814,0,0,0.0803633856432314,0.01268339562687,0.160949757835865,0,0,0.0882261261275854
"IP.148",0.0173969967949831,0,0,0,0.010731773399335,0,0,0.128278970511843,0.222056727931661,0,0,0,0.010731773399335,0.0182423113715144,0,0.0795256903034847,0,0.0295838424163169,0.0900118853389299
"IP.197",0.00522295043223393,0,0,0.102995105326712,0,0.0215951259167496,0,0.00963919942877708,0.319837689811049,0,0,0.102995105326712,0,0.0501077249441092,0.157744231431811,0.155319256980298,0,0.00326548980910682,0.104577810407707
"IP.214",0.0065726747765354,0,0,0,0,0.0411869640106484,0,0.0927527152044887,0.242633179435642,0,0,0,0,0.0762359390476751,0.0130885736050242,0.124245858008191,0,0.0150932169391961,0.0832962758961161
"IP.28",0,0,0,0,0,0.0422516784963934,0,0.0970380683766647,0.192822925699823,0,0,0,0,0.0811498719279228,0,0,0,0,0.0634699648099024
"IP.31b",0.00595024309545101,0.0583063553566646,0.0106919420844723,0,0,0.0520400456278267,0.0579195032090756,0.0855924923834691,0.0846407616016854,0.0583063553566646,0.0106919420844723,0,0,0.0749007528922192,0,0.260183351396728,0,0.00232632434639434,0.0407821777258689
"IP.36",0,0,0,0,0,0.0582480292148913,0,0.00267190823775893,0.201623316977651,0,0,0,0,0.0940225047337168,0.0697819868242029,0.289538160779984,0,0.0179243685013342,0.075787491520302
"IP.38b",0.0811843697971687,0,0,0.0568398413235984,0,0.0569303474888893,0.0157104959947615,0.13473718421932,0.253729002192816,0,0,0.0568398413235984,0,0.0868772944632175,0.0765478886012153,0.0085344785463259,0.123112884377963,0,0.08653936598796
"IP.52",0.0115954527074654,0,0,0.061362220299567,0.00916521400219692,0.0156669607267226,0,0.0904181158938353,0.232411624640648,0,0,0.061362220299567,0.00916521400219692,0.0697516626658735,0.0746479570911598,0.115204435357723,0,0,0.0908986639609868
"IP.57",0,0,0,0,0,0.0271421717571609,0,0.0818035109004962,0.226465378882665,0,0,0,0,0.062802114839236,0,0,0,8.991229446219e-05,0.0695896213609289
"IP.58b",0.00599528954636843,0.0715490625790367,0.0460199483975807,0.0547323103334564,0,0.0515291539249083,0.00396950368087578,0,0,0.0715490625790367,0.0460199483975807,0.0547323103334564,0,0.0735424868157716,0.0848617946954958,0.0395274506991496,0,0.113656521434402,0.046483164579196
"IP.67b",0,0,0.00855627543613157,0,0,0.056943128091573,0,0.0270279056469798,0.24654322871989,0,0.00855627543613157,0,0,0.0872835242940163,0.0592421613327751,0,0,0.00129823271711792,0.115630173410035
"IP.73",0.000551324040480652,0,0,0,0.00399375914703937,0.0321398506435798,0,0.110362928202663,0.204736431508427,0,0,0,0.00399375914703937,0.0652633613477468,0,0,0,0,0.0650007578969744
"IP.82b",2.34404040619363e-06,0.119700409227403,0.0332669039135967,0.0415748661058295,0,0.0601593868138329,0.070094081123469,0,0.0310436529985256,0.119700409227403,0.0332669039135967,0.0415748661058295,0,0.0877035400970639,0.0421689705581163,0.0251810077962087,0,0,0.0383666687850823
