"","Quantiseq_T_cell_CD8.","MCP_CD8_T_cells","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"Gide_PD1_17_Pre",0.0142529992003396,1.24578658291968,0.0208082551739684,0.0299461514196588,0.0190545700618073,0.0101080900251575,0,0,0.0611432528406128,0,0.00754431988154727,0.202527972649727,0.0299461514196588,0.0190545700618073,0.0101080900251575,0,0.00281136058108947,0.0822194001937872,0.0211510391367732,0,0,0.016157046037866,0.0062978439150996,0.0292947240235899,0.0569410854994464
"Gide_PD1_18_Pre",0,0.292993217879441,0.0233277574051658,0,0.00483761839964291,0.00987941719700792,0,0,0.0532312905619065,0,0.068629873240301,0.0922693333043778,0,0.00483761839964291,0.00987941719700792,0,0,0.10453838598225,0,0.0985701197556674,0,0.0002665959584101,0.00048886290799038,0.0135504899857361,0.0530280575835951
"Gide_PD1_19_Pre",0,0.136455756532543,0.0630561671467939,0,0,0,0,0,0.0599635029814986,0,0.101800657788579,0.190479042684024,0,0,0,0,0,0.0718616099407163,0,0,0,0,0,0.0176372041292312,0.104905518730818
"Gide_PD1_2_Pre",0.00773200594665174,0.80888821907676,0.0238455372797487,0,0.0187980446054659,0,0,0,0.0648429031455022,0,0.155017473645523,0.0647867381613723,0,0.0187980446054659,0,0,0,0.0861910925686894,0,0.14130442697811,0,0.00379092760396704,0,0.0305892605097369,0.0522580184290991
"Gide_PD1_21_Pre",0.000974593098858723,0.08062698384279,0.0603423346491281,0,0.00911273821165087,0.0237298919373048,0,0,0.0482903377393648,0.0158897329866029,0.0701340351274011,0.0158603583015625,0,0.00911273821165087,0.0237298919373048,0,0,0.10746622372487,0,0.102718939911509,0,0.00395244972935352,0.00022072026471122,0.0132550870695489,0.0312957765491653
"Gide_PD1_23_Pre",0.00539155558007311,0.748117940771776,0.0470085731952497,0,0.00956463632616783,0,0,0,0.0439787862848719,0,0.0371990998074018,0.154384415850492,0,0.00956463632616783,0,0,0,0.0693699401907959,0,0.104349414774854,0.00372459568071327,0.0166158615493831,0.00511135111890392,0.0265027742192209,0.0451053410382249
"Gide_PD1_25_Post",0.0823907259607337,7.87870082986617,0.0702966003314451,0.0999454261746952,0.0362709573805629,0.129106897584091,0.055787599174306,0.317340329703317,0.118234811081611,0.0058070550811891,0.0795183466145463,0.171190637126696,0.0999454261746952,0.0362709573805629,0.129106897584091,0.055787599174306,0.09739091210322,0.144029043394794,0.147707223118088,0.369063567843587,0.0476038342536573,0.0760873508547361,0.0456455073092213,0.0365966362062956,0.065291075221872
"Gide_PD1_25_Pre",0.0410266526715751,3.5355121123372,0.0641500187903279,0.0255980007185427,0.0160665730703758,0.0953968391399276,0,0.0701780060166153,0.0854077088748774,0,0.125059678680131,0.153914995859729,0.0255980007185427,0.0160665730703758,0.0953968391399276,0,0.146696214858776,0.120418156603931,0.068458020527541,0.279438161788474,0.00362901961495241,0.0410038685124794,0.173114245859724,0.033669317886756,0.0601142310519213
"Gide_PD1_27_Pre",0,0.453573836179082,0.029911338502923,0,0,0,0.0231548481988008,0,0.0666979283149343,0,0.226394404915082,0.243968145974626,0,0,0,0.0231548481988008,0,0.0814845868597553,0,0,0,0,0.0005296799441296,0.0521992559858129,0.140261623873479
"Gide_PD1_29_Post",0.0181874560580501,0.485331822062968,0.0466797344226186,0,0,0.128638161606919,0.0325117311132026,0,0.0694297697604689,0,0.111065757401521,0.12431288406824,0,0,0.128638161606919,0.0325117311132026,0.107141838784395,0.0906001584418381,0,0,0,0.035205353351072,0.00363729801486984,0.0344008391364697,0.0877608421346229
