"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"Test.FFPE.02",0.0507371245726869,0.0740701515703191,0.0866435095595104,0.0249890293160308,0.0385419956508138,0.00565397892257607,0.025084811803759,0.0624638052804087,0,0.0381092590942263,0.136064390116547
"Test.FFPE.03",0.0858570523412684,0.0833008329359198,0.0843493628285694,0.2022107746835,0.0896438269174791,0.0361288737179726,0.136736016340513,0.0987270512052721,0.191571653772206,0.19715110453839,0.156753267336817
"Test.FFPE.04",0.0675687655213891,0.100462113000988,0.118448599118444,0.0984719026773229,0.105641283146701,0.0285417266364817,0.203713606004092,0.133073628439627,0,0.270947826819242,0.132315957323265
"Test.FFPE.05",0.0439755409547953,0.0955652769571318,0.102852400037008,0,0,0,0,0,0,0,0.134633721779688
"Test.FFPE.06",0.0309482435993463,0.0837128467118597,0.0880614522591507,0.0395062729929109,0.0540959361014914,0.082488366061899,0.0688966586146273,0.0999905760882066,0.272138122390442,0.144446204521828,0.228229536411528
"Test.FFPE.08",0.0329627164799475,0.0943192470810945,0.0988562314785048,0,0.0343742556360663,0.039642195320736,0,0.0563499277247835,0,0,0.158604072977939
"Test.FFPE.09",0.0260225081879603,0.104714189308991,0.113998853805677,0,0.0327492024067713,0,0,0.0705393454034975,0,0,0.1630929519557
"Test.FFPE.10",0.0914915314578579,0.0925862518259658,0.0968708218705281,0.107792121386314,0.0684005320934697,0.00854256546914011,0.273564042315724,0.0941054765556137,0.0965884346044634,0.0584938452474708,0.187754602603157
"R3388_YZ_1",0.0809563808823107,0.159360936397479,0.160017622788761,0.190619673228027,0.0923142734535481,0.0793454337177165,0,0.0951264740531878,0,0.248920015607186,0.168614401282005
"R3388_YZ_2",0.115372675346219,0.139516807175038,0.140474236958072,0.354300141999779,0.0574318458387971,0.0890179537596116,0.288196521284033,0.0647902596031216,0.367039589468174,0.35941361514335,0.30919313537263
"R3388_YZ_3",0.0757988942414507,0.163979793132678,0.166184540738519,0.173519343326659,0.0632474542611108,0.146697604080953,0,0.0717866021948842,0,0.202073399663311,0.197883306963375
"R3388_YZ_4",0.0940781519413453,0.118759702025035,0.114256531864361,0.301804642016755,0.119505877939595,0.0101396703415239,0.221763474942073,0.157375224505272,0.00466319385022045,0.404291795726547,0.180027124728398
"R3388_YZ_5",0.0630276811268354,0.122685989784011,0.123312443695999,0.0197330882135168,0.118584924834149,0,0,0.15461400190917,0.0253954197802695,0,0.149338519504115
"R3388_YZ_6",0.0183010633677242,0.175743521992148,0.174495896676979,0.0300167201952782,0.0087227126411863,0.036552370012226,0,0.0267472267868527,0,0,0.0564694282392661
"R3388_YZ_7",0.122913307028173,0.151074146669704,0.153042466934874,0.227027563673642,0.0949645976866114,0.100358347455879,0.0660681097368312,0.103954919630827,0,0.211516816129506,0.245502277886617
"R3388_YZ_9",0.0598826419309302,0.104698082934772,0.105634400836036,0,0.0367337155494155,0,0,0.0812428932895312,0.0619335212563322,0.0135261153244697,0.178082371591747
"R3388_YZ_10",0.10885350850982,0.158238900561808,0.159194765792693,0.203751852295523,0.131538390260552,0.113434469920183,0.0785811913491835,0.132514185831003,0,0.148769532185916,0.0735977377588497
"R3388_YZ_11",0.127613060306618,0.148768977043865,0.145212355792483,0.167508028883412,0.134278383181917,0.0425647470301576,0.338617696457926,0.154587279903246,0.125984836980386,0.19430888308735,0.199499055351553
"R3388_YZ_12",0.0809247314937653,0.112684352440163,0.112975576086743,0.0632911972784742,0.0847141783008669,0.00437432107717188,0,0.0958724056279653,0.150649933283134,0.0520672018204919,0.147982114084449
"R3388_YZ_13",0.0828501934098169,0.129423779172802,0.126141784852751,0.21503017753781,0.0515684195842034,0.0383060346646673,0.177651748489217,0.0719328515726236,0.0145083567444366,0.0174145443215296,0.256763390506787
"R3388_YZ_14",0.0605274459378365,0.119259005842625,0.116312764097515,0.06965216878021,0.0414706470488127,0.0620567303392034,0.138998971953585,0.0684017151356386,0,0.124523258054677,0.142625531137153
"R3388_YZ_15",0.0473823067970537,0.142749567450721,0.142609851117224,0.107681099066899,0.0928974237395834,0.0403419772276253,0,0.106525137256524,0,0.122141119738749,0.1501401535797
"R3388_YZ_16",0.0702491171846416,0.12843323115202,0.128366584353088,0.219985177889084,0.0733542225096295,0.0916914146553661,0.0487950419287412,0.0726597026751014,0,0,0.33452299096296
"R3388_YZ_17",0.0538939897543552,0.136199975777405,0.138677662227561,0.00332121690640852,0.0954398054682852,0.0421695453738559,0,0.107856167924977,0,0,0
"R3388_YZ_19",0.0525776421249607,0.102891911344995,0.110514163683658,0.00202279478202484,0.0715843990608137,0,0,0.103614619492709,0,0,0.101076533940904
"R3388_YZ_20",0.0893405012398453,0.142435424567364,0.142916899633873,0,0.101392453523017,0.027621782731847,0,0.173270049406829,0.1381156138154,0.0155344939785471,0.181191352885321
"R3388_YZ_21",0.0758193045851437,0.118576104776663,0.118642579024167,0.0512969265360723,0.120778151529806,0.0606743387825361,0,0.130809471386089,0.124471341778429,0.11512475999529,0.148896573911635
