"","Quantiseq_Neutrophil","DeconRNASeq_CBSX_LM22_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","DeconRNASeq_LM22_Neutrophils","DeconRNASeq_TIL10_Neutrophils"
"R4163_YZ_9",0.116997946893154,0,0.182913825700018,0,0.164557518128738
"R4163_YZ_16",0,0,0.0890211214459815,0,0.0774119952879865
"R4163_YZ_17",0,0,0.0755814895690455,0,0.0473479385259768
"R4163_YZ_18",0.0305521969376175,0,0.0806563599952148,0,0.0581224809000607
"R4163_YZ_19",0.0378706563622745,0,0.0659502555976785,0,0.0543288681891863
"R4163_YZ_20",0.0915502517784282,0,0.11207298202403,0,0.111303245645918
"R4163_YZ_21",0.118020480065581,0,0.0767928980303308,0,0.0642668144317837
"R4163_YZ_22",0.0564704092906921,0,0.0442446004025837,0,0.0251891092258081
"R4163_YZ_23",0.165493104489221,0,0.147855903910216,0,0.139474810639705
"R4163_YZ_25",0.0541861557293512,0,0.0563757357152343,0,0.0529258719453788
"R4163_YZ_26",0.210051669712305,0,0.11142414181859,0,0.107914116049176
"R4163_YZ_28",0,0,0.0106168058374522,0,0
"IP.108b",0.0819856726336297,0.00260731397250486,0.230123749925348,0.00260731397250486,0.239070809759095
"IP.115b",0.0398161467017372,0.0290383186574678,0.0795507634647494,0.0290383186574678,0.11708233402595
"IP.124b",0.00544374952695539,0,0.0987970712036954,0,0.0944617459830901
"IP.127",0.0784600961321218,0.0224625503113772,0.214216477430013,0.0224625503113772,0.216915094208384
"IP.138b",0.0522119725456919,0.00921681931682659,0.166582546068973,0.00921681931682659,0.161431570644372
"IP.140b",0.0717361060252133,0.0213618032514739,0.0713711596387826,0.0213618032514739,0.0683666106089363
"IP.148",0.0658021164629834,0,0.126500732426413,0,0.144192650650609
"IP.197",0.027025684940205,0.0319035792277244,0.0853531042736139,0.0319035792277244,0.134031236691706
"IP.214",0.040330876434994,0.063345806858661,0.140872540916223,0.063345806858661,0.1765810868014
"IP.28",0.0429849155015263,0.0907774372493252,0.125406494571617,0.0907774372493252,0.176214617679498
"IP.31b",0.0996751549433588,0.0080622593201035,0.167193439690339,0.0080622593201035,0.162501321688866
"IP.36",0.054737392995661,0.0105187989829424,0.205290707079595,0.0105187989829424,0.241212436740638
"IP.38b",0.565527562014713,0.0165476648327598,0.317629288132101,0.0165476648327598,0.369505353286992
"IP.52",0.106325840389491,0.0250574093933807,0.131159415710913,0.0250574093933807,0.178586289359717
"IP.57",0.0499116594957992,0,0.0892557788967053,0,0.171138819795725
"IP.58b",0.0626895626902289,0.00724841587419235,0.0942558892611486,0.00724841587419235,0.0980804430998882
"IP.67b",0.127413778590053,0.0511175222770739,0.15134703744933,0.0511175222770739,0.205487983081632
"IP.73",0.00779180944004777,0.0176649850246748,0.121010214884726,0.0176649850246748,0.152021007114767
"IP.82b",0,0,0.118522109343602,0,0.121009188721391
"IP.89b",0.0237071424325962,0,0.0962537748764586,0,0.096455633568901
