"","Quantiseq_NoSignature_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX.LM22_M1","DeconRNASeq_CBSX.LM22_M1","Epidish_CCLE.TIL10_M1","DeconRNASeq_CCLE.TIL10_M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_M1","DeconRNASeq_LM22_M1","Epidish_TIL10_M1","DeconRNASeq_TIL10_M1","CBSX_LM22_M1","CBSX_TIL10_M1","CBSX_CCLE.TIL10_M1","CBSX_CD226_M1"
"LUNG-NSCLC2-0588",0.044901913576239,0.0836944280151128,0.120929844519539,0.114552140798868,0,0.0494230382312162,0.374251742588309,0.235033777623143,0.109780236949757,0.199039932594288,0,0.0494230382312162,0.913116177384774,0.219909384162429,0,0.418576515734916,0.347938798550596,0.254911636584301
"LUNG-NSCLC2-0590",0.0233837259495121,0.0645768919253035,0.0878831533774076,0.0841281990012359,0.016378723787945,0.0917687353348211,0.11980495954684,0.113933978612765,0.275890976780373,0.231746619159132,0.016378723787945,0.0917687353348211,0.79820461905461,0.230189059305359,0.013940289097238,0.389488213286915,0.130391334118911,0.212068144098774
"LUNG-NSCLC2-0592",0.0710299157639525,0.0749052457823953,0.0872030867442821,0.0804844167863267,0.05156248784479,0.179264589505045,0.312933599702191,0.20126493200184,0.174691872323342,0.129181248458512,0.05156248784479,0.179264589505045,0.307786356454899,0.191590013090075,0.0494410121760423,0.224808566314974,0.23004118168833,0.31572846128388
"LUNG-NSCLC2-0593",0.0495514733871068,0.0741314779260556,0.107539565335836,0.10084283585061,0.0060650731915176,0.0437058844415751,0.240151216938072,0.230830080057249,0.136182067556481,0.205027598638906,0.0060650731915176,0.0437058844415751,0.515619178119841,0.219917786398337,0.0274041879734851,0.0728483506827138,0.182280190810364,0.281163243295452
"LUNG-NSCLC2-0595",0.0350118998885879,0.0588551936333545,0.0889620474919182,0.0952402157180725,0.0177353430533251,0.119248019167691,0.277195780609092,0.146841346181128,0.452923794954815,0.251440484836444,0.0177353430533251,0.119248019167691,0.843820598311431,0.179754895825875,0.0173174360204029,0.449077252972835,0.204427568851544,0.185957013146812
"LUNG-NSCLC2-0596",0.245153616910209,0.0498616213034773,0.0861223595142237,0.0800635961671168,0.017395266524095,0.0562760664395503,0.665911907539731,0.477359853183879,0.360833751584579,0.375277995969642,0.017395266524095,0.0562760664395503,1,0.464247476771434,0.0145527156727631,0.634929987647857,0.576267289127816,0.29263403448637
"LUNG-NSCLC2-0599",0.0699250931314354,0.0818500717128678,0.113107885696321,0.109143514226456,0.0066864336473633,0.0264425372645598,0.408824321199662,0.270926205252877,0.173750748974157,0.285986286237265,0.0066864336473633,0.0264425372645598,1,0.254652448930776,0.0101900435958083,0.960718467235899,0.3618212928887,0.286056909834966
"LUNG-NSCLC2-0602",0.210063572450354,0.0867438871825727,0.117742846808803,0.115414591019198,0.0176663770676601,0,0.422745445477088,0.460632201886744,0.291759181375604,0.376291135311311,0.0176663770676601,0,0.595121799993462,0.437995638970108,0.0297410321869302,0.469269011471656,0.385977391440344,0.422404565144465
"LUNG-NSCLC2-0603",0.191645205538985,0.0506541418507157,0.0815643763639528,0.0794277244037749,0,0,0.484294462961931,0.454034912517029,0.27248596410201,0.305408385595644,0,0,0.991436234260493,0.47052752755512,0,0.653450756923942,0.547417350346739,0.23441190857211
"LUNG-NSCLC2-0608",0.0672039541790261,0.0777323778101581,0.109548045927864,0.102872098913378,0,0.0326600955576626,0.338373608679851,0.234904181071085,0.131514812050821,0.10275069059044,0,0.0326600955576626,0.654225883367655,0.232195005042601,0,0.307435700830261,0.374165676964969,0.147081309063661
"LUNG-NSCLC2-0610",0.0925309092152742,0.0515952934151762,0.0761826700083521,0.0705738069588474,0.0055590038866958,0.0464029944415937,0.832082663096806,0.380923771979944,0.165859698727204,0.274972565588051,0.0055590038866958,0.0464029944415937,1,0.379345291159697,0.0014955928745652,0.998496403074032,0.732846671644993,0.194575625249567
"LUNG-NSCLC2-0611",0.0618350320991127,0.0602652813935633,0.0795645363362466,0.074583898163291,0.0502598512058988,0.126548974499008,0.342720703036433,0.264576294461053,0.244067754781615,0.237073107148373,0.0502598512058988,0.126548974499008,0.542110674923662,0.251583859273691,0.0763537867211343,0.285769661455881,0.279324285416784,0.268273580310364
"LUNG-NSCLC2-0622",0.121831345428021,0.069845797498706,0.0945624002713262,0.0926613498782097,0.0544221315110074,0.221174616216956,0.308453463196822,0.395665483233401,0.220579911482332,0.281429425244425,0.0544221315110074,0.221174616216956,0.725476793721059,0.415500298697562,0.0599721839698301,0.505230748478564,0.314528017583217,0.218535412175117
"LUNG-NSCLC2-0623",0.0705204181671626,0.0099953060845701,0.0368072359564319,0.0410811821756979,0.0166866466451319,0.072097639086147,0.574824317082472,0.325564827171715,0.20325329628118,0.271797899190583,0.0166866466451319,0.072097639086147,0.635059378628378,0.31514493864625,0.0138766449544331,0.565818409106059,0.384164051925551,0.268353255684523
"LUNG-NSCLC2-0630",0.0884236258586212,0.0489503438820248,0.0810209407063589,0.0863481222492612,0.016375409091332,0.0376958775974604,0.730995590588816,0.243095942084982,0.319525440744004,0.211627067131088,0.016375409091332,0.0376958775974604,0.665160374970512,0.276141878920027,0.0269911983866235,0.381288604775746,0.588940843468009,0.204511733197152
"LUNG-NSCLC2-0631",0.133975147375467,0.0312509492275511,0.0572597584349988,0.0542903997001339,0.0306723293259632,0.0996900267094733,0.569781937914379,0.400678826202911,0.261567935710315,0.308680124153409,0.0306723293259632,0.0996900267094733,0.847190759566295,0.392451789223139,0.0355492614794548,0.49356525627881,0.506656572179826,0.273454402980643
"LUNG-NSCLC2-0632",0.0940891525727826,0.0660493545783791,0.0872611186767708,0.0801763479796797,0.0273890320742465,0.121277830743112,0.568760121922214,0.331435571073305,0.342191077276534,0.278765433881271,0.0273890320742465,0.121277830743112,0.521215318148854,0.340289005407719,0.0288835579786291,0.526261269386957,0.375453648856362,0.274166423002442
"LUNG-NSCLC2-0633",0.0932022337129317,0.0732509801188562,0.104574592047644,0.0999004665581309,0.0038355567809893,0.0218262344342554,0.345226255647162,0.271530600295046,0.16052840914508,0.188949234414098,0.0038355567809893,0.0218262344342554,0.459844266935648,0.242752698846781,0.0132744221757219,0.339387696876551,0.357256209944995,0.295716526634535
"LUNG-NSCLC2-0635",0.0669684343295863,0.0603837238883522,0.0975513270498795,0.102563506814283,0,0.0533456755543211,0.247870141031892,0.228023546371201,0.477474325520722,0.213165397147386,0,0.0533456755543211,0.59040627255005,0.301867373425464,0.0126793377079345,0.323299689623078,0.228780838512217,0.210613319689553
"LUNG-NSCLC2-0641",0.0959933134651608,0.0587939157864146,0.0920548718116415,0.0849733839843838,0.0120584983007591,0.0653352400312457,0.330323125719443,0.423371887723343,0.154080555700492,0.224386962833369,0.0120584983007591,0.0653352400312457,0.751114772069256,0.439537634189444,0.0277698206118635,0.271673202398704,0.310336097979853,0.317519437678655
"LUNG-NSCLC2-0648",0.147941937831473,0.0753941667344633,0.101358263706629,0.0952988234126806,0.0117821078919017,0.045818963521619,0.232328702579014,0.474591763990989,0.171147860451567,0.196161981391569,0.0117821078919017,0.045818963521619,0.397711243128538,0.464308137534596,0.0061535331783078,0.405270043329418,0.271316972625514,0.274442306397317
"LUNG-NSCLC2-0652",0.115833550605555,0.0520859109795006,0.0830930402513179,0.0837346676214472,0.0189717059069092,0.0816544047991025,0.810331472430871,0.305741000310047,0.156404573400627,0.264115977641347,0.0189717059069092,0.0816544047991025,1,0.291138193290753,0.0159705249373813,0.642182480204301,0.675323662402945,0.176923109498204
"LUNG-NSCLC2-0657",0.179109985891052,0.0745447919542381,0.0991365305195505,0.0937561127854803,0.0446526460745835,0.136527427189917,0.364682254875279,0.431789479796456,0.131846163684107,0.192789709471236,0.0446526460745835,0.136527427189917,0.7949680951526,0.410212363750299,0.0517671140357693,0.550735149393921,0.361763585120506,0.291163563646869
"LUNG-NSCLC2-0660",0.0280732713548104,0.0341961939066388,0.0581240687000626,0.053150242510184,0.0156867409660556,0.0929704620610403,0.49314286456434,0.171270647115285,0.280435214027435,0.298929504507968,0.0156867409660556,0.0929704620610403,1,0.201868486805571,0.0023157070517326,0.567508250275148,0.350684197338105,0.319437304853005
"LUNG-NSCLC2-0678",0.108945781849378,0.0712678433724695,0.103441165468571,0.0995331020674817,0,0.06330641775854,0.469232061799113,0.421296548288436,0.226631556954724,0.302706011111213,0,0.06330641775854,0.614308238874732,0.41587322455257,0,0.506269925335858,0.492713995039294,0.308045310174043
"LUNG-NSCLC2-0683",0.123401266370865,0.0658588355202859,0.0945268359892307,0.0919384323446406,0.0146994443599541,0.0380541867883801,0.557440347522787,0.38836207670115,0.184619532044855,0.229037554900212,0.0146994443599541,0.0380541867883801,0.732118342165663,0.373157133300454,0,0.418873973953285,0.410962352716289,0.323374496170332
