"","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"Gide_PD1_4_Pre",0.078608402262328,0.0362209659150042,0.078608402262328,0.0362209659150042,0.0836207616373325
"Gide_PD1_40_Pre",0.244948833950287,0.607659747961318,0.244948833950287,0.607659747961318,0.252557939332055
"Gide_PD1_41_Post",0.0210448631840828,0,0.0210448631840828,0,0.017886469025465
"Gide_PD1_41_Pre",0.22319051263924,0.0803545973020571,0.22319051263924,0.0803545973020571,0.235997090228066
"Gide_PD1_42_Pre",0.0747665773755399,0.0678556238860715,0.0747665773755399,0.0678556238860715,0.0961878561792624
"Gide_PD1_44_Pre",0.176272774601423,0.062367760654851,0.176272774601423,0.062367760654851,0.192953720397548
"Gide_PD1_45_Pre",0.152857481680003,0.108030785097946,0.152857481680003,0.108030785097946,0.158131405249301
"Gide_PD1_46_Pre",0.175550620511031,0.135033918547826,0.175550620511031,0.135033918547826,0.157235369647281
"Gide_PD1_47_Post",0.219793408514642,0.134290888735904,0.219793408514642,0.134290888735904,0.263720641002649
"Gide_PD1_47_Pre",0.220150717731977,0.146301664214659,0.220150717731977,0.146301664214659,0.205049274771336
"Gide_PD1_48_Post",0.214939564529734,0.150130809960538,0.214939564529734,0.150130809960538,0.219743549785287
"Gide_PD1_48_Pre",0.139011702660012,0.118688031472041,0.139011702660012,0.118688031472041,0.17244367921604
"Gide_PD1_49_Pre",0.400906141126382,0.0983549827368168,0.400906141126382,0.0983549827368168,0.437961641645473
"Gide_PD1_5_Pre",0.379170013898045,0.12610765189532,0.379170013898045,0.12610765189532,0.213246436705135
"Gide_PD1_50_Pre",0.277314701178205,0.18467484506935,0.277314701178205,0.18467484506935,0.227031378387869
"Gide_PD1_52_Pre",0.184460819555087,0.145743239342509,0.184460819555087,0.145743239342509,0.198035465283328
"Gide_PD1_53_Pre",0.0558634752241383,0.0450422240487749,0.0558634752241383,0.0450422240487749,0.0623244348985492
"Gide_PD1_54_Pre",0.258340738647228,0.175574393900926,0.258340738647228,0.175574393900926,0.290078788139517
"Gide_PD1_6_Pre",0.092760016101987,0.103472997940533,0.092760016101987,0.103472997940533,0.0972585149142467
"Gide_PD1_7_Pre",0.175210193054006,0,0.175210193054006,0,0.185545717668483
"Gide_PD1_8_Post",0.170255138814476,0.0358305724557485,0.170255138814476,0.0358305724557485,0.190771663327017
"Gide_PD1_8_Pre",0.153095340131416,0.0968221119102702,0.153095340131416,0.0968221119102702,0.216510082927581
"Gide_PD1_9_Pre",0.103534680676943,0.0591988556531825,0.103534680676943,0.0591988556531825,0.0922231667463004
