"","Epidish_BPRNACan_CD4","DeconRNASeq_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","Epidish_CBSX_LM22_T.cells.CD4.memory.activated","DeconRNASeq_CBSX_LM22_T.cells.CD4.naive","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","Epidish_LM22_T.cells.CD4.memory.activated","DeconRNASeq_LM22_T.cells.CD4.naive","DeconRNASeq_LM22_T.cells.CD4.memory.activated","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_naive","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"Gide_PD1_2_Pre",0.00794520725566753,0.00732026327445101,0.0267251470474865,0.0403757129100406,0.0168018562500374,0.251156930472362,0.0246372143892278,0.00823156724679087,0.0291736466230283,0.102307345233061,0.0578565716899709,0.0958532641446392,0.208554526207052,0,0.0168018562500374,0.251156930472362,0.0246372143892278,0.00823156724679087,0.0291736466230283,0.102307345233061,0.0578565716899709,0.134442401139918,0,0.239507988405562,0,0.10184071734859,0.0664747113434421,0,0.27446894536043,0.175857567211744
"Gide_PD1_21_Pre",0,0.0209950517253728,0,0.00753934447697934,0.0203677375018963,0.122643467130536,0.0138226890871519,0.0121992431008177,0.0212266316110767,0.0114988299052509,0.0501098291599064,0.111229568223884,0.0317923095510328,0,0.0203677375018963,0.122643467130536,0.0138226890871519,0.0121992431008177,0.0212266316110767,0.0114988299052509,0.0501098291599064,0,0.00758337240741313,0.3123474329289,0,0,0.101737357454631,0,0.0265913721450136,0.246201671317272
"Gide_PD1_23_Pre",0,0.0112110933194615,0.00421263521153585,0.0100306041848548,0.012481215336251,0.209366366018289,0.01141603065537,0,0,0,0.032136617695484,0.0176403091927001,0.110803581529377,0,0.012481215336251,0.209366366018289,0.01141603065537,0,0,0,0.032136617695484,0.0917573701240133,0,0.189561188792485,0,0,0.0200893240079423,0.175678649921371,0.070181535711335,0.248613327180714
"Gide_PD1_25_Post",0.0229915844457138,0.00857012438049877,0.0569993965022359,0.0777926763819223,0.0101070122517148,0.211449107279117,0.0577813788370666,0.0348188735933938,0.0534631945011527,0.0343876876848158,0.0517348896184324,0.0420813724510158,0,0,0.0101070122517148,0.211449107279117,0.0577813788370666,0.0348188735933938,0.0534631945011527,0.0343876876848158,0.0517348896184324,0.0115784523125729,0.0251255361648525,0.0599529983002372,0.0202878501172636,0.0511903079095556,0.0599346097768223,0,0.0669930217772221,0.21129657173813
"Gide_PD1_25_Pre",0.0108572687827451,0.00601023224063954,0.0247487837392989,0.039575819534551,0.0198816272880706,0.25965305173121,0.0212098913648738,0.042609729267016,0.0256705290784326,0.00120466201042923,0.0269170129362124,0,0.164281849965568,0.051568322300052,0.0198816272880706,0.25965305173121,0.0212098913648738,0.042609729267016,0.0256705290784326,0.00120466201042923,0.0269170129362124,0.292416263599578,0.00394163960812715,0.182372966090483,0.0390749636517275,0.00970311253008318,0.0182748154847564,0.32202942739545,0,0.266429855215826
"Gide_PD1_27_Pre",0,0.0504576588676216,0.0112469355448489,0.0207593395081155,0.0560464681839588,0.302535895214758,0,0,0.0184854278161654,0,0.0714941708895925,0,0,0.540293498284489,0.0560464681839588,0.302535895214758,0,0,0.0184854278161654,0,0.0714941708895925,0,0,0.328844857208709,0,0,0,0,0,0.399084497094493
"Gide_PD1_29_Post",0,0.0348105004791382,0.0191810311266864,0.03624562119553,0.052588100975253,0.0978749927936485,0.270475445761114,0,0.0359380334484853,0,0.0610436097551202,0,0.0344985192391824,0.269437860677027,0.052588100975253,0.0978749927936485,0.270475445761114,0,0.0359380334484853,0,0.0610436097551202,0,0.0228651358109086,0.206276412119413,0.193103979705848,0,0,0,0.0703332145915142,0.390998797062956
"Gide_PD1_29_Pre",0,0.0291928800374768,0.00696355040343179,0.019965410586083,0.0527839847777567,0.07228205663636,0.168729544483002,0,0.0283526532170084,0,0.0528287782884801,0,0.0390222527296283,0.306139352079122,0.0527839847777567,0.07228205663636,0.168729544483002,0,0.0283526532170084,0,0.0528287782884801,0,0,0.244708555308691,0,0,0,0,0.0334986057245717,0.360878065903167
"Gide_PD1_3_Pre",0,0.0126302271927232,0.00909645309897945,0.0188596010308025,0.0406033878600353,0.18470207119457,0,0.0104249148500744,0.0248113238796007,0,0.0371514868276986,0,0.0622206699122825,0.234165262554718,0.0406033878600353,0.18470207119457,0,0.0104249148500744,0.0248113238796007,0,0.0371514868276986,0,0,0.208869885219329,0,0,0,0,0,0.289261312515624
"Gide_PD1_30_Pre",0.00118180495019725,0.0342259519969852,0.0127381850869325,0.020418948949406,0.0300164662172347,0.351052491768602,0,0.0205016305010236,0.0430290464826343,0,0.0611942852759441,0.023344633219976,0,0.121937813254275,0.0300164662172347,0.351052491768602,0,0.0205016305010236,0.0430290464826343,0,0.0611942852759441,0,0,0.227589950915739,0,0,0.0623447039935665,0,0,0.301006876385758
"Gide_PD1_34_Pre",0,0.0198791476905371,0.0240918128194214,0.0380663464988094,0.0337377296682641,0.164556242128281,0.0631738861000377,0.0164123138831929,0.0310671411188877,0.0331338234943353,0.0547270005442039,0.110062099768047,0.118358652861791,0,0.0337377296682641,0.164556242128281,0.0631738861000377,0.0164123138831929,0.0310671411188877,0.0331338234943353,0.0547270005442039,0.115220564391652,0.0921540082546076,0.113010022741461,0.0667893001920864,0.0538799886786743,0.0940801723877777,0,0.0510520465715949,0.266556592152595
"Gide_PD1_35_Pre",0.0298242349676574,0.018745040709415,0.0725217887473759,0.106715593540986,0.0372601428708427,0.194794869423663,0.042443765222762,0.059425517585249,0.0238888178591679,0,0.0647157583149044,0.0654890857990478,0,0,0.0372601428708427,0.194794869423663,0.042443765222762,0.059425517585249,0.0238888178591679,0,0.0647157583149044,0.0536010449557715,0.0947372893080849,0.216829730933434,0.0145563673919865,0.0345723715560582,0.0849455142002517,0.0526258259926088,0,0.2260230944112
"Gide_PD1_36_Pre",0.00530621926847099,0.0267643704105775,0.02738621913601,0.0355742198641663,0.0515199399704475,0.259811732879043,0.0882643457248384,0,0.0407259876932689,0.0109062164323095,0.0806708472090892,0,0.363715534069699,0,0.0515199399704475,0.259811732879043,0.0882643457248384,0,0.0407259876932689,0.0109062164323095,0.0806708472090892,0.104152529374596,0,0.240922702680424,0.0851844515125383,0.0168437369526669,0.010820830675332,0.606490551722907,0.358575401265454,0.18914614163928
"Gide_PD1_38_Pre",0.0043138836950859,0.0080491831720587,0.0273987247898021,0.0383483469176584,0,0.0125528800034072,0,0,0.00926078544411904,0,0.040734416613773,0.0709407216777243,0,0,0,0.0125528800034072,0,0,0.00926078544411904,0,0.040734416613773,0.028766229616174,0,0.0424169196457847,0,0,0.0426025755861011,0,0.122244338781693,0.116794917431445
"Gide_PD1_4_Pre",0.00230135328046224,0.00979281559663028,0.02146254654441,0.0342790314877019,0,0.152716329393571,0.0330525008029864,0,0.0354876456338668,0.0255590135111827,0.0475393630200608,0.0672238058413813,0,0,0,0.152716329393571,0.0330525008029864,0,0.0354876456338668,0.0255590135111827,0.0475393630200608,0,0,0.154720815595964,0.00807236133621029,0.0300810580008404,0.0541020269377818,0,0,0.204222794718179
"Gide_PD1_40_Pre",0.00814382149325592,0.0159531841616821,0.00561856851037641,0.0297175932865414,0.0170394985670623,0.198005743880321,0.0282722228858009,0,0.00236362067443246,0.158870797471334,0.0748247914123659,0.186884771180177,0,0,0.0170394985670623,0.198005743880321,0.0282722228858009,0,0.00236362067443246,0.158870797471334,0.0748247914123659,0.126887531104696,0.0223907890438453,0.211706952364044,0.0168809380548707,0.0746557989644349,0.150674518170157,0.0980583819941363,0.0677855459321093,0.167319394300343
"Gide_PD1_41_Post",0.0278034527819711,0.00193201397717338,0.057055764316476,0.0841044968287562,0.0180330349464824,0.105732501958601,0.128681456531353,0,0.0768221216114251,0.0638158142959618,0.0630700047811755,0.0838754092191956,0,0,0.0180330349464824,0.105732501958601,0.128681456531353,0,0.0768221216114251,0.0638158142959618,0.0630700047811755,0.143027060866773,0,0.00143431244446517,0.0573544172598689,0.0817432706950334,0.113200445013621,0,0.0136851181489162,0.198319546614784
"Gide_PD1_41_Pre",0,0.048971096498269,0.0016833590536239,0.0076324662765004,0.0498461164010693,0.15884368107398,0.0671216648833568,0,0.0361165972950293,0,0.073266817158148,0,0.152463184993434,0.0529007475851756,0.0498461164010693,0.15884368107398,0.0671216648833568,0,0.0361165972950293,0,0.073266817158148,0.402461394529062,0,0.159471341741896,0.0880279954938705,0.010649137732991,0,0,0.0607201828566235,0.250685937699031
"Gide_PD1_42_Pre",0.00597588577452223,0.0709933168943342,0.0240413313543256,0.0402529486921467,0.0306001502005461,0.300575028521814,0.0189660964393369,0,0.018778234207933,0,0.0851640648138793,0,0.196861432627139,0.100179605702771,0.0306001502005461,0.300575028521814,0.0189660964393369,0,0.018778234207933,0,0.0851640648138793,0.37906629535638,0.0134775297295053,0.218779426384134,0,0,0.0133839886410217,0.690861937480489,0.0627875427184907,0.315615222047027
"Gide_PD1_44_Pre",0.0492693505544757,0.0199678733838363,0.0388992850007202,0.0655829613895925,0.0382285530946322,0.164960029976375,0.0609671796777574,0.0343714231631859,0.0512007233190945,0.228934245964537,0.0908805303688928,0.356612709568471,0.0915360906907422,0,0.0382285530946322,0.164960029976375,0.0609671796777574,0.0343714231631859,0.0512007233190945,0.228934245964537,0.0908805303688928,0.376087995201822,0.088758941752939,0.153326429644672,0.0692337360294093,0.248152297319999,0.365910568552516,0.380050064396022,0.358262715519865,0.179338741801691
"Gide_PD1_45_Pre",0.0407243707267739,0.0198033797193783,0.107995504856715,0.134107989021769,0.0402151460799776,0.244225831318343,0.0439330757228559,0,0.0281257273808116,0.102121301029517,0.0869459566823517,0.0965094158822617,0,0,0.0402151460799776,0.244225831318343,0.0439330757228559,0,0.0281257273808116,0.102121301029517,0.0869459566823517,0.342295999907843,0,0.277267577456361,0.0605693432541006,0.18431363184144,0.0562239660429909,0.184556788299112,0.337189295323385,0.167813865321202
"Gide_PD1_46_Pre",0.00563700406466367,0.010645024205042,0.0254717941480586,0.0429564389663526,0.0168991419952089,0.207343632293082,0.021770670175847,0,0.0265216336551282,0,0.0191175792484892,0,0,0,0.0168991419952089,0.207343632293082,0.021770670175847,0,0.0265216336551282,0,0.0191175792484892,0,0,0.183442090098528,0.0344979557827663,0,0,0,0.163298788867091,0.191069639713387
"Gide_PD1_47_Post",0.0430372506715118,0.0155910832100132,0.0988661611859121,0.122586711368193,0.0205728553855298,0.172257575760984,0.0676388174155053,0,0.0408487984703422,0.0277699100656032,0.07251408554173,0.0242612395245329,0.0624553633872586,0,0.0205728553855298,0.172257575760984,0.0676388174155053,0,0.0408487984703422,0.0277699100656032,0.07251408554173,0.182127701347348,0,0.211695300481259,0.0865274411175866,0.0477164357518361,0.0770376590244713,0.267634841370051,0.219168601357294,0.192044955028643
"Gide_PD1_47_Pre",0.0124965893391075,0.00422153902515499,0.0411982432809612,0.0618605562696349,0,0.154360787905034,0.0209567059928602,0.015118418853622,0.0280169270746396,0.00502825568152321,0.048845239637024,0.0554920433567741,0.0732883635260431,0,0,0.154360787905034,0.0209567059928602,0.015118418853622,0.0280169270746396,0.00502825568152321,0.048845239637024,0.176635197182685,0,0.189411345592749,0.034237961193801,0.0315010364196881,0.0230277420548335,0.172614577464594,0.0384150072320788,0.111453469547068
"Gide_PD1_48_Post",0.0679609231279371,0.00573137284112749,0.121493752835024,0.1471483378809,0,0.012006092065156,0.0780190219022585,0,0.0849417219737066,0.237880029973008,0.104349214381303,0.153122676647058,0.019085865420765,0,0,0.012006092065156,0.0780190219022585,0,0.0849417219737066,0.237880029973008,0.104349214381303,0.286053261255207,0.00028234311946555,0,0.0655592162382817,0.249630119484703,0.208853777706458,0.0768871309016971,0.275472800852693,0.165583644925476
"Gide_PD1_48_Pre",0.0335449721673883,0.0179689878401866,0.0688988302507203,0.0898915985381859,0.0225424124261435,0.0799904618922161,0.101832287621949,0.0193416032296804,0.0541420168032475,0.0256684501768691,0.0773374641504785,0.121281758196716,0,0,0.0225424124261435,0.0799904618922161,0.101832287621949,0.0193416032296804,0.0541420168032475,0.0256684501768691,0.0773374641504785,0.0656904455155771,0.0629528794159904,0.0589278766469292,0.113349154019873,0.0567340518912836,0.089489897091069,0,0.0685613053034718,0.228598381641682
"Gide_PD1_49_Pre",0,0.00760365522466838,0.0103336627928839,0.0209040568923984,0.0305541542644206,0.146166385576139,0.0192677374061181,0.00559112476824826,0.0261229002226345,0,0.0340827898269998,0,0.0348125536812,0.126321778672059,0.0305541542644206,0.146166385576139,0.0192677374061181,0.00559112476824826,0.0261229002226345,0,0.0340827898269998,0,0,0.144970690138773,0.00117494572444151,0,0,0,0,0.231969056492939
"Gide_PD1_5_Pre",0.00158279428863706,0.0160975780583803,0.019874138606996,0.0325675619440733,0.0378437159687263,0.286015451480803,0,0.00545501344619103,0.0228952544567897,0,0.0229264209234649,0,0.0776011432664847,0.318893506750964,0.0378437159687263,0.286015451480803,0,0.00545501344619103,0.0228952544567897,0,0.0229264209234649,0.129706416279659,0,0.452275083035734,0,0,0,0,0.0840640262479248,0.326484176429178
"Gide_PD1_50_Pre",0.00311922338182349,0.016637452457287,0.0146965623925909,0.0320019870997508,0.0132182946286565,0.193911721239058,0.0243391220258726,0,0.0714441407710991,0,0.0411012116313021,0,0.0491995025567448,0,0.0132182946286565,0.193911721239058,0.0243391220258726,0,0.0714441407710991,0,0.0411012116313021,0,0,0.168602222932662,0.0126117272126358,0,0,0,0,0.239138281656093
"Gide_PD1_52_Pre",0,0.01198266947596,0.0153807255591102,0.0307135788091985,0,0.0950997157668543,0.0138141119559157,0,0.0190513688164592,0.0156259964624325,0.0569657576685804,0.078956567399084,0.0293967480222613,0,0,0.0950997157668543,0.0138141119559157,0,0.0190513688164592,0.0156259964624325,0.0569657576685804,0,0,0.0805205613942959,0,0.020579854258315,0.0757488770349602,0,0,0.164050119462544
"Gide_PD1_53_Pre",0.0516566632221767,0.0339147103352386,0.120143654857298,0.139681364384465,0.0382369366951434,0.161100614059531,0,0,0.0370041891848843,0.327865029965766,0.089170559619424,0.302379350138886,0,0,0.0382369366951434,0.161100614059531,0,0,0.0370041891848843,0.327865029965766,0.089170559619424,0.110497930772035,0,0.0891568457843149,0,0.447296637367516,0.316744294005737,0.193210429303032,0.217160471905447,0.0917271962772352
"Gide_PD1_54_Pre",0.0069773552949454,0.0155769424102621,0.0320392056640103,0.0526334907957619,0.0193409101132742,0.229571145101765,0.0199312131205183,0,0.0360317905677352,0.0107977272203828,0.0335278969240455,0,0,0.0525895487808851,0.0193409101132742,0.229571145101765,0.0199312131205183,0,0.0360317905677352,0.0107977272203828,0.0335278969240455,0,0,0.17877248494762,0.0160922891823026,0.0272135846558874,0.050122185327937,0,0.0614121117092706,0.269138385385949
"Gide_PD1_6_Pre",0.096833534269073,0.0477821455807917,0.0195957264827269,0.032739389120869,0.0896092075304959,0.226142175333325,0.0520446614819946,0.0825300282202308,0.0375563382580614,0.225495492139749,0.129427860442767,0.617126141950713,0.259193324843184,0.0432716800035015,0.0896092075304959,0.226142175333325,0.0520446614819946,0.0825300282202308,0.0375563382580614,0.225495492139749,0.129427860442767,0.36874747869106,0.167499418977893,0.203929901429836,0.0419471867503297,0.256014216856377,0.589335994567376,0.33527250347032,0.103431220364233,0.300295653209844
"Gide_PD1_7_Pre",0,0.00280147453580623,0.00528385891541727,0.0187818117525772,0,0.0902784207967292,0.00103087353660124,0,0.0252152953199776,0.176421940775898,0.0735479313403887,0.0959307718986843,0.00419324721451547,0,0,0.0902784207967292,0.00103087353660124,0,0.0252152953199776,0.176421940775898,0.0735479313403887,0.024738767805223,0,0.121820027916471,0,0.147563222340467,0.0639179023496032,0.127822654198297,0,0.187448727497429
"Gide_PD1_8_Post",0,0.0324374323497343,0.0104084561944905,0.0184347076511758,0.025562813626024,0.17560822255921,0,0,0.0118899308758274,0,0.0620128174549641,0,0.0223757413576769,0.614460868245534,0.025562813626024,0.17560822255921,0,0,0.0118899308758274,0,0.0620128174549641,0,0,0.293753015020666,0,0,0,0,0.0230794194194929,0.416331698927411
"Gide_PD1_8_Pre",0,0.046229790180832,0.0191206395073214,0.0306710683652142,0.0377565279946539,0.27154401389406,0,0,0.0189128896451106,0,0.0752073003424893,0,0.000795671883616568,0.800782763680112,0.0377565279946539,0.27154401389406,0,0,0.0189128896451106,0,0.0752073003424893,0,0.0482973656671981,0.176897109180722,0,0,0,0,0,0.541173571238926
"Gide_PD1_9_Pre",0.000166137913934071,0.00920147010895826,0,0.0123547698371646,0.0220427086217067,0.177966490304827,0.0461188452460061,0.0485772731968485,0.0323225687253597,0,0.0513173086733316,0.0849819139170004,0.22422350295604,0.0223325763217734,0.0220427086217067,0.177966490304827,0.0461188452460061,0.0485772731968485,0.0323225687253597,0,0.0513173086733316,0.247488701708621,0,0.208064821797789,0.0120543522990856,0.0262258276183298,0.0755018520269896,0.112017357042774,0,0.276970069183496
