"","Epidish_BPRNACan_cancer","DeconRNASeq_BPRNACan_cancer","Epidish_BPRNACan3DProMet_cancer","DeconRNASeq_BPRNACan3DProMet_cancer","Epidish_BPRNACanProMet_cancer","DeconRNASeq_BPRNACanProMet_cancer","Epidish_CCLE.TIL10_cancer","DeconRNASeq_CCLE.TIL10_cancer","CBSX_CCLE.TIL10_cancer"
"LUNG-NSCLC2-0593",0.913489148297705,0.443010314047933,0.835393778913126,0.456637579347038,0.781502832906882,0.453255516429118,0,0.0564301056541713,0
"LUNG-NSCLC2-0595",0.934522385681787,0.54621486047521,0.891497524512358,0.564158121845797,0.856007840018184,0.515544679170593,0.711814960509462,0.375103144917692,0.64895121555923
"LUNG-NSCLC2-0596",0.925307108389978,0.513762850258922,0.919351804412875,0.531212098157441,0.874223434980626,0.517648125220267,0.159655578995369,0.101895223562109,0.216600418622038
"LUNG-NSCLC2-0599",0.88951889167363,0.424092945199072,0.799274303441363,0.440278710622348,0.766554866726548,0.437309794771696,0,0.0547964541639899,0
"LUNG-NSCLC2-0602",0.897101102556031,0.488639170110674,0.837283061485435,0.499704853537666,0.814210660149712,0.488801337296829,0,0.0260960495862938,0
"LUNG-NSCLC2-0603",0.917211917405259,0.544332506438332,0.901466498878754,0.562508497459073,0.864717461005106,0.542915440536594,0.396590227905832,0.163138184173032,0.277477251093962
"LUNG-NSCLC2-0608",0.942057691785304,0.488950844328627,0.917252020348485,0.521082488328987,0.907865079092638,0.516450395624216,0.349604895274399,0.148201704909986,0.364285416877516
"LUNG-NSCLC2-0610",0.951181613741848,0.509403717197174,0.897582059975745,0.514078982892439,0.888853820598235,0.501833663891318,0.0131769595046101,0.0910015232644816,0.0818946839163227
"LUNG-NSCLC2-0611",0.919053652377056,0.516862873240542,0.846595867253457,0.52143450738868,0.798994368368783,0.510342471846111,0.187313108912619,0.104778880687922,0.240106290190239
"LUNG-NSCLC2-0622",0.896055980429245,0.495493965013795,0.846559546470768,0.521448759704994,0.824431511604246,0.521405735757822,0.456238738378794,0.195104372871965,0.414811036483181
"LUNG-NSCLC2-0623",0.920959688386808,0.531962270722258,0.855102793812306,0.53905976808619,0.819697253735625,0.504179140371723,0.0271750057745074,0.0786459683574431,0.0443273219683808
"LUNG-NSCLC2-0630",0.92511198842815,0.55251474718442,0.90530354213055,0.569687448388824,0.882623432094075,0.524362920075352,0.0530433747142327,0.209885461454209,0.0354354646694644
"LUNG-NSCLC2-0631",0.895284277052246,0.559937126600136,0.863618321994331,0.569284926337374,0.818376370554732,0.556285444193355,0.120305400034577,0.0963466290833299,0.0437632017186086
"LUNG-NSCLC2-0632",0.902753347717713,0.535549077845188,0.83418143341471,0.544390784064064,0.805637933546578,0.539194060490497,0.229776437462756,0.198840812511184,0.17541445949082
"LUNG-NSCLC2-0633",0.857325010649297,0.433926897601787,0.824483500513646,0.46574519508426,0.815919875867377,0.462903540720744,0.0053840504877717,0.0596578816095872,0
"LUNG-NSCLC2-0635",0.982170659176202,0.546434435414133,0.974021079141767,0.5901161584354,0.96024788623873,0.533457559783882,0.554048057702355,0.316759715072262,0.562675809998946
"LUNG-NSCLC2-0641",0.963452490956115,0.521219166221212,0.923213304668303,0.534337594238167,0.914988243763891,0.527526360250772,0,0.131973886421964,0
"LUNG-NSCLC2-0648",0.901047893045208,0.459125994423353,0.838691260001273,0.478446572929331,0.809608368923885,0.474079196050145,0,0.0244039964961328,0
"LUNG-NSCLC2-0652",0.927180395174313,0.510116265911792,0.89092491786133,0.526465630995593,0.87533968769479,0.505482599362509,0.0043746892138535,0.0589356154840529,0.0291108842628219
"LUNG-NSCLC2-0657",0.790395457976874,0.418250002479572,0.726515802119119,0.421762738191359,0.692006609582697,0.41389769809988,0,0,0
"LUNG-NSCLC2-0660",0.839484625064617,0.500828196085615,0.806867455597902,0.52679755582135,0.7575244767101,0.516084198057959,0.166873907615565,0.261001932093928,0.144266133429007
"LUNG-NSCLC2-0678",0.980654422669263,0.552867427898323,0.972918450204679,0.579637842187151,0.975594669974851,0.571990450401228,0.119549868281833,0.108728110101751,0.135178253179798
"LUNG-NSCLC2-0683",0.933541009457448,0.517637881757729,0.882223273963759,0.534541362637366,0.850351926647503,0.526493981222667,0.0212340176577162,0.0610236968684256,0.0685261574045988
"LUNG-NSCLC2-0685",0.944419782464436,0.54685433785518,0.904910503956585,0.559328226112341,0.856932703019248,0.521435884911019,0.118364295752946,0.0923638381711284,0.173000910313644
"LUNG-NSCLC2-0687",0.872281471406348,0.409497316451332,0.808066606883168,0.426094010004378,0.748255841055718,0.417824773713873,0,0.0026578473478685,0
"LUNG-NSCLC2-0689",0.9364820559629,0.473854738653689,0.900427196269583,0.493319623469943,0.874002971400052,0.395257723561736,0.11364891532535,0.101018520971446,0.119748623689764
"LUNG-NSCLC2-0695",0.960945132275744,0.396265883067738,0.913815621821871,0.433165686142164,0.896002129052835,0.438431141925248,0,0.143477414913478,0
"LUNG-NSCLC2-0696",0.930483114756674,0.474807560493825,0.882551678926113,0.495513797649324,0.840404180343132,0.494925216913127,0,0.0622905387145324,0
"LUNG-NSCLC2-0698",0.858406970498853,0.473888920681341,0.797450731071454,0.492265827594691,0.749414076966126,0.470019283961284,0.0779126809744445,0.0952266552738171,0.0782025679152696
"LUNG-NSCLC2-0704",0.983881996986232,0.488477379554067,0.9641540378589,0.513199521532958,0.942989918998596,0.511924264537569,0,0.0784231200123113,0
"LUNG-NSCLC2-0705",0.911976012460787,0.5413844701021,0.889548247969925,0.559428790016582,0.855309346361904,0.541042169419737,0.10678658536575,0.120757982329319,0.139385967549626
"LUNG-NSCLC2-0707",0.91494291673029,0.465459301662667,0.877689587144416,0.500345582871045,0.860364323093611,0.507384004651711,0.130740626802207,0.16357760249277,0.1217260127933
"LUNG-NSCLC2-0709",0.909641121345468,0.540059590573233,0.86511273316466,0.554481076289856,0.828477508546773,0.537293448224457,0.0293476540822028,0.0968414370594524,0.0581050086908964
"LUNG-NSCLC2-0712",0.969279877791272,0.441758812332665,0.919483648132801,0.467972626079128,0.884154625920653,0.46005753614869,0.0513566176445447,0.147639963508815,0.0398385161265792
"LUNG-NSCLC2-0714",0.947994692992402,0.539953609201698,0.911377759822818,0.553849045354825,0.889584110641277,0.542974174560947,0,0.123374694408012,0
"LUNG-NSCLC2-0715",0.943917677500985,0.54556182476793,0.891712534910594,0.556894290507069,0.862131036118528,0.549618265632785,0.13257988969835,0.0680767435687417,0.112446603579203
"LUNG-NSCLC2-0718",0.934618665597057,0.551725510486423,0.90491721428225,0.589244336301092,0.894194988339672,0.469276429024614,0.207637993428233,0.115870425532941,0.185353806745349
"LUNG-NSCLC2-0720",0.93200946704842,0.451816511289655,0.878366763426051,0.473157648574927,0.823343817117363,0.464155056000113,0,0.0664114113950162,0.0116515435725688
"LUNG-NSCLC2-0727",0.948799381535834,0.491887209445774,0.910010306887223,0.51990343271509,0.902879983247175,0.515971025863395,0,0.0657628173651926,0.0072904869285739
"LUNG-NSCLC2-0728",0.877109225779066,0.45364402641616,0.790573339652553,0.473671732655836,0.773927589890825,0.471893388767839,0,0.0446707584363219,0
"LUNG-NSCLC2-0729",0.947859569237331,0.463740921350675,0.913113774763182,0.479615968009109,0.878841988676951,0.472583570683192,0,0.0837877808911238,0
"LUNG-NSCLC2-0730",0.961315765797754,0.542869253687889,0.928863431932916,0.573050474371804,0.918074945261985,0.540949581937267,0.129661929818401,0.204710916452281,0.165558917843282
"LUNG-NSCLC2-0732",0.933295816025397,0.561651824223862,0.909447848040303,0.586938714654173,0.902778291381621,0.518738087108183,0.357134795307496,0.256090959853001,0.279686295676245
"LUNG-NSCLC2-0734",0.826572132174951,0.422004082009023,0.771573644911117,0.444969248424013,0.761671345960347,0.44983059954635,0.102421231050938,0.0880298303322813,0.09567562656695
"LUNG-NSCLC2-0736",0.978437725505668,0.513488312943818,0.949027126342238,0.53076038474772,0.912292165765996,0.524302356061538,0.0193063505698207,0.0930644535455511,0.0546218517884025
"LUNG-NSCLC2-0737",0.91612283241371,0.466328765002587,0.868500378116844,0.478098327768035,0.852388460792254,0.48200239453169,0,0,0
"LUNG-NSCLC2-0740",0.95006513289963,0.499753486990501,0.953833941548363,0.54477988311192,0.928745305426882,0.487862599995539,0.629340172918109,0.354050634249556,0.433406532746694
"LUNG-NSCLC2-0742",0.943367413277252,0.507248870912959,0.882767029522819,0.523348105310086,0.836674946005484,0.511498803192856,0,0.0402041329599364,0
"LUNG-NSCLC2-0743",0.922303407567842,0.44273260091721,0.871648422784496,0.459882455107981,0.850592841881513,0.456177676463616,0,0.0498873431436258,0.0367205885297187
