"","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","DeconRNASeq_LM22_T.cells.CD4.memory.resting","DeconRNASeq_LM22_T.cells.CD4.memory.activated","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"LP.01.29",0.00980179740810306,0.22319280515388,0,0,0.0923926098761767,0.0507459778742285,0.160800905868615,0,0,0.00980179740810306,0.22319280515388,0,0,0.0923926098761767,0.0507459778742285,0,0.155594386548322,0.137209687426248,0.157119984476263,0.197174756664084,0.0411434653947985,0.177184391061018
"LP.01.31",0.0376906075364913,0.275739534707539,0.0521631565669927,0.00196302920555572,0.00466839377081375,0.031142654408093,0.0386397340097401,0.0510207210288285,0,0.0376906075364913,0.275739534707539,0.0521631565669927,0.00196302920555572,0.00466839377081375,0.031142654408093,0,0.201076133489335,0.00394374217756154,0.0465994813959822,0.113757332725333,0,0.28266966055918
"LP.01.37",0.0304019731681591,0.264842015903943,0,0.0205849438405713,0,0.0417399333664004,0,0.0740552227532288,0,0.0304019731681591,0.264842015903943,0,0.0205849438405713,0,0.0417399333664004,0.129595318334588,0.173501725921157,0.0102010293383516,0.0334175999943956,0.061943511722636,0.0515306593999979,0.220809462735968
"LP.01.38",0.0741458466925591,0.461294249753134,0.0737774113565149,0.0336226917638994,0,0.0567653740491353,0,0,0.286497157958537,0.0741458466925591,0.461294249753134,0.0737774113565149,0.0336226917638994,0,0.0567653740491353,0,0.294881657116597,0,0,0.241086448674651,0.0305166501475052,0.328657894242693
"LP.01.40",0.0356146964102339,0.296849152310487,0.0230739682093433,0.0459435872170664,0.0531910300445422,0.0683544015936053,0.107016968779069,0,0.0580842602734745,0.0356146964102339,0.296849152310487,0.0230739682093433,0.0459435872170664,0.0531910300445422,0.0683544015936053,0,0.250086561718328,0.0313518473262431,0.108563172513052,0.0474836490504225,0.0178800387591047,0.291492081730488
"LP.01.43",0,0.279749257949775,0,0,0.0550278700896833,0.0335513953488451,0.199372339878212,0.100886284858257,0,0,0.279749257949775,0,0,0.0550278700896833,0.0335513953488451,0.104958527571635,0.261139180257938,0.0584175646868435,0.172409136856922,0.15563734100819,0.0167402377582258,0.289147254543543
"LP.01.45",0.0763826651415696,0.241137700652189,0,0.0246209354865341,0,0.0440692473391645,0,0.0234894794820328,0.0441148438234271,0.0763826651415696,0.241137700652189,0,0.0246209354865341,0,0.0440692473391645,0,0.167666405472809,0,0.0341970443561158,0.224831244029622,0.0368239807772857,0.250331667059899
"LP.01.47",0.00753482474907461,0.348458177347868,0.177266606306173,0.0315126590456813,0.0929637625576341,0.0584733129551325,0.188973874601467,0.0932491227315128,0.0534668871399355,0.00753482474907461,0.348458177347868,0.177266606306173,0.0315126590456813,0.0929637625576341,0.0584733129551325,0,0.314531061331689,0.106549740647114,0.113173909148297,0.210710321235145,0.105302404783046,0.303973830092428
"LP.01.48",0.0465916846518746,0.109754548308644,0,0,0,0.0555433132125978,0,0.0519160744222368,0.159267966865845,0.0465916846518746,0.109754548308644,0,0,0,0.0555433132125978,0.125548782227571,0.236053740714157,0.0762262726276024,0.11678776352571,0.133207125812975,0.0445934280250484,0.263867036856978
"LP.01.52",0,0.187598914851597,0.020894543262117,0.00219178965695484,0,0.044452553683707,0.0329928234377813,0.0890925682946787,0.0093262059312332,0,0.187598914851597,0.020894543262117,0.00219178965695484,0,0.044452553683707,0,0.147122845244372,0,0.0547399777132554,0,0.073686325730533,0.227322700988475
"LP.01.57",0,0.310316563333646,0,0.00291057252481886,0.0568298008102641,0.0437282328329709,0.150619957645667,0.0410408154122326,0.0394770951262408,0,0.310316563333646,0,0.00291057252481886,0.0568298008102641,0.0437282328329709,0,0.308101360531577,0.0815412625682122,0.104323268287316,0.308809791873607,0.116964113126625,0.211469195062252
"LP.01.61",0.00598446558817482,0.337776361073414,0,0,0.00470905402425121,0.0647401571263853,0,0,0,0.00598446558817482,0.337776361073414,0,0,0.00470905402425121,0.0647401571263853,0,0.183176594951456,0.0385076396720529,0.00042204099075992,0,0,0.182709102653143
"LP.01.63",0.0376429661033365,0.260132035626156,0,0.0113340595338333,0,0.0476412159781218,0,0,0.0664802061219729,0.0376429661033365,0.260132035626156,0,0.0113340595338333,0,0.0476412159781218,0,0.17988833772158,0,0,0.122485252070306,0.0333099513469769,0.292808520449496
"LP.01.64",0.0313358492355979,0.339184011826863,0,0.0393327419745232,0.032689861705954,0.0514085886415153,0.129072362478824,0,0.0476271302508513,0.0313358492355979,0.339184011826863,0,0.0393327419745232,0.032689861705954,0.0514085886415153,0,0.365555841639233,0,0.133631097667613,0.307946274698557,0.0484252937356362,0.239352367350013
"LP.01.66",0,0.321017075759527,0,0,0.0393929706164612,0.0315529445892774,0.194175757155364,0.0238515823077829,0,0,0.321017075759527,0,0,0.0393929706164612,0.0315529445892774,0.0366175592113795,0.31920928306428,0.0444444581169676,0.201283425108446,0.271694816967292,0.0559464447255037,0.251262729651138
"LP.01.70",0.0269637280883269,0.26755249514301,0.0382556253330232,0.0273040485089643,0,0.0379363118914135,0,0,0.0565108594045066,0.0269637280883269,0.26755249514301,0.0382556253330232,0.0273040485089643,0,0.0379363118914135,0.245181028193631,0.213021947548649,0,0,0.322687957037718,0,0.332141249124296
"LP.01.72",0.0667666058205965,0.315150712560613,0,0.0129862570112297,0,0.0738835788584314,0,0,0.160997419032478,0.0667666058205965,0.315150712560613,0,0.0129862570112297,0,0.0738835788584314,0,0.28954045117994,0,0,0.00801603910175752,0,0.291942999415093
"Test.FFPE.01",0.0516848762425524,0.32958235817054,0,0,0.136645124054898,0.0659209229925779,0.137176837301903,0,0,0.0516848762425524,0.32958235817054,0,0,0.136645124054898,0.0659209229925779,0,0.252926153243675,0.0743554783425942,0.0964595256502969,0.104573666919162,0,0.186186269811276
"Test.FFPE.02",0,0.35332664004033,0,0,0.101669455863208,0.0211432206911486,0.212532828722182,0.115559342708135,0,0,0.35332664004033,0,0,0.101669455863208,0.0211432206911486,0.160431841735699,0.288433316938922,0.0901046072752658,0.176811080342429,0.218257120947965,0.115350943979196,0.247762244756604
"Test.FFPE.04",0.0294656390303325,0.25434217235869,0,0,0.0508934094561428,0.0451376385663159,0.197520004488697,0.167370892496857,0,0.0294656390303325,0.25434217235869,0,0,0.0508934094561428,0.0451376385663159,0,0.246931141487864,0.0565745009917771,0.17501356503565,0,0.145645765381499,0.220138005122557
"Test.FFPE.05",0.0244590871441575,0.170729532810155,0,0,0.0922172187426902,0.0395989337513912,0.179535729498257,0.0328752451639127,0,0.0244590871441575,0.170729532810155,0,0,0.0922172187426902,0.0395989337513912,0,0.161890171559952,0.0888781833892914,0.169543921966663,0.0280381123379686,0.0683640761623875,0.221985434257467
"Test.FFPE.06",0.0181650532954201,0.517374301966545,0,0,0.00375924328122445,0.0480678842174091,0.0812478185903954,0.0145093591068627,0,0.0181650532954201,0.517374301966545,0,0,0.00375924328122445,0.0480678842174091,0.122271228581109,0.419654835834065,0,0.0768300235351336,0,0,0.163036937209506
"Test.FFPE.07",0.0174330840249788,0.277572953838358,0,0.0117760277799421,0.126361016353334,0.0428392722984782,0.211853718170982,0,0,0.0174330840249788,0.277572953838358,0,0.0117760277799421,0.126361016353334,0.0428392722984782,0,0.214748095988337,0.0949470309833466,0.271055701964584,0.33121711713338,0.0714224810106994,0.269588661223646
"IP.108b",0.0768478105051218,0.317385821519917,0.121782969040521,0.0307176008564563,0.0316689372891635,0.047546104509665,0.0660822375021995,0.200866385857516,0,0.0768478105051218,0.317385821519917,0.121782969040521,0.0307176008564563,0.0316689372891635,0.047546104509665,0.236254499075103,0.233490553643852,0.0821025166472547,0.0648386847559311,0,0.25307161249461,0.0721924948101116
"IP.115b",0.0649970117387205,0.318617132943836,0.0499890602972037,0.0147581636618473,0,0.0590087081438885,0,0.0573451769901518,0.0150854069125442,0.0649970117387205,0.318617132943836,0.0499890602972037,0.0147581636618473,0,0.0590087081438885,0.282931182099459,0.148354684036025,0,0.0912380387672843,0.284761407822573,0.0603556367831396,0.292394170531787
"IP.124b",0.0569613766100133,0.220717623131556,0,0,0.0717557024416485,0.0455329445496002,0.200958348011545,0.452785917835847,0,0.0569613766100133,0.220717623131556,0,0,0.0717557024416485,0.0455329445496002,0.626765759479564,0.157391002727535,0.0623872523990351,0.192307167068345,0.490321964376424,0.443964322999869,0.226446126273638
"IP.127",0.0758847985942958,0.249107903219277,0,0.00195316450019591,0,0.0579024750707027,0,0.129257732477062,0.147836139252938,0.0758847985942958,0.249107903219277,0,0.00195316450019591,0,0.0579024750707027,0,0.221562529013988,0,0.187010592710569,0.560926160064396,0.176175611324775,0.341305761061236
"IP.138b",0,0.287929107320426,0.0382151707718513,0.00905957138703032,0.0680771939584996,0.0249982417287827,0.0892031805175377,0.344823573190202,0,0,0.287929107320426,0.0382151707718513,0.00905957138703032,0.0680771939584996,0.0249982417287827,0.233824500201183,0.242924030372263,0.0418919490607303,0.0263308586794635,0.321022681207891,0.238642318980555,0.144116332333041
"IP.140b",0.00817136074651306,0.289808687788183,0.118342486630823,0.0125589242237456,0.0565871037916587,0.0480218912263502,0.0827079390138339,0.156157726824796,0,0.00817136074651306,0.289808687788183,0.118342486630823,0.0125589242237456,0.0565871037916587,0.0480218912263502,0.134651309273006,0.274525866666402,0.173141510455729,0.0879833834410377,0,0.0563191386486451,0.185565856334097
"IP.148",0.0498295376783685,0.364917055911554,0,0.00547106194801508,0.0966016785207584,0.0618896996700808,0.207798860960154,0.134977433818743,0,0.0498295376783685,0.364917055911554,0,0.00547106194801508,0.0966016785207584,0.0618896996700808,0,0.325774821845219,0.113182052293649,0.198066766949529,0.251862085426441,0.082032455831951,0.253462839867616
"IP.197",0.0956926271203136,0.213799663907951,0,0.0939561563775348,0,0.0628822615093612,0,0,0.192505960564335,0.0956926271203136,0.213799663907951,0,0.0939561563775348,0,0.0628822615093612,0.133357775435007,0.183110950832606,0.0194570925086341,0,0.191178294829552,0.0477773960949915,0.340769471988568
"IP.214",0.075592752955888,0.400076182084911,0.0300816930943835,0.0166142365714389,0,0.0710002788473379,0,0,0,0.075592752955888,0.400076182084911,0.0300816930943835,0.0166142365714389,0,0.0710002788473379,0,0.215689366562115,0,0.0380095769933174,0.296709884995481,0,0.220792244954751
"IP.28",0.0749912905960439,0.239246889539983,0,0,0,0.0811560910045416,0.0516240035451964,0,0.349164722870839,0.0749912905960439,0.239246889539983,0,0,0,0.0811560910045416,0.282824961940447,0.22521417504009,0.321623477429843,0.217303378476308,1,0,0.41963225115856
"IP.31b",0.062194193111871,0.16741820258403,0.026956877883564,0.017279718785381,0,0.0433525043557181,0.0713687501337293,0.255190181257794,0,0.062194193111871,0.16741820258403,0.026956877883564,0.017279718785381,0,0.0433525043557181,0.261945900791748,0.0788490227339499,0.0240570891086969,0.0612243872035056,0.534591423298254,0.328036021069597,0.15468979757429
"IP.36",0.0708201240827775,0.442521855494707,0,0,0,0.0567221542113507,0.104584245875525,0,0.14785485443817,0.0708201240827775,0.442521855494707,0,0,0,0.0567221542113507,0,0.368201515832819,0,0.141810647153895,0,0,0.276594759114015
"IP.38b",0.099524525883132,0.255434168751843,0,0.0199281437499425,0,0.0766413238116209,0,0,0.145832921292476,0.099524525883132,0.255434168751843,0,0.0199281437499425,0,0.0766413238116209,0.479249930786279,0.0449444552239745,0,0,0.773976558164237,0,0.357091760565312
"IP.52",0.0562388754416229,0.403549341025621,0,0.007025352513432,0.0602325610779969,0.0642345706307211,0.108640825218604,0.0454517396860043,0.0383146769977891,0.0562388754416229,0.403549341025621,0,0.007025352513432,0.0602325610779969,0.0642345706307211,0,0.334879760916789,0.0949623123585575,0.0820169301205761,0.141205501810222,0.0161902558664375,0.273527131078681
"IP.57",0.0727714366051207,0.137321400595665,0,0,0,0.0431019662318012,0,0.0804692334583936,0.0600259455946221,0.0727714366051207,0.137321400595665,0,0,0,0.0431019662318012,0.203549877910007,0.0828551298951157,0,0,0.375064885414027,0.0130639621027641,0.285372794684136
"IP.58b",0,0.252090409130261,0,0.00454880838557954,0.0572459814491212,0.0113039330301048,0.0161479243964917,0.0377032886079642,0,0,0.252090409130261,0,0.00454880838557954,0.0572459814491212,0.0113039330301048,0,0.147795880680316,0.0722858274907535,0.0174069249779094,0,0.0646251356529868,0.047134373321096
"IP.67b",0.0936570396618382,0.47086754216462,0.111891754536383,0.00272608587615018,0.0943740661599046,0.0919005190430353,0.22430264255064,0.0845129404014436,0.198465240682774,0.0936570396618382,0.47086754216462,0.111891754536383,0.00272608587615018,0.0943740661599046,0.0919005190430353,0,0.356726680280705,0.445284497492763,0.487644219639378,0.265539249175199,0.0130870030177146,0.324005143034284
"IP.73",0.0712753213318316,0.338869094453804,0.027490347047217,0.00917441307008498,0,0.0424353324381904,0,0.105773652190155,0.0320443132468059,0.0712753213318316,0.338869094453804,0.027490347047217,0.00917441307008498,0,0.0424353324381904,0.295222923918206,0.415221450819918,0.00786580766304578,0,0.801393658326803,0.154845420027157,0.265581458009842
"IP.82b",0.0489692051344085,0.471427290047534,0,0,0.18965031256135,0.0781606376811529,0.197398859521521,0.07406667282221,0,0.0489692051344085,0.471427290047534,0,0,0.18965031256135,0.0781606376811529,0,0.426450971417732,0.090126015651263,0.160824654914707,0,0,0
