"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"IP.140b",0.090996095626863,0.104992485373145,0.109751025091132,0.146955470399085,0.153410710588754,0.0927765725116844,0,0.208408407650242,0.1196697829897,0.270139763846096,0.181932011488582,0.123640145552755
"IP.148",0.0451458699952304,0.0843601968634841,0.0900506815161474,0.0923541623101176,0,0.0471632859697277,0.0119312267988299,0,0.0750667095371653,0.141851246106456,0,0.118879940021359
"IP.197",0.0308508852244198,0.124150111975994,0.12545436981938,0.124897684710776,0.00636583285808911,0.0481597128857712,0.0546775844240733,0.00922099839904119,0.0940432297313797,0.0854094493056848,0.0363000165994386,0.103596440645661
"IP.214",0.0804798163684037,0.113584488479888,0.114215235281219,0.125873097329852,0,0.0964944234053055,0.115575943900206,0,0.176474511142338,0.298885312086106,0.084515710833706,0.148048715644092
"IP.28",0.0285483625087307,0.113400318139578,0.114530403431545,0.11034947257902,0,0.0980239569731275,0.0847849921291608,0,0.17329917390484,0,0.0236855055846604,0.0735463867474081
"IP.31b",0.080536793109445,0.05468463353046,0.0630268776611065,0.0694642433860395,0.0407539568245447,0.154080302718955,0,0,0.167960613229362,0,0.117938476041438,0.14980207967728
"IP.36",0.0208053437995503,0.0983700575313176,0.102813978224196,0.0955735100262351,0,0.060301473514279,0.0372397449263933,0,0.0963565096913806,0,0.0189002506476224,0.12206126586477
"IP.38b",0.00834025090370079,0.135633262957091,0.140091342010373,0.144546169276807,0,0.0847407859702142,0.0892964836259889,0.0508995060034721,0.136495023843292,0,0.00968926960156605,0.0767953166967804
"IP.52",0.0687315937447808,0.0933819595855586,0.0978909223745013,0.137820675671428,0,0.10762494414618,0.00809476510786509,0,0.182454845492808,0.282543515428886,0.134335455901965,0.121690917806647
"IP.57",0.0174782690965436,0.0298755681773133,0.0372940005576322,0.0420715147761287,0,0.0388301054317538,0,0,0.0902926705154561,0,0.0183231781020321,0.0941268578654853
"IP.58b",0.0842438610252169,0.0869098494335007,0.0920381336188688,0.15027943711108,0.0937237732234138,0.0834347664344939,0.0494281637998341,0.255207280373847,0.11018507823223,0.279542658545152,0.158097383547564,0.0164140527809568
"IP.67b",0.030464321173682,0.130112173609114,0.13170303882272,0.132513109333559,0.0123753012007772,0.0824782115343691,0.0479192753018199,0,0.140154954733612,0,0,0.115618381353029
"IP.73",0,0.0983862759171408,0.106098461655951,0.115516392770811,0,0,0.0162335950108227,0,0.00491529361239062,0,0,0.0934357679314166
"IP.82b",0.0347214658330506,0.107198164437454,0.11022944796431,0.1437405050646,0.00134636806407093,0.0784627107134207,0.0555248627226546,0,0.101500037219327,0,0,0.234874092605448
