"","Epidish_CBSX.melanoma_Endothelial","DeconRNASeq_CBSX.melanoma_Endothelial","Epidish_CBSX.HNSCC_Endothelial","DeconRNASeq_CBSX.HNSCC_Endothelial","Epidish_melanoma_Endothelial","DeconRNASeq_melanoma_Endothelial","CBSX_scRNA.melanoma_Endothelial","CBSX_HNSCC_Endothelial"
"LUNG-NSCLC2-0641",0.0138930554816087,0.0908708299798548,0.0914861541770552,0.0999699047557849,0.0138930554816087,0.0908708299798548,0.0136818308098217,0.107965800281779
"LUNG-NSCLC2-0648",0.026468971811275,0.0910499837979906,0.230369998494764,0.154325180679198,0.026468971811275,0.0910499837979906,0.0130114270201576,0.260264976361859
"LUNG-NSCLC2-0652",0.0012887125334717,0.0832352105953484,0.133338987148183,0.166572196161622,0.0012887125334717,0.0832352105953484,0.00021859682774639,0.175563946854372
"LUNG-NSCLC2-0657",0.0202604450991215,0.0782876334027124,0.0988568158924672,0.145440130151865,0.0202604450991215,0.0782876334027124,0.0343468969945594,0.107700752441758
"LUNG-NSCLC2-0660",0,0.0870649613238424,0.104735144421052,0.120808312915338,0,0.0870649613238424,0.00028659557703818,0.143323891594303
"LUNG-NSCLC2-0678",0.000489175262216948,0.0975271159630996,0.0447184926883008,0.0702582327926908,0.000489175262216948,0.0975271159630996,0,0.0635401419114843
"LUNG-NSCLC2-0683",0.0017742550516784,0.0732955947206225,0.197897154035851,0.119774461550298,0.0017742550516784,0.0732955947206225,0.0057289323063074,0.216156041572495
"LUNG-NSCLC2-0685",0.0010853254757408,0.0825686265978866,0.118129231299111,0.105560080661466,0.0010853254757408,0.0825686265978866,0.0010922497156538,0.11062581671398
"LUNG-NSCLC2-0687",0.0085750393302717,0.115924945583228,0.0977980896031949,0.129816682190216,0.0085750393302717,0.115924945583228,0.0033406180173588,0.143019768039186
"LUNG-NSCLC2-0689",0,0.104415183407577,0.386601670864824,0.145507556825465,0,0.104415183407577,0,0.361885298043922
"LUNG-NSCLC2-0695",0.0452252043893235,0.179576115785485,0.331398558158481,0.17899526401951,0.0452252043893235,0.179576115785485,0.08570798735757,0.444532325481396
"LUNG-NSCLC2-0696",0,0.0825139133716899,0.118741597847436,0.112343562823041,0,0.0825139133716899,0,0.159289166407149
"LUNG-NSCLC2-0698",0,0.0741162302593639,0.118502354636154,0.132208975726275,0,0.0741162302593639,0.0024293755496759,0.118777610623551
"LUNG-NSCLC2-0704",0.0166961303166387,0.112779081136425,0.140646451394096,0.112856739958322,0.0166961303166387,0.112779081136425,0.0272796143019282,0.183018772059222
"LUNG-NSCLC2-0705",0.0324476576146741,0.0939124322636774,0.0675258821956465,0.101826898111009,0.0324476576146741,0.0939124322636774,0.0413390691775178,0.0805386458795162
"LUNG-NSCLC2-0707",0.0073601673234539,0.113306061653441,0.174682751684266,0.138157654961298,0.0073601673234539,0.113306061653441,0,0.182420044906126
"LUNG-NSCLC2-0709",0.0383558325738927,0.113375300567861,0.0738688868792279,0.11776522379346,0.0383558325738927,0.113375300567861,0.0807209600122818,0.126248402993588
"LUNG-NSCLC2-0712",0.0042101930158344,0.11900852182822,0.129178594366092,0.122855673349538,0.0042101930158344,0.11900852182822,0,0.171099584363893
"LUNG-NSCLC2-0714",0.0148206624498567,0.109464819250255,0.128712550820846,0.149418534185821,0.0148206624498567,0.109464819250255,0.0068442331212396,0.128281963500276
"LUNG-NSCLC2-0715",0.0117675358918763,0.0853325272252634,0.169167751604654,0.128051888694315,0.0117675358918763,0.0853325272252634,0.0105090422860704,0.20525735903131
"LUNG-NSCLC2-0718",0.0087970511694517,0.0633173102927909,0.0995762790747511,0.0808934795372128,0.0087970511694517,0.0633173102927909,0.0110360899202781,0.0872669046992233
"LUNG-NSCLC2-0720",0.002437356620381,0.107478238901387,0.128104904413377,0.149509080053932,0.002437356620381,0.107478238901387,0.0010913821549331,0.153471778471112
"LUNG-NSCLC2-0727",0.0354226031776651,0.0931942525561523,0.137765806311052,0.139040029955832,0.0354226031776651,0.0931942525561523,0.0529127463303724,0.169930464450273
"LUNG-NSCLC2-0728",0.0070604808587748,0.0783071772745854,0.181685288553163,0.166835982783404,0.0070604808587748,0.0783071772745854,0,0.201300300176999
"LUNG-NSCLC2-0729",0.0202874409559312,0.112612811384524,0.222816504197408,0.154884339660774,0.0202874409559312,0.112612811384524,0.0251431247648603,0.287803277049709
"LUNG-NSCLC2-0730",0.0145350572291546,0.101617642928108,0.128525109914393,0.0999574841048487,0.0145350572291546,0.101617642928108,0.0200289347939733,0.192624864882915
"LUNG-NSCLC2-0732",0.0127151564612155,0.102724551663202,0.095733427330578,0.120019458593585,0.0127151564612155,0.102724551663202,0.0201006426033046,0.113295563012493
"LUNG-NSCLC2-0734",0,0.0846674207608429,0.141702383989731,0.124756964319166,0,0.0846674207608429,0,0.159859519052762
"LUNG-NSCLC2-0736",0.0081693248165535,0.103421555960555,0.224396357787285,0.155314483483143,0.0081693248165535,0.103421555960555,0.0077280480166273,0.246791422251459
"LUNG-NSCLC2-0737",0.0403522924708747,0.101709714655203,0.162595669178976,0.136111133599123,0.0403522924708747,0.101709714655203,0.0583865853438231,0.193793012343195
"LUNG-NSCLC2-0740",0.014192672323533,0.134649739954202,0.0791979527906097,0.106809763227236,0.014192672323533,0.134649739954202,0.0054646770960338,0.162850616249379
"LUNG-NSCLC2-0742",0,0.0906390115008284,0.127666060265569,0.123382363388138,0,0.0906390115008284,0,0.10704936619757
"LUNG-NSCLC2-0743",0.0510798695013655,0.119290851837665,0.208953605557326,0.150810031094729,0.0510798695013655,0.119290851837665,0.0617129147740419,0.204477642036668
