"","DeconRNASeq_BPRNACan_M0","DeconRNASeq_BPRNACan3DProMet_M0","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"Patient167",0.135933817702287,0.129020116768007,0.126800497172042,0.222239353707449,0.0222137015998549,0.222239353707449,0.0222137015998549,0.118323454379653
"Patient168",0.196151060618947,0.201167663214153,0.207769959944545,0.6614284403004,0.140745724511822,0.6614284403004,0.140745724511822,0.533229119085968
"Patient169",0.0263718002647047,0.0328332626042298,0.0455655606745145,0,0,0,0,0
"Patient170",0.112873322538064,0.119406480071566,0.127208555935211,0.0746002324941523,0.142379094481126,0.0746002324941523,0.142379094481126,0.0713737124668822
"Patient172",0.0528748061539267,0.0642440163739721,0.0692429218496266,0,0,0,0,0
"Patient173",0.0891829858771878,0.0991660318482299,0.106430648077067,0.197393031471046,0.029159148387863,0.197393031471046,0.029159148387863,0.219844227891173
"Patient179",0.0190768461767691,0.023684581688741,0.0368521279507862,0.0376550636879904,0.0728275425729887,0.0376550636879904,0.0728275425729887,0.0125131690735452
"Patient17",0.161586192958068,0.163829604078852,0.168240126899627,0.208781732486855,0.0429125696552905,0.208781732486855,0.0429125696552905,0.189056150024352
"Patient181",0,0,0.00441520462297675,0.0045584804797996,0.0365148382111381,0.0045584804797996,0.0365148382111381,0.0620309963598614
"Patient183",0.244883330248327,0.246095199103209,0.242118319790373,0,0.0351804118047402,0,0.0351804118047402,0
"Patient184",0.0301934353587552,0.0326352488889787,0.0391280233552815,0.587246446705112,0.370124146557879,0.587246446705112,0.370124146557879,0.547366581268168
"Patient185",0.101432157520951,0.103983107800079,0.102722598572101,0.195441356650193,0.113662960084082,0.195441356650193,0.113662960084082,0.169482903506086
"Patient187",0.243698217119313,0.234500072864742,0.231959687513861,0.0204447587825813,0.0437852951778395,0.0204447587825813,0.0437852951778395,0
"Patient188",0,0,0.0115890020413103,0.0563625705875477,0.0342751479125077,0.0563625705875477,0.0342751479125077,0.0778874041981662
"Patient18",0.176527788270311,0.179170305832004,0.173848070793443,0.0530700401372625,0.121851602484042,0.0530700401372625,0.121851602484042,0.0503362575794909
"Patient1",0.0210561910107875,0.0259764631431129,0.030913610370579,0.018473154420101,0.0426811451753176,0.018473154420101,0.0426811451753176,0
"Patient20",0,0,0,0,0,0,0,0
"Patient21",0.0308593422912101,0.0358913767288511,0.048099027460755,0.239221393125182,0.115418089672819,0.239221393125182,0.115418089672819,0.210295002112426
"Patient22",0.0614220709124689,0.0714313071015346,0.0834271315800125,0.0275670789583942,0.106458884521251,0.0275670789583942,0.106458884521251,0.0534342638835262
"Patient23",0,0,0,0.681012053333859,0.169332449810182,0.681012053333859,0.169332449810182,0.581743998409535
"Patient24",0.14459326073051,0.144599476734272,0.151546548859864,0.136418302923356,0.258859374515472,0.136418302923356,0.258859374515472,0.115498297773862
"Patient25",0.065258409833175,0.0784979396212956,0.0812271938544879,0.0252344485877792,0.0668967900818483,0.0252344485877792,0.0668967900818483,0.001999427576815
"Patient27",0.18589767003488,0.19045217087517,0.192121325044219,0.0245065091089968,0.0411338326591065,0.0245065091089968,0.0411338326591065,0.00499202796417489
"Patient30",0,0,0,0,0,0,0,0
"Patient31",0.0477364742428311,0.0558288859969344,0.0613074610326589,0.0530386499425876,0.0779609785083606,0.0530386499425876,0.0779609785083606,0
"Patient32",0.0433625183526919,0.0480032677354073,0.0592525567316948,0.1683762903433,0.0740938630670162,0.1683762903433,0.0740938630670162,0.205565540916353
"Patient33",0.0821002511414073,0.0865557878568313,0.0939195060605337,0.13931018401123,0.0410277566216113,0.13931018401123,0.0410277566216113,0.118284421136155
"Patient34",0.0333828181518473,0.0394012032452472,0.0411909208664448,0,0.0562966114132529,0,0.0562966114132529,0.00371411082375707
"Patient35",0.0687182872903002,0.0712027347807133,0.0703222026989148,0.112423145598458,0.106870594849788,0.112423145598458,0.106870594849788,0.105293666224409
"Patient36",0.225862877907328,0.233641186714254,0.233261683451803,0.0730925563344064,0.0922401454584793,0.0730925563344064,0.0922401454584793,0.0836941987725213
"Patient37",0.0370840423130415,0.052213350300863,0.0659040808325298,0.0704263871321332,0.035836562604917,0.0704263871321332,0.035836562604917,0.069725015427791
"Patient38",0.198066334833535,0.206180016322127,0.209198751901318,0.0871275090646549,0.0739283806148559,0.0871275090646549,0.0739283806148559,0.103461547886465
"Patient40",0.0782454877740029,0.0842792374817323,0.107400382225908,0.093200614905735,0.0563181177147335,0.093200614905735,0.0563181177147335,0.0762240968047098
"Patient42",0.0273818047405246,0.0300640666056885,0.0424277672721902,0.343548142928233,0.0851837080940048,0.343548142928233,0.0851837080940048,0.313154190580989
"Patient44",0.15469180758758,0.156655455207025,0.157928524226583,0.123584189263028,0.0521142241169862,0.123584189263028,0.0521142241169862,0.127105926869765
"Patient45",0.115272092726337,0.113524622392116,0.116396233988263,0.168395935488366,0.0653871993694559,0.168395935488366,0.0653871993694559,0.236945489223569
"Patient47",0.00639988579746961,0.00485113928462964,0.0106292135186029,0,0.0661756201069109,0,0.0661756201069109,0
"Patient48",0.0199423427071634,0.02955758889628,0.0506682540661646,0.0133302408901319,0.0604497781727891,0.0133302408901319,0.0604497781727891,0.00655786153430279
"Patient4",0.080017654642989,0.0862431475070669,0.101966496095451,0.0865077487171527,0.0999520127547575,0.0865077487171527,0.0999520127547575,0.0652067783995672
"Patient51",0.0325295322698209,0.0436527099849893,0.0552416082957762,0.0150808683709455,0.046088796323691,0.0150808683709455,0.046088796323691,0.0180974737336874
"Patient58",0.13266213065958,0.127184685837297,0.13750338679029,0.071797960334949,0.10878360834213,0.071797960334949,0.10878360834213,0.0217325999722759
"Patient61",0.0738235203282245,0.0715863895446064,0.0570080065154142,0.0289938090686088,0.0963727360063378,0.0289938090686088,0.0963727360063378,0.0732976938803227
"Patient62",0,0,0.00775929364642132,0.208986889461947,0.151890909163961,0.208986889461947,0.151890909163961,0.20084276350682
"Patient63",0.0242708000715999,0.0186485065534737,0.0575090401964983,0.0536107120724387,0.116355238741307,0.0536107120724387,0.116355238741307,0.0675320195786606
"Patient67",0.0390685368101252,0.0452053253817379,0.0878283069865899,0.12840119745039,0.0572355118762904,0.12840119745039,0.0572355118762904,0.0668655151650247
"Patient6",0.0192793690404867,0.0286564790383005,0.0365189232270224,0.198689454882845,0.0916382132516391,0.198689454882845,0.0916382132516391,0.19049828522553
"Patient72",0.0849394036914929,0.0921460174751115,0.0965390998773,0.0927158995855362,0.0957088326128384,0.0927158995855362,0.0957088326128384,0.0728350358601235
"Patient73",0,0,0,0.0432690105186056,0.0889718497827964,0.0432690105186056,0.0889718497827964,0.0241946257193692
"Patient75",0.00788881857083619,0.0151080739171451,0.0206562098112218,0,0.0377334732046736,0,0.0377334732046736,0.0372866680525928
"Patient77",0.0643737440864111,0.0760547944709673,0.0862560126745523,0,0,0,0,0
"Patient78",0.0180726408704525,0.0314124986032342,0.0486521971316904,0.285490618983763,0.0747526680701249,0.285490618983763,0.0747526680701249,0.263564843857066
"Patient79",0.135884333045937,0.144045922541699,0.143129636975154,0.0514448789272889,0,0.0514448789272889,0,0.062297356899993
"Patient7",0,0.00654476884092547,0.0128735906218657,0.0150689010939934,0.0370955673004485,0.0150689010939934,0.0370955673004485,0.00886301058594788
"Patient82",0,0,0,0.0897782011063183,0.0822957001013326,0.0897782011063183,0.0822957001013326,0.130571568252785
"Patient83",0.292164562313506,0.294823752961916,0.293075305044873,0.0538798574691161,0.129387609401461,0.0538798574691161,0.129387609401461,0.095216832924478
"Patient86",0.0364913798375545,0.0447430322898738,0.0558245476798867,0.0510346164037891,0.0362778677619131,0.0510346164037891,0.0362778677619131,0.0438315246964348
"Patient87",0.140310528010612,0.142501314235721,0.141047401223758,0.0367668087513701,0.0378060218719985,0.0367668087513701,0.0378060218719985,0.0550279886624589
"Patient8",0.258968949791318,0.266139021874626,0.266873153077859,0.0504494896011757,0.109087024234351,0.0504494896011757,0.109087024234351,0.0554805609783903
"Patient94",0.062042988214881,0.0675569816543325,0.0784164237826962,0.134439051877616,0.121322784371969,0.134439051877616,0.121322784371969,0.185024833518555
"Patient96",0.0263524347981772,0.0316885577890896,0.0302692833437377,0.0986409890049571,0.14398826957032,0.0986409890049571,0.14398826957032,0.0910222180287814
"Patient98",0.191097331022799,0.198203412643648,0.198392032698338,0.0318228754746839,0.0341330327964621,0.0318228754746839,0.0341330327964621,0.0519943420457409
"Patient99",0.165730660835796,0.172790810755492,0.166429293126754,0.417608290761701,0.0927583947851609,0.417608290761701,0.0927583947851609,0.223644611215569
"Patient9",0,0,0.00520239796656243,0,0.0700493537784172,0,0.0700493537784172,0
"Patient56",0.0782680787174127,0.0918343024772877,0.0994539394693129,0.0590041773902338,0.049887675194746,0.0590041773902338,0.049887675194746,0.0310585958400578
"Patient191",0.0543572902138928,0.0651760408016073,0.0671708958803154,0.143342271528703,0.0373984385530624,0.143342271528703,0.0373984385530624,0.119271894984333
"Patient189",0.0131826701938774,0.0259343501203677,0.0369978645503385,0.00423715023615267,0.0188378457047679,0.00423715023615267,0.0188378457047679,0.00427359844596246
"Patient200",0.0601494116789762,0.0699540318787742,0.0793656804325112,0.0834152926291429,0.0596790114750802,0.0834152926291429,0.0596790114750802,0.083819727081839
"Patient201",0.123331485957502,0.128672264242491,0.13371611333129,0.108000858318865,0.116051529576026,0.108000858318865,0.116051529576026,0.1467955399032
"Patient203",0.0538697126285875,0.0652321250150311,0.0708166788589042,0,0.0210936727112992,0,0.0210936727112992,0
"Patient193",0.0193506495778418,0.0223507982173403,0.0279534268874701,0.0133480093727656,0.0285818784955493,0.0133480093727656,0.0285818784955493,0
"Patient195",0.0286978413948468,0.041206799834368,0.0524675771804865,0.0925561897298943,0.0503122863470128,0.0925561897298943,0.0503122863470128,0.0610561247366333
"Patient196",0.0431847878058414,0.0463297619071461,0.0416321412374193,0.349846006656492,0.120328164967827,0.349846006656492,0.120328164967827,0.372786324990069
"Patient197",0.0719933478025122,0.066560903829304,0.071521903406202,0.425416725071257,0.131692197174634,0.425416725071257,0.131692197174634,0.348614151552527
"Patient204",0.0805707721767551,0.0861077578190384,0.0887628744229231,0.0564206542092959,0.0573136925190795,0.0564206542092959,0.0573136925190795,0.101018163453062
"Patient205",0.0374304214951207,0.0498437647428307,0.0571457034273444,0.0032372777712501,0.0275192035786577,0.0032372777712501,0.0275192035786577,0
"Patient206",0.0639882533953987,0.076600615040034,0.083963021693256,0,0,0,0,0
