"","Quantiseq_B_cell","MCP_B_lineage","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__HNSCC__B_cells","CBSX__CD226__B"
"Gide_PD1_19_Pre",0.0147747879704427,1.70549532125005,0.00485505690268488,0.123325515930376,0.0195623650315841,0.0699913324031242,0.0268211905404239,0.0710163883427382,0.811703485703793,0.340789774117935,0,0.0101767168523397,0,0.0822972997185292,0.0363925867764194,0.811703485703793,0.340789774117935,0,0.0101767168523397,0.118013244342945,0.781009423563331,0,0.165111893080475
"Gide_PD1_2_Pre",0.0286369448569581,2.66507899572877,0.0146328175900037,0.0892825081660522,0.0303937466028914,0.0209388320701099,0.0305772965476289,0.0260353035805301,0.928746204557318,0.351526464086515,0,0.0282312186692511,0,0.0978735483067258,0.136344281217044,0.928746204557318,0.351526464086515,0,0.0282312186692511,0.122210580768422,0.789368495056248,0,0.130387178439567
"Gide_PD1_21_Pre",0.0249246902402635,2.13970020759646,0.0104896163771693,0.124832533391206,0.027205555461643,0.0648559901217912,0.0376880251705332,0.066467878810208,0.905332364133872,0.357727685572115,0,0.0142450457314607,0,0.0758657710589157,0.141685769813201,0.905332364133872,0.357727685572115,0,0.0142450457314607,0.14578355808224,0.835849742755489,0,0.178771490719394
"Gide_PD1_23_Pre",0.0186560531828339,3.36012398101833,0.0124060070348548,0.104585213405874,0.0197766281973585,0.0479941079910334,0.0206134714079289,0.0485723143102709,0.850703579305031,0.359134094067151,0,0.03504416528697,0.00442316701625304,0.0615033631573421,0.10470504945717,0.850703579305031,0.359134094067151,0,0.03504416528697,0.0948298925253902,0.855881589115471,0,0.185265828100543
"Gide_PD1_25_Post",0.0244186342438319,1.64417938985854,0.00940576859736739,0.127676301351578,0.0254793415110669,0.0723294694321857,0.0239637800107966,0.0717318985037968,0.461210759415114,0.392518913814353,0,0.041510356395874,0,0.0494459716513116,0.142563700856126,0.461210759415114,0.392518913814353,0,0.041510356395874,0.0673157661972151,0.48825345461311,0,0.163247409654045
"Gide_PD1_25_Pre",0.0289023798918632,1.56797781347775,0.0107268923829714,0.114122283221233,0.0195831993181438,0.0553191206858017,0.0321480567121894,0.05710321485463,0.851362132572442,0.367186179663453,0,0.0433854109513183,0,0.0838693028357692,0.227281252870367,0.851362132572442,0.367186179663453,0,0.0433854109513183,0.110105136525776,0.693642480399874,0,0.173253939675721
"Gide_PD1_27_Pre",0.0875956126575688,2.81049808823929,0.0392994656498223,0.124870853399727,0.0723538093676788,0.075925888995966,0.105916727073192,0.0837624628490624,0.340008731536523,0.330772930951036,0.113897458583902,0.0737120169472543,0.143072144235023,0.121980157363092,0.00914747075617726,0.340008731536523,0.330772930951036,0.113897458583902,0.0737120169472543,0.235626917358231,0.599703154449589,0.416780574432094,0.186497545078103
"Gide_PD1_29_Post",0.0281018863431689,0.605470670646694,0.0161102152547447,0.121468152774321,0.0375129339459287,0.0750209264458104,0.0555122176739761,0.0736602876443982,0.58831717134081,0.330028452679938,0,0.053963591416916,0.140037691329546,0.0760977133213611,0.000568368522070718,0.58831717134081,0.330028452679938,0,0.053963591416916,0.113904780862449,0.59012634910018,0.216229817103113,0.148803662769088
"Gide_PD1_29_Pre",0.0293110112948981,0.65258664040997,0.00333276718792829,0.119012273692765,0.0207904451154068,0.0649323705569048,0.0387403924932336,0.0670796513884216,0.327906795122552,0.326773738325709,0.00173556016662403,0.0566116577072509,0.104532680445496,0.0816000814466369,0,0.327906795122552,0.326773738325709,0.00173556016662403,0.0566116577072509,0.13731508626665,0,0.162159218770046,0.164805920644782
"Gide_PD1_3_Pre",0.0364910608223187,1.01756724536502,0.00342671413974375,0.134038598105293,0.0148984088713547,0.0741600000382546,0.0242541295666112,0.074916981199144,0.749770073127641,0.340970464334154,0.0078946517585922,0.0460013468868406,0,0.0961790621668336,0.134719642053657,0.749770073127641,0.340970464334154,0.0078946517585922,0.0460013468868406,0.127010267894628,0.446213006845485,0,0.208115358054414
"Gide_PD1_30_Pre",0.0151531556980314,0.755450786872833,0.00150044042484038,0.109799105338306,0.0102175623887254,0.048045423674032,0.0149375649640637,0.0458295563303221,0.803258973072959,0.364362316306739,0.00652180891848078,0.0598622082664249,0,0.0698774878412169,0.0506711915508967,0.803258973072959,0.364362316306739,0.00652180891848078,0.0598622082664249,0.108682348507069,0.759864164272389,0,0.255731652046967
"Gide_PD1_34_Pre",0.0783812083829795,36.285042860879,0.0828334510311704,0.111204238631874,0.117316759631317,0.0681258020660675,0.126929125914595,0.0743220681654279,0.9650105481628,0.384771425273273,0,0.0253329529492476,0.188716463544627,0.109779855122925,0.386787052162896,0.9650105481628,0.384771425273273,0,0.0253329529492476,0.156405082749359,0.867713575956829,0.257404660679557,0.178570454732143
"Gide_PD1_35_Pre",0.0530404942569356,22.825542349212,0.0662740887036905,0.136345292586859,0.112918896782044,0.0826546395898891,0.132364489164814,0.0816766390787432,0.825009758468946,0.390720003823275,0.152048978068397,0.0761144173770246,0,0.088442644502307,0.276592234524724,0.825009758468946,0.390720003823275,0.152048978068397,0.0761144173770246,0.112514186057634,0.664919057858481,0,0.169726125877149
"Gide_PD1_36_Pre",0.0270101359794242,9.34439674505871,0.0318334565651066,0.122785262691128,0.0487256723715923,0.0612438548812743,0.0539152444279263,0.0590500125008003,0.910848041224246,0.347805714802715,0,0.0330807385642662,0.0116121795806694,0.11808994470768,0.135648233842993,0.910848041224246,0.347805714802715,0,0.0330807385642662,0.156122500673949,0.834860497531299,0.0310694423222814,0.150934017958916
"Gide_PD1_38_Pre",0.0431187438763888,2.39181391401193,0.00860312429734804,0.110720523712976,0.0296679625565427,0.0626886997364939,0.0339436024845816,0.0618136121632463,0.72557237647409,0.492744281646577,0.0139058166915014,0.0491199615777136,0,0.0884514516350019,0.187305719632613,0.72557237647409,0.492744281646577,0.0139058166915014,0.0491199615777136,0.108940461181992,0.668196138205888,0,0.173433263774172
"Gide_PD1_4_Pre",0.0264023494525135,7.91927265442485,0.0232063739524484,0.128216701115781,0.0385525449951507,0.0807520325048163,0.0336339087870648,0.0779848870273585,0.764324754005817,0.437120591005033,0,0.0386473243053006,0,0.06071450849344,0.182722669908262,0.764324754005817,0.437120591005033,0,0.0386473243053006,0.0833026806513151,0.738207277512311,0,0.135226663959876
"Gide_PD1_40_Pre",0.123601786254752,44.0645324994585,0.0955604982446257,0.0927157518089067,0.109044056758529,0.0312584248864713,0.12625186008023,0.0402793948209869,0.903799466364251,0.383611084668634,0,0.00219565813865621,0.00934055695721106,0.136513920791607,0.196507734767114,0.903799466364251,0.383611084668634,0,0.00219565813865621,0.170095826001655,0.838129791194508,0.0484730338789022,0.135909148812875
"Gide_PD1_41_Post",0.0280936488873727,5.5776693372226,0.0172492419222801,0.115966514686273,0.0296107485208286,0.0646823331810522,0.0325618563649903,0.0642263727691212,0.706720928507009,0.393265469518994,0,0.0529756442490327,0,0.0683587235523644,0.138939361397941,0.706720928507009,0.393265469518994,0,0.0529756442490327,0.0914465440932442,0.44758968458549,0,0.164096132865188
"Gide_PD1_41_Pre",0.0246490833649167,2.82406110497177,0.00877845090489699,0.120452246750528,0.0195758846516595,0.0655559698378201,0.0217492435699049,0.0632256309906239,0.859532044875785,0.356257247384194,0,0.0402143642399987,0.0486549646569937,0.0793602363468691,0.215021205815011,0.859532044875785,0.356257247384194,0,0.0402143642399987,0.126739737725243,0.778935054724105,0.0173168606356029,0.214268367224408
"Gide_PD1_42_Pre",0.035336432726662,8.89831610719763,0.0259930915467155,0.146199594450888,0.0441464510607368,0.0860861534002695,0.056262843067101,0.0808459687752278,0.718441371691386,0.344528995209194,0.0131695177811713,0.0619219398601273,0,0.0854689436126468,0.250917436255355,0.718441371691386,0.344528995209194,0.0131695177811713,0.0619219398601273,0.126767900660606,0.608355224105195,0,0.220891090607762
"Gide_PD1_44_Pre",0.152281920240064,133.318305980679,0.193607141072729,0.150529904568611,0.194396051334484,0.109978405231716,0.197001440114803,0.119904854176383,0.788943078755369,0.419799791680405,0.072706927753808,0.0517480029982785,0,0.174783376901853,0.349939347305927,0.788943078755369,0.419799791680405,0.072706927753808,0.0517480029982785,0.213294651761715,0.697621815871919,0,0.15286256720482
"Gide_PD1_45_Pre",0.0491420895753472,12.8701990771372,0.0482280289142239,0.138067884656428,0.0816809207092857,0.102813468751953,0.0916762939552954,0.09857796434517,0.75712847307928,0.380127432833875,0,0,0,0.0909325826927256,0.11552594736302,0.75712847307928,0.380127432833875,0,0,0.106631803928157,0.436118031989759,0,0.157185158236431
"Gide_PD1_46_Pre",0.0287489004757954,5.40655567139248,0.0170655359866203,0.108658289266815,0.0364620217053603,0.0660320959663721,0.0498914240694786,0.0727707886726478,0.836115911758205,0.384427612432671,0,0.0326848691160102,0,0.0729910655637368,0.203792283370343,0.836115911758205,0.384427612432671,0,0.0326848691160102,0.0974080075393433,0.705247033184504,0,0.149686781872008
"Gide_PD1_47_Post",0.0346334775878744,4.38647841089692,0.0168098684291108,0.128303495842178,0.0371917389523286,0.0887780931546915,0.0425091896091767,0.0885145914938827,0.840860611166942,0.374588951064743,0,0,0,0.0718730100189696,0.175331001609172,0.840860611166942,0.374588951064743,0,0,0.103360436853757,0.605628371084056,0,0.133455387144619
"Gide_PD1_47_Pre",0.0381873697304383,4.80600688322169,0.0113671926827714,0.124505705096328,0.0260286510859833,0.0794354137963618,0.0291637229338897,0.0777431264708843,0.816619132604923,0.433224364358538,0,0,0,0.0858150381823851,0.0943560128391303,0.816619132604923,0.433224364358538,0,0,0.111109434372933,0.744089159665733,0,0.0930268350999033
"Gide_PD1_48_Post",0.077009718526608,48.4431727381692,0.125193753164687,0.126686109021033,0.158288870552809,0.08138898576131,0.157330273491687,0.0860504967206425,0.595210856887028,0.460968355369705,0,0,0,0.0765876757740163,0.127001686174551,0.595210856887028,0.460968355369705,0,0,0.0812778226458579,0.571431188945549,0,0.135881746281887
"Gide_PD1_48_Pre",0.0856869542308029,52.9885830811245,0.12494917772012,0.128160583946362,0.199519202874388,0.0982683429166335,0.190205533203617,0.0963490439234909,0.847868070301934,0.429305574258044,0.0851207836419197,0.0444229899465347,0,0.1104500622687,0.437005612010237,0.847868070301934,0.429305574258044,0.0851207836419197,0.0444229899465347,0.140114068084608,0.735456398995503,0.0474382513744502,0.193480780623519
"Gide_PD1_49_Pre",0.0130461813610375,1.80310553697603,0.00819165188938101,0.110152345663916,0.0192455189534456,0.0540658516124625,0.0297343489768002,0.0568518318720916,0.865150909913742,0.357663569666769,0,0.0289326886600517,0.0349715318760016,0.0607717814227782,0.167067258326835,0.865150909913742,0.357663569666769,0,0.0289326886600517,0.0974486777674158,0.669631271477316,0,0.15553960439733
"Gide_PD1_5_Pre",0.0290165882090376,1.79717638224537,0.00494535143677769,0.103217867497551,0.0189579425048257,0.0494147584737008,0.0246755841548009,0.084585001791684,0.723227343563657,0.342825522122766,0.00256156211678472,0.0586811521919847,0.141844612581871,0.096649354173274,0.0308144573238721,0.723227343563657,0.342825522122766,0.00256156211678472,0.0586811521919847,0.148399455178146,0.805792148913324,0.168519995886212,0.114714125489646
"Gide_PD1_50_Pre",0.0254372497384594,1.75629563806458,0.00713537609016617,0.101504694993291,0.0156614927180251,0.0418500559243323,0.0342008969324983,0.0436794084544204,0.846584363600307,0.409155822122774,0.103854574473841,0.0654037747795526,0.0131140009345684,0.0862235663167457,0.260256744738086,0.846584363600307,0.409155822122774,0.103854574473841,0.0654037747795526,0.107405612301992,0.716953276241342,0,0.180061304545786
"Gide_PD1_52_Pre",0.0229909231843176,7.24418994512718,0.0265216892088633,0.106424771181683,0.046794545389059,0.0658163894458841,0.0634484067151896,0.0768357727097476,0.849306060302441,0.364307840986573,0,0.00486059547640654,0.0604182202127699,0.0634026413988025,0.123340653756844,0.849306060302441,0.364307840986573,0,0.00486059547640654,0.109795169093613,0.771303375737769,0.0631285092718332,0.159058974447345
"Gide_PD1_53_Pre",0.0863122720167346,105.215569924653,0.260286281771583,0.134707480237593,0.301497833045025,0.0933365354567586,0.317488057932261,0.0964248526613661,0.572794426224912,0.354669319325334,0.18575803201337,0.0858398834231217,0.0886765212261978,0.158879047839446,0.379411520278109,0.572794426224912,0.354669319325334,0.18575803201337,0.0858398834231217,0.181229790140383,0.533675669045827,0.0559483189670838,0.216997552087807
"Gide_PD1_54_Pre",0.0156753989811215,7.3901799960319,0.0274215631020766,0.100900908146141,0.055599880760468,0.0626132144781223,0.0808510754470718,0.0662961914669522,0.799053671672232,0.383493803422528,0,0.0244441564865724,0.321272379297409,0.0884990618548012,0.278772231764643,0.799053671672232,0.383493803422528,0,0.0244441564865724,0.123365405894365,0.633930423040931,0.290758120357815,0.154213298269274
"Gide_PD1_6_Pre",0.257097966904437,177.784861393795,0.300698148824293,0.194796237485292,0.281994538699072,0.165342198615174,0.285664484509084,0.16899499690825,0.588306742873892,0.388333761939016,0.0967479782435894,0.0494089388179687,0,0.259964201201834,0.428969052443809,0.588306742873892,0.388333761939016,0.0967479782435894,0.0494089388179687,0.352829737183526,0.603029170593618,0.0128594735646225,0.212797418487278
"Gide_PD1_7_Pre",0.0453336486981039,2.64826347081873,0.00934957735342533,0.109959624685859,0.0185188320662103,0.0611337825742324,0.0241818166986975,0.0613528611570317,0.789723603328749,0.464448021074671,0,0,0.010445225910215,0.0809257505430406,0.208904361655632,0.789723603328749,0.464448021074671,0,0,0.130491672399193,0.619280543558529,0,0.155766573507406
"Gide_PD1_8_Post",0.0343425417130757,2.91659144068973,0.00165886065928533,0.080392043186847,0.0180848267462514,0.0137429827299744,0.0237197349599424,0.0256110927130444,0.804269257471547,0.335710667429355,0,0.0232035900073973,0.00447109065120944,0.0697141797559858,0,0.804269257471547,0.335710667429355,0,0.0232035900073973,0.116964999693688,0.7971457169705,0,0.174889932628787
"Gide_PD1_8_Pre",0.0382987496982657,3.21249961783638,0.00330557115188037,0.100474258965348,0.0203388795091096,0.0390329222879091,0.0286457482985883,0.0457536259322637,0.435891656085646,0.329821442142334,0.00112255099532938,0.0427376536156598,0.0299729992785451,0.0916872920928444,0,0.435891656085646,0.329821442142334,0.00112255099532938,0.0427376536156598,0.149533725104512,0,0,0.174682892881959
"Gide_PD1_9_Pre",0.111782917091976,68.3134499641668,0.130794584305958,0.120659758396412,0.117421802618961,0.0603224346351301,0.147298933497218,0.0643271694211482,0.840809948375494,0.363887920403149,0.0089187692415506,0.0498719861244563,0,0.162951168603922,0.198717430547152,0.840809948375494,0.363887920403149,0.0089187692415506,0.0498719861244563,0.198884227880944,0.814284799476265,0,0.195937850841631
