"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"J14_p2_rep1_auto",0,0,0.0021119207839953,0
"J14_p2_rep2_auto",0,0,0.0026450490331493,0
"J1_p3_rep1_auto",0,0.039111260627444,0.003822348011846,0
"J1_p3_rep2_auto",0,0.0416764396595117,0.0046400612688592,0.00011978126884562
"J4_p3_rep1_auto",0,0.0349929016734921,0.0042316625385332,0
"J4_p3_rep2_auto",0,0.0375214035448855,0.0050687573707533,0.00033039238349873
"J8_p3_rep1_auto",0,0.0340842693410947,0,0
"J8_p3_rep2_auto",0,0.0372044620901221,0,0
"J11_p3_rep1_auto",0,0.0312436812821019,0,0
"J11_p3_rep2_auto",0,0.0247951008183694,0,0
"J14_p3_rep1_auto",0,0.0310748907833085,0,0
"J14_p3_rep2_auto",0,0.0231095118963671,0.00086852177112523,0
