"","Epidish_CBSX_LM22_Dendritic.cells.activated","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.activated","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","Epidish_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.activated","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"R3388_YZ_13",0.0956414066738944,0.0316806426066982,0.235847191770729,0.133314777301453,0.094692047775867,0,0.0956414066738944,0.0316806426066982,0.235847191770729,0,0.0413125544636951,0.148733651343079,0.138663920515268,0.127445774349381,0
"R3388_YZ_14",0.0113585444733646,0.0490055799911583,0.0843760273896886,0.173513143816305,0.091942756228181,0.167528995816446,0.0113585444733646,0.0490055799911583,0.0843760273896886,0.30383456655847,0,0.0206369390222769,0.213777391863067,0.222016676266259,0.0830948167104507
"R3388_YZ_15",0.0499906145256682,0.0666938958323298,0.0558619077729674,0.0124085654477385,0.0764546092272178,0,0.0499906145256682,0.0666938958323298,0.0558619077729674,0,0.0117932923069318,0.0488531944717318,0,0,0
"R3388_YZ_16",0.0162343140405701,0.0436475850151894,0.106089892752255,0.085969236790605,0.0945195358965095,0,0.0162343140405701,0.0436475850151894,0.106089892752255,0,0.0593089340396459,0.00757904556386012,0.136255531340453,0.216126038294613,0
"R3388_YZ_17",0.0405103851538366,0.0114639285287313,0.162880241107576,0.119530995475124,0.0835108351338496,0.062998805049362,0.0405103851538366,0.0114639285287313,0.162880241107576,0.0242480193731581,0,0.055595384312295,0.163227597914662,0.0769597676644443,0.0949233040516777
"R3388_YZ_19",0,0.023378840452106,0.028825689418046,0,0.0680964628743834,0.0508827983190492,0,0.023378840452106,0.028825689418046,0.00542772711546195,0.0126969279368754,0.00475392311611554,0,0,0.0570465381110459
"R3388_YZ_20",0.0198810615143517,0.0459833427585655,0.0836217633962313,0.0232707278279859,0.0761501356328549,0,0.0198810615143517,0.0459833427585655,0.0836217633962313,0.00412794605803517,0,9.998166912591e-05,0.0618419276383326,0,0.0938021880632754
"R3388_YZ_21",0.00400234333105606,0.0487109885400743,0.104587789296792,0.0559924517066636,0.0737130653349847,0.00145920020744949,0.00400234333105606,0.0487109885400743,0.104587789296792,0,0,0.00874857851630885,0.0556435046269496,0,0
"R3388_YZ_23",0.0357228509598555,0.0554660608863044,0.057847208767292,0,0.0800597744966802,0,0.0357228509598555,0.0554660608863044,0.057847208767292,0,0,0.0251712293081966,0.0167621756761836,0,0
"R3388_YZ_24",0,0.0972224901642239,0.0705442889967198,0.0692389685229129,0.0849232230654936,0,0,0.0972224901642239,0.0705442889967198,0,0.0558182642692514,0,0.101223758241822,0.0721909161282952,0
"R3388_YZ_25",0.00629969673017475,0.0181370521913987,0.0922848169155728,0.102482248074372,0.0785144383662408,0,0.00629969673017475,0.0181370521913987,0.0922848169155728,0,0,0,0.0573766409956875,0,0
"R3388_YZ_26",0.00384215041770284,0.11824028231113,0.0590522091267878,0.107466389064226,0.0834785211051104,0.0583315640662814,0.00384215041770284,0.11824028231113,0.0590522091267878,0.224909119966433,0.037451240856699,0.01066210461696,0.163263273333944,0.00573253967567909,0
"R3388_YZ_27",0.0280763683984042,0.0872236079086504,0.159867016944206,0.0926886859793311,0.0869621719835858,0,0.0280763683984042,0.0872236079086504,0.159867016944206,0,0.0484013738851682,0.0159250862976388,0.0693721346849379,0.21923803232499,0
"R3388_YZ_28",0,0.0550350237764057,0.0275838914486396,0.0601122146916146,0.0775559076142395,0.0618788405942509,0,0.0550350237764057,0.0275838914486396,0.127901625038212,0,0,0.103884178269059,0.173975059136694,0.0182983003127284
"R3388_YZ_29",0.0163504487467525,0.0574027926027952,0.0726698037251606,0.0921180603416914,0.082671060525251,0.000372433518685448,0.0163504487467525,0.0574027926027952,0.0726698037251606,0,0.0426913080345027,0.0111040975484152,0.0988604518150264,0.297865125190382,0.00535202416551758
"R3388_YZ_30",0.0164106871866832,0.146636744425418,0.0974191627093722,0.0658816211504047,0.077541875881212,0,0.0164106871866832,0.146636744425418,0.0974191627093722,0,0,0.0538439772272022,0.0863470730281253,0,0.0511112758786592
"R3388_YZ_31",0.0192769968454957,0.00333391958861242,0.0698474103672117,0.0044991355622087,0.0767118374792346,0.0558871676217378,0.0192769968454957,0.00333391958861242,0.0698474103672117,0.0221210681642266,0.0195046070955573,0.0230860764366606,0.0100767054872076,0.152848703379261,0.0858601856241969
"R3388_YZ_32",0.0773565355060278,0.075800988305958,0.0662557148994572,0.00335544551445214,0.0707252817882979,0.145295490122572,0.0773565355060278,0.075800988305958,0.0662557148994572,0,0.0517237962745499,0.0659166008506253,0.0287227470876945,0,0.161395690666218
"R3388_YZ_33",0.0227025873626797,0.0207672983164068,0.0485140388310267,0.00510797497267195,0.0822893081131798,0,0.0227025873626797,0.0207672983164068,0.0485140388310267,0,0.0315669089273522,0.00685793492459007,0,0.38687812793862,0
"R3388_YZ_34",0.0435305879285734,0.10592747685434,0.115130781652928,0.0396093638792533,0.0759913992666148,0,0.0435305879285734,0.10592747685434,0.115130781652928,0,0,0.0313507377974298,0.038784592356899,0.0625391439035394,0.186432514069597
"R3388_YZ_35",0,0.00127447405372032,0.0491547371680106,0.105926964748678,0.0871806719759688,0.114984127968455,0,0.00127447405372032,0.0491547371680106,0.0619370137073211,0,0,0.0961471093208699,0.0182285530710111,0
"R3388_YZ_36",0.0219064268161078,0.0212294532791528,0.0584029974118858,0.0249264779832338,0.0750384183454771,0,0.0219064268161078,0.0212294532791528,0.0584029974118858,0,0,0.0195120245285911,0.00908768237865993,0,0
"R3388_YZ_37",0.00509333545759374,0.0148448686835197,0.111370786753507,0.0855662852936855,0.082716015814613,0,0.00509333545759374,0.0148448686835197,0.111370786753507,0,0.0212086305266891,0,0.135428908367606,0.136926181547009,0
"R3388_YZ_38",0.0208970633856043,0,0.246773655777772,0.161655625395546,0.0953936897708569,0.0728498243491478,0.0208970633856043,0,0.246773655777772,0.11646753075707,0.0448674799853925,0.00786705999583742,0.166735161252114,0.0924856054259846,0.0735311875517267
"R3388_YZ_39",0.0298561610821653,0.0136476943578319,0.117155728618413,0.091929161817859,0.0843509765947423,0.0248602117357864,0.0298561610821653,0.0136476943578319,0.117155728618413,0,0.0143068602643715,0.0299501179563054,0.102076503409591,0.157135821227307,0
"R3388_YZ_40",0.011505110605658,0.0596978000108245,0.121070424596591,0.0945751604052625,0.0823055552284028,0,0.011505110605658,0.0596978000108245,0.121070424596591,0.0826488862775759,0.00277412288628342,0.0160577429636332,0.121069910363026,0.0665302585003446,0.0102496962217128
"R3388_YZ_41",0.0255640958645675,0.0150908586398992,0.162026374441541,0.0882021725708873,0.0798815065185574,0,0.0255640958645675,0.0150908586398992,0.162026374441541,0,0.0403337920651018,0.0274725554843132,0.0768377276681542,0.0118431599861678,0.0646162643814054
"R3388_YZ_42",0.0312749710066818,0.0144830439965783,0.136379924870369,0.0894396359812305,0.0868221639781376,0.025316393789666,0.0312749710066818,0.0144830439965783,0.136379924870369,0,0.0114794477234624,0.0321204092259074,0.105445659077461,0.282596804068165,0.119551735935055
"R3388_YZ_43",0.0301912370357114,0.0356453972622265,0.108599512005966,0.0462653306633144,0.078568295292633,0,0.0301912370357114,0.0356453972622265,0.108599512005966,0,0.0225843725690522,0.0246937679273298,0.0813086266590187,0,0
"R3388_YZ_44",0,0.0492853834522979,0,0.157924830102704,0.0879290995678592,0.0383132227576314,0,0.0492853834522979,0,0.114219226246456,0,0,0.162354047642195,0.202092571540918,0.0782383013206908
"R3388_YZ_47",0.00985732092239628,0.0453638308182323,0.0723839930104674,0.0370297542389997,0.0767488634694091,0.019547719240807,0.00985732092239628,0.0453638308182323,0.0723839930104674,0,0.0320312297660985,0.00781476976962073,0.0366290834956628,0.075333934440842,0.020519454133922
"R3388_YZ_48",0.0230847559936066,0.0181457639163698,0.0938724769694474,0.0365480229259086,0.0741915550748442,0,0.0230847559936066,0.0181457639163698,0.0938724769694474,0,0,0.0285258279618705,0.037537522066261,0,0
"R3388_YZ_49",0.0271172345655967,0.0183313303339642,0.150162988843126,0.136178523630761,0.0856972834167964,0,0.0271172345655967,0.0183313303339642,0.150162988843126,0,0,0.078201951361041,0.113790718369819,0.140724172645932,0
"R3388_YZ_50",0.0611270688942207,0.0425486861055793,0.138596424326278,0.070462878983384,0.0951870282839897,0.0339329644715762,0.0611270688942207,0.0425486861055793,0.138596424326278,0,0.0269385970071333,0.0640719721064253,0.120109550919761,0,0.0277357177128757
"R3388_YZ_51",0.0349233904274222,0.08500404547184,0.0767826649327497,0.140425875079776,0.0927165144377166,0,0.0349233904274222,0.08500404547184,0.0767826649327497,0.0316030150500521,0,0.0416298088440741,0.139157536118274,0.21017647931922,0.164349593929996
"R3388_YZ_52",0.003421579134877,0.0515281787373374,0.0894890437101598,0.0344926583012658,0.0772062707121704,0,0.003421579134877,0.0515281787373374,0.0894890437101598,0,0,0,0.0231111771902564,0,0
"R3388_YZ_54",0.0329063426237974,0,0.124510385188722,0.0779648631346834,0.0771355400461582,0.0056365634784795,0.0329063426237974,0,0.124510385188722,0,0,0.0336165298280043,0.0885172681372471,0,0
"R3388_YZ_55",0,0.0363084513121665,0.00231393606540276,0.0601978936246446,0.0835053951127466,0.113925021443813,0,0.0363084513121665,0.00231393606540276,0.236094332073527,0,0,0.0369716210113825,0.275041037857866,0.116453421909021
"R3388_YZ_57",0.0367560474098378,0.0376188985081916,0.0332217805586225,0.0195877614953672,0.0673947630967573,0,0.0367560474098378,0.0376188985081916,0.0332217805586225,0,0,0.0357916297050843,0.02036808434825,0,0
"R3388_YZ_58",0.0226164851325524,0.101491958028844,0.0723600586936913,0.0317667813279924,0.0759544733305148,0.0995688695592597,0.0226164851325524,0.101491958028844,0.0723600586936913,0.147038897411093,0.0469117855688781,0,0.101385667417048,0.322871313321761,0.212607405487197
"R3388_YZ_60",0.0276478852574681,0.0668732332188397,0.0640556850748831,0.09681683946865,0.0827636293962009,0,0.0276478852574681,0.0668732332188397,0.0640556850748831,0,0.028138247515089,0.0112395929604976,0.108440022574064,0.205391348528194,0
"R3388_YZ_61",0.0168005149982759,0.0548326825023396,0.0869863106886871,0.0247635921890421,0.0763137536617124,0.0687953808028908,0.0168005149982759,0.0548326825023396,0.0869863106886871,0.0701346112774789,0.00501025889141025,0.0053416803184209,0.034068063742466,0.175095851092502,0.0909165989960992
"R3388_YZ_62",0.0203880271187552,0.0473148004146063,0.0594458865636148,0,0.0724367829017221,0.0245519418794004,0.0203880271187552,0.0473148004146063,0.0594458865636148,0,0,0.0146542121772899,0.00976508659082872,0,0.0235151888387003
"R4163_YZ_1",0.0433393242395515,0.0219935830709472,0.0752931245853624,0.0437307692893879,0.0820933254711201,0.0706715255179574,0.0433393242395515,0.0219935830709472,0.0752931245853624,0.101880211932075,0,0.0473571929878366,0.125191293647529,0.149702490483158,0.0773853096456127
"R4163_YZ_2",0.0421121613771479,0.0196870109368092,0.155881144769453,0.0751054037752731,0.0890386853892772,0.0303917475357404,0.0421121613771479,0.0196870109368092,0.155881144769453,0.0324818682597818,0,0.0337977314819504,0.0754113080056133,0.00494185090816432,0.0352415686862853
"R4163_YZ_3",0.0227185927347557,0.0142012109378333,0.114763517033324,0.175916837001542,0.125520449449732,0.0159718286419419,0.0227185927347557,0.0142012109378333,0.114763517033324,0.0125067261823921,0,0.0183784256723506,0.151354879370101,0.00728598709028268,0
"R4163_YZ_5",0.0406607096509101,0.107559990177107,0.137729211584363,0.13508635169281,0.108302921920592,0.0430948480367509,0.0406607096509101,0.107559990177107,0.137729211584363,0.0338993525372095,0,0.0370580319409828,0.127192245948881,0.0534594350596582,0.0230209082200929
"R4163_YZ_7",0.0382144956489556,0.0205370126698691,0.109633472085687,0.105615924298187,0.0869684580015896,0,0.0382144956489556,0.0205370126698691,0.109633472085687,0,0,0.0168902254380754,0.141775334665326,0.00544488498132528,0
"R4163_YZ_8",0.0284950421827836,0,0.1175160876659,0.0490998509468669,0.0561270747328034,0.0668929570709193,0.0284950421827836,0,0.1175160876659,0.0808951348309926,0,0.0307521823973644,0.0399008273443135,0.0597574108029171,0.0496252782875425
"R4163_YZ_9",0.0431673073561877,0.0853979186720111,0.125893539252522,0.10571819753049,0.105756547205005,0.00656570457684652,0.0431673073561877,0.0853979186720111,0.125893539252522,0,0.00517892438220418,0.0429827596445483,0.122442976991461,0.0754467025834372,0.0420209260404061
"R4163_YZ_16",0.0872329709272674,0.0450601617603601,0.119812776849086,0.146134747220078,0.0954615155320146,0.153566732579433,0.0872329709272674,0.0450601617603601,0.119812776849086,0.173827004784617,0,0.079139738811508,0.167048214805478,0.192347768246719,0.153379886707067
"R4163_YZ_17",0.0299955732198397,0,0.11877558455859,0.0391819664984049,0.0761412827988767,0.0616010719361682,0.0299955732198397,0,0.11877558455859,0.104122059446674,0.00255287309356679,0.0234160170052694,0.0594708869591931,0.0978687312246971,0.0666747512760468
"R4163_YZ_18",0.0243149793082162,0.0179123783974681,0.0985719070063085,0.102085628413799,0.0772232824045566,0.0275142483484084,0.0243149793082162,0.0179123783974681,0.0985719070063085,0.00561195425086556,0,0.0179272514661102,0.103938823856684,0,0.0481092537505282
"R4163_YZ_19",0.0377053057316855,0.0188914486252034,0.107991631215347,0.104696543398758,0.129600514578526,0,0.0377053057316855,0.0188914486252034,0.107991631215347,0,0,0.0341421164994456,0.121630153086365,0.0128897085839868,0
"R4163_YZ_20",0.0395520381807913,0.0286092774792056,0.0767032314212071,0.102853361467743,0.0849206961063932,0.0545578849168088,0.0395520381807913,0.0286092774792056,0.0767032314212071,0.0676164284195769,0,0.0478709850286028,0.0870235728044027,0.090382281377606,0.0594093962468037
"R4163_YZ_21",0.0924631351540116,0.0149584389747192,0.148182877692126,0.0720831168313888,0.0734742419188279,0.149742055092187,0.0924631351540116,0.0149584389747192,0.148182877692126,0.125813168273166,0,0.14279204850726,0.0538141664824205,0.0421828109085097,0.136455886750583
"R4163_YZ_22",0.0417404098518118,0.0261051938771492,0.0912078493928426,0.0550907957420676,0.0758616432234058,0,0.0417404098518118,0.0261051938771492,0.0912078493928426,0,0,0.0716777349827656,0.0969788123622182,0.0063003899212292,0
"R4163_YZ_23",0.0244382971464667,0.0267097957942263,0.146556749927027,0.168034534126149,0.120556767300677,0.0653035858088564,0.0244382971464667,0.0267097957942263,0.146556749927027,0.058942771974941,0,0.033623152031891,0.188623139108542,0.0904147755335742,0.122826931595102
"R4163_YZ_25",0.090651056780668,0.00548711276133258,0.147138053853573,0.12421984793938,0.133779156538912,0,0.090651056780668,0.00548711276133258,0.147138053853573,0.0151699798553841,0,0.0746731480727793,0.11969151726379,0,0
"R4163_YZ_26",0.0704103250331009,0.0311001741451316,0.0757033601806414,0.0343344573026933,0.0778078683926672,0.0122353633094683,0.0704103250331009,0.0311001741451316,0.0757033601806414,0,0,0.0739209744672537,0.0227780085867133,0,0.0351494908786643
"R4163_YZ_28",0.0350469347009015,0,0.128206053049153,0.123325972429045,0.0968387909471222,0.00966948319563287,0.0350469347009015,0,0.128206053049153,0.0167500686537036,0,0.0363012797037836,0.126169383879531,0.013009195764151,0.0294895967005681
"IP.108b",0.00446559426728702,0,0.134523700831547,0.25319340513823,0.0824023506454073,0.113879342225611,0.00446559426728702,0,0.134523700831547,0.0700717491358438,0.0480465449347975,0,0.251746501319744,0.198922028895582,0.0708320492532954
"IP.115b",0.0430788258657496,0.0355844361047715,0.0793559095287143,0.408861520606274,0.0698059901300882,0.017485721950476,0.0430788258657496,0.0355844361047715,0.0793559095287143,0.0616466561949946,0.0797334181665214,0.15595369111377,0.366577696379669,0.179147973092552,0.0324647561999241
"IP.124b",0,0,0.0419701663897063,0.0196799057149837,0.0381831534702732,0.167544312538174,0,0,0.0419701663897063,0.0858560147156332,0.0622657984136494,0.0024539406890622,0,0.128146202804474,0.184773427354837
"IP.127",0.0598152015557536,0.0133455681542277,0.176622465864352,0.503962876587995,0.0814679301302668,0.0781103732482338,0.0598152015557536,0.0133455681542277,0.176622465864352,0.170249900520486,0.0716207637663263,0.0985806589573219,0.402521662815537,0,0.0796168544809411
"IP.138b",0.0228499692520595,0.0153869537064487,0.0672616878438692,0,0.0255740964604667,0,0.0228499692520595,0.0153869537064487,0.0672616878438692,0,0.0168292521383733,0,0.0116072093096808,0,0
"IP.140b",0,0.0119971553799352,0.0270452393515658,0.00555486637642465,0.0335435443006346,0.127522279570951,0,0.0119971553799352,0.0270452393515658,0.231342346757065,0.0601456024921554,0.00578295718411475,0,0.324497107444619,0.165009176929586
"IP.148",0.101191528055314,0.00515979045586242,0.0628199290852914,0.156313406162259,0.0629911839523099,0,0.101191528055314,0.00515979045586242,0.0628199290852914,0,0.00618049124438468,0.113821160617827,0.136077147974208,0,0.0514915327105075
"IP.197",0.186631602822915,0.00630230910166645,0.32169809457996,0.48695810271213,0.0976905448010993,0.0428935555065777,0.186631602822915,0.00630230910166645,0.32169809457996,0.255623570780899,0.114428425167474,0.19386609860438,0.32905995301937,0.325803770000858,0.0396623077101469
"IP.214",0.0229606001476462,0.0439762582922188,0.0724623306716615,0.59483090596226,0.0798583061845463,0.11684866803795,0.0229606001476462,0.0439762582922188,0.0724623306716615,0.97158585808034,0.0975282291828991,0.0788053604873137,0.490703810769196,0.267439253245042,0.0792252295246217
"IP.28",0.161769267122671,0.0254944088668463,0.103882039145813,0.45433264152591,0.110121709975637,0.0476251459976674,0.161769267122671,0.0254944088668463,0.103882039145813,0.717175038059553,0.091180329861505,0.18411463955227,0.182664729658828,0,0
"IP.31b",0.0108155176853701,0,0.0225946145003501,0.0854483610395967,0.0502875646474879,0.196873077766059,0.0108155176853701,0,0.0225946145003501,0.139772188927286,0.0372521699300936,0.0231291239157852,0.0404035921291004,0,0
"IP.36",0,0.0265700706602179,0.0330473339388488,0.273449048215168,0.0642788188876472,0.0370561228453331,0,0.0265700706602179,0.0330473339388488,0.346835461194407,0.0463545582463931,0.00941808974473265,0.180651441022058,0,0.102894567890838
"IP.38b",0.0536848973579458,0.0457366958422296,0.0368266085993543,0.422891600438352,0.0596386252082693,0,0.0536848973579458,0.0457366958422296,0.0368266085993543,0,0,0.0427930632644898,0.352573800480886,0,0.119771453629364
"IP.52",0.0555160169464768,0.0162460174096206,0.0457140004415046,0.146428100261594,0.0619727326205546,0.0584047795229894,0.0555160169464768,0.0162460174096206,0.0457140004415046,0.166325972956567,0.0045836775233852,0.0423443873399907,0.142329693767281,0.284700556057813,0.167951698192799
"IP.57",0.0908743620643316,0,0,0.209322511620133,0.056233804269955,0.0485008027874605,0.0908743620643316,0,0,0.10555523903468,0.0529331727877487,0.0350724170742088,0.207306749071881,0,0.122177235291561
"IP.58b",0.0712209911495778,0,0.0868833690749293,0,0.0253183978386363,0.075331188567415,0.0712209911495778,0,0.0868833690749293,0,0,0.0993230981776978,0,0,0
"IP.67b",0.035254273624394,0.0520329994990538,0.0494750903773865,0.453115079083304,0.053244826602129,0,0.035254273624394,0.0520329994990538,0.0494750903773865,0,0.0570915015018618,0.0349354231721929,0,0.318417435664131,0.0539032351336416
"IP.73",0,0.0488684952347303,0.156717939106048,0.110166006678229,0.0434113848090214,0,0,0.0488684952347303,0.156717939106048,0,0.0263155849200993,0.026273719477292,0.0994394102665849,0,0
"IP.82b",0.0292932112578909,0.0114087284078529,0.0337099380853025,0,0.0407018678425898,0.205405669470241,0.0292932112578909,0.0114087284078529,0.0337099380853025,0.553232317657792,0.0689824916032163,0.0465079507812775,0.0160264864500159,0.354368724486966,0.231702796565281
"IP.89b",0.0195964243152077,0.0193236127874123,0.0368542959158867,0,0.0399750474628123,0.0566216740585747,0.0195964243152077,0.0193236127874123,0.0368542959158867,0,0,0.025138578940747,0,0.0311227848429385,0.11515768596868
