"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"Gide_PD1_30_Pre",0.0207090303356366,0.181073240585508,0.184357231363909,0.000149050032597804,0.061711582184262,0.0167718054516448,0.0809573214574885,0.132549671514296,0.175130213152508,0.0211771076869732,0.10564264705441
"Gide_PD1_34_Pre",0.0194420189530863,0.151251086870513,0.152782456842213,0.0403838556475552,0.0472143774367174,0,0.148595520166759,0.0789017279985523,0.13951118821661,0.0533622612198293,0.134950447825661
"Gide_PD1_35_Pre",0.02561270359688,0.197659503038818,0.198609771764611,0,0,0.00445567140917914,0,0,0.0046167693212509,0.0342495750015108,0.191568358213292
"Gide_PD1_36_Pre",0,0.191353618383,0.193343318419962,0.0254505587523338,0.044029572642937,0.017630382675639,0.106129688977039,0.0750673242700852,0.104659386975767,0.0736375087507807,0.315134299222467
"Gide_PD1_38_Pre",0.00163568593364563,0.158627567114185,0.161654489748263,0,0.00504905152939026,0.000654483706591554,0.0219198111249731,0.00511534553427153,0.0243759127480919,0,0.234514120788699
"Gide_PD1_4_Pre",0.0433737334433857,0.191733272492556,0.190559586683305,0.165727811663014,0.00901257826592352,0.0763967416689521,0.315004236643955,0.019100991125269,0.0501436728517961,0.0258026271165872,0.300761463029284
"Gide_PD1_40_Pre",0.0412061158308435,0.137707575175981,0.140477091858585,0.0891497904394743,0.0244461359226082,0,0.159056439752337,0.0503087115642815,0.306439205804385,0.0864346851642449,0.30127609244111
"Gide_PD1_41_Post",0.0413563442878018,0.176289572693182,0.177978526136852,0.0554550814413422,0.00312117006485462,0.027483034757956,0.0726744764328873,0.0172150208573076,0.183062946463966,0.0587378920404158,0.212809230533495
"Gide_PD1_41_Pre",0.0204127632653628,0.186947155551294,0.188951332775687,0.0198983459720456,0.0369650486756668,0,0.102919798941867,0.0659594005756705,0.342464121959602,0.0387467402511053,0.146972958056778
"Gide_PD1_42_Pre",0.0263321297344662,0.214722416384165,0.215214892947216,0.0642758750493194,0.015373771754986,0,0.0783125616539705,0.0386070333993415,0.211951106430953,0.0320887085241109,0.123349362211676
"Gide_PD1_44_Pre",0.011091654689572,0.158949835664131,0.159260316587502,0,0,0,0,0,0,0,0.205617312015275
"Gide_PD1_45_Pre",0.0352854638033517,0.186085458275307,0.185188193986634,0.115242436350043,0.00878359062127033,0.146482379169756,0.125738214830592,0.020084816087446,0.209810824263577,0.158066408396009,0.304204963124865
"Gide_PD1_46_Pre",0.0197360305570314,0.166506046986375,0.166022479046906,0.0095320536564724,0.0529419913168229,0.0540469671428932,0.0591628878851568,0.0848773165440648,0,0.059551046493514,0.256052317051244
"Gide_PD1_47_Post",0.0522929935217939,0.181648604920545,0.181112755637967,0.103706214964978,0,0.263306193239497,0.172419353098283,0.00738209017230567,0.270905889864625,0.121381923990832,0.332750579854393
"Gide_PD1_47_Pre",0.0938591673818732,0.177736513486868,0.177493854781705,0.415826614202901,0,0.17257732823211,0.473139911356076,0.0170031417324868,0.269559561800557,0.257912362656465,0.383541811859314
"Gide_PD1_48_Post",0.0405633243105727,0.156960582063848,0.157044205275448,0.0324051569277152,0,0.0732653987684841,0.0362229719620643,0,0.00466424431880081,0,0.270006938324814
"Gide_PD1_48_Pre",0.00928887671426004,0.159732327832647,0.160157100256838,0,0.0049312893185303,0,0,0,0,0,0.157859589207944
"Gide_PD1_49_Pre",0.012563932928375,0.177892328631294,0.179475127010041,0,0.0352884145652091,0,0,0.0580187421741854,0.103063093950877,0.0395076386373943,0.182436211774405
"Gide_PD1_5_Pre",0.00866726376100268,0.168833253718119,0.167395351785262,0,0.0839943974363748,0.0124295151455857,0.00286719321839321,0.128997333338726,0.190675744818323,0.0319612200941279,0.122227688484613
"Gide_PD1_50_Pre",0.0139689589467096,0.169180837727175,0.17191961447187,0,0.0416375605775554,0,0,0.0431385896563293,0.011435894567278,0,0.15268423776824
"Gide_PD1_52_Pre",0.0110546958426902,0.150111578343572,0.149164466263829,0.00760446385250215,0,0,0,0,0.0512701769106431,0.00178396776652197,0.175144182040896
"Gide_PD1_53_Pre",0.00956408396147847,0.17819368076085,0.178709593493667,0,0.00935723291102515,0,0,0.0206797995515286,0.163355405492442,0.0388433090060179,0.0769043411445417
"Gide_PD1_54_Pre",0.00246028424709443,0.149626447366225,0.150604665321754,0,0.0274284894556795,0,0,0.0152026455097738,0.0529639230195704,0,0.173978741396764
"Gide_PD1_6_Pre",0.015008149927775,0.16606924700853,0.163524628478128,0,0,0.0544700211090436,0.00282283407435107,0,0.0112220399080777,0,0.154246341076219
"Gide_PD1_7_Pre",0.00765394316606676,0.150404767021646,0.153724466683737,0,0.0291838782184808,0.0166148530192698,0.0245964332594457,0.0610759768278993,0.1204037285877,0,0.255300300009564
"Gide_PD1_8_Post",0.0193252512591321,0.166616875605824,0.167440238971581,0.0765487119591059,0.0302997251206279,0.00061194593707289,0.37671637890699,0.0607379232376024,0.0513882122557678,0.0111007946821225,0.097722673556259
"Gide_PD1_8_Pre",0,0.184392022317471,0.182576922249371,0,0.0442236709259751,0,0,0.0746163656731148,0.361674036826021,0,0.0210093513808883
"Gide_PD1_9_Pre",0.0320800124194793,0.184511068352753,0.186527942238738,0.135029657475652,0.0290872100935794,0,0.144544199875035,0.0497610073339207,0.248554550320453,0.0631635086444787,0.12398397558491
