"","Epidish_CCLE_TIL10_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","Epidish_TIL10_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__TIL10__Neutrophils","CBSX__CCLE.TIL10__Neutrophils"
"J5_p2_rep2_hetero",0.0035275185052358,0.0021543003461811,0.0063427658229523,0.0248791482939494,0.0080626754838414,0.0056287170797285
"J6_p2_rep2_hetero",0.0008672044161104,0.0126446020896171,0.0061247612453964,0.0244201080782605,0.0070646809308169,0.0117376696287102
"J7_p2_rep2_hetero",0.0032779716310746,0.0218740755170114,0.0075710031251319,0.0256393404802927,0,0.0122016286657038
"J8_p2_rep2_hetero",0.0022550081161211,0.0286278675709217,0.0065264499024988,0.02897191498382,0.0092078373166635,0.010778986249582
"J9_p2_rep2_hetero",0.004219887028621,0.0227848217441547,0.0051834492089149,0.022306426755296,0.0217060274290681,0.0120628425116656
"J10_p2_rep2_hetero",0.003995093787614,0.0397126056596891,0.0058109803164178,0.0361572219718382,0.0053350683875501,0.0082583129163085
"J11_p2_rep2_hetero",0.00403764502754,0.0309021547006915,0.0050282257513594,0.0284484449100976,0.0154691262631727,0.0098817129320816
"J12_p2_rep2_hetero",0.0046284769148503,0.03366088777475,0.0057533400415011,0.0306995999072044,0.0131983860982851,0.008249852062056
"J13_p2_rep2_hetero",0.0045491093097088,0.0309175952471146,0.0059817431696138,0.0282028392284057,0.0219392433920368,0.0044412559101929
"J1_p1_rep1_auto",0,0.0444455098509374,0.0013382616528076,0.0334987971982997,0.0155560501853309,0.0040502780377845
"J1_p1_rep2_auto",0,0.0354164220196934,0.0014094087491056,0.0282865045298829,0.0176277060570226,0.0039474913093485
"J4_p1_rep1_auto",0,0.0261893616232457,0.0024592846907614,0.0291772504570649,0.0162652390792916,0.0036543983780684
"J4_p1_rep2_auto",0,0.0252262445635867,0.0024595078293914,0.0282801175981186,0.0182867416255811,0.0045835524790154
"J8_p1_rep1_auto",0,0.0265317494302107,0.0024940816083888,0.0295994400416693,0.0196410926104739,0.0044557577316834
"J8_p1_rep2_auto",0.00031090770519293,0.0236022594800597,0.0023053577489843,0.0272743443009685,0.0189053409730677,0.0048376955408866
"J11_p1_rep1_auto",0.00088785068900973,0.0258428872690112,0.0028755847042202,0.0283657208550506,0.0237983114805677,0.0046634038312109
"J11_p1_rep2_auto",0.00079866039915327,0.0256185730423846,0.0024634835056638,0.0282213422360283,0.0227343707378123,0.0050113297141452
"J14_p1_rep1_auto",0.00063299197905586,0.0322195234136216,0.0026380441311508,0.0325771670521774,0.0213287903135019,0.0046935634172584
"J14_p1_rep2_auto",0.00064839604427585,0.0296240515690608,0.002793565467611,0.0298544695823501,0.0222405904902195,0.0043377912000333
"J1_p2_rep1_auto",0,0.0381201358877503,0,0.0278436511364017,0.00084149750327028,0.0028516382712619
"J1_p2_rep2_auto",0,0.0394815367142697,0,0.0280406212083451,0.00044205323059681,0.0029351288652632
"J4_p2_rep1_auto",0,0.0471177938068457,0,0.0376260149560401,0.00072276146211647,0.0024171455744574
"J4_p2_rep2_auto",0,0.0454932089846264,0,0.0366221682692965,0.00078309299647736,0.0012716401402425
"J8_p2_rep1_auto",0,0.0344539214026174,0.00059767131071604,0.0341959248592617,0.0011918696370672,0.0035692253371303
"J8_p2_rep2_auto",0,0.0334418509010088,0.0004604964744875,0.0344455604511232,0.0012103860857191,0.00070802221001228
"J11_p2_rep1_auto",0,0.0429543607159228,8.6085665690254e-05,0.0383115793413409,0.0017160168686257,0
"J11_p2_rep2_auto",0,0.040159895937444,0,0.0359078164445021,0.001438565055907,2.5345757845e-05
"J14_p2_rep1_auto",1.06237974040691e-05,0.0471498145133359,0,0.0397246160682379,0.00045273484322275,1.979099706436e-05
"J14_p2_rep2_auto",0,0.0443084985438313,0.00042521782802918,0.0386772836371351,0.00015775244039242,0.00030175279309927
"J1_p3_rep1_auto",0,0.0233501428424205,0.0021854136665074,0.0224748293211292,0.0174315650145777,0.0056102663807638
"J1_p3_rep2_auto",0.00059776954820354,0.0255540228022156,0.0025867512923648,0.0231586896746107,0.0182281362868445,0.0064999135715868
"J4_p3_rep1_auto",0,0.02207915468813,0.0032463842906522,0.0248947059254315,0.0136846294954707,0.0046026613237162
"J4_p3_rep2_auto",0,0.0226926881150824,0.0037071668306363,0.0255661836294777,0.0153417278862105,0.0044295971263116
"J8_p3_rep1_auto",0.001578995436991,0.0254778555863956,0.0054166443443143,0.0286740213582963,0.0153902650477356,0.004831522491032
"J8_p3_rep2_auto",0.00094095257529226,0.0217052422177103,0.0044550566419104,0.0268463434519525,0.0143136738025325,0.0061577739325455
"J11_p3_rep1_auto",0.0011023409492261,0.0299877870867364,0.004080998230802,0.0296351120194435,0.0132293648564241,0.0056603090728778
"J11_p3_rep2_auto",0.0013500598085732,0.0304230044952644,0.0057278398895054,0.0302903996321531,0.0156618804191771,0.0060751872563048
"J14_p3_rep1_auto",0.00096103677903491,0.032018887974941,0.0037817120640671,0.0306245896735419,0.0144802921111624,0.005964241053705
"J14_p3_rep2_auto",0.0022258783772596,0.0478034433138921,0.0060511604348818,0.0435512349944764,0.0042752154908252,0.0068727585116375
