"","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"Patient121",0.0766586109390801,0.0775652418532106,0.0772376729541616,0.0329569024197939,0,0,0.020629917440876,0.0533306006128582,0.0713274585453772,0.123164304885962
"Patient125",0.0477392167953676,0.0483125850975285,0.0467717810121617,0.0463970000652541,0,0.0614194126445818,0,0.0536338474239402,0.0117462894184944,0.117199062342449
"Patient126",0.0661058354673729,0.0662555947759602,0.0682521769906556,0.0802271966808466,0,0.212707620317522,0.013603567895674,0.237215932809898,0.0740814247857557,0.104559563890591
"Patient127",0.092579753016842,0.0915066554016752,0.0915465899700335,0.0549574706630532,0.0314842634356682,0.207675296390484,0.0790218854570005,0,0.0223294904465741,0.0763051728523842
"Patient130",0.0653264909500547,0.0651252215417222,0.067145394608671,0.0136848249702205,0,0,0,0,0.0101342716823704,0.123012829496932
"Patient131",0.0959376485296745,0.0981681964626304,0.099472298568287,0.13840768169105,0.0243419537616817,0.520355395871486,0.0622024992080495,0.541006519592565,0.14176677758843,0.109867632509857
"Patient132",0.0342890955692966,0.0357660920963115,0.0385670982545677,0.142118615511467,0.00771709780639853,0.150319730024878,0.0425895797733433,0.104504677048423,0.136919038669819,0.0973081123576511
"Patient133",0.0527648321089195,0.0567041001795079,0.0571488806425847,0.0307466926755231,0,0.139073586270168,0.0134903346759259,0.229600077191883,0.0393546662541874,0.14314767945907
"Patient134",0.0468099767367495,0.049596047023893,0.0542864222088356,0.0325448782976778,0,0.0274617527358518,0,0.0665169991160814,0.0461738801443817,0.0759120130161517
"Patient135",0.0626958846175621,0.0652639249816984,0.0641713519565762,0.0258941681233168,0.0112664061378621,0.273029341153893,0.0691506867868407,0.427186879157943,0.0377584145053394,0.0852809025246962
"Patient137",0.0406036120313213,0.0452580142549261,0.0514359859500136,0.0164817962420314,0.0200561826853998,0.0271297614100814,0.0611640328011503,0.0783455335940578,0.0289875189880358,0.0729008604324912
"Patient13",0.063336205383243,0.064024316070304,0.0642279247367009,0,0.00426086619398946,0,0.0550786595609632,0.0978195671330043,0.0121390630131116,0.0781562519588881
"Patient140",0.0703513234793426,0.0723460392661875,0.0719163827101818,0.0145385674145499,0.0467953426626472,0.130483939113515,0.121058997498904,0.0940390790251957,0.0253830385309078,0.120665672851736
"Patient141",0.0894471584616018,0.0915474887900877,0.0952506789203152,0.0189621607147887,0.11018886137667,0,0.204389994346088,0.00223719485172678,0.0540020751521906,0.0662518105648867
"Patient142",0.0794220488848015,0.0806686452464504,0.0851604305172138,0.04802145660691,0,0.230067069133862,0.00614863615997268,0.0194113534609267,0.0929257326396783,0.106145142010607
"Patient143",0.100245876992881,0.112143871676059,0.121057503570779,0.0234760145529279,0.0650767855958808,0,0.0992951602585697,0.0251494851765816,0.185525449893556,0.0640704242802793
"Patient144",0.0714601536210847,0.0706524575662421,0.0741389318803135,0.0470380865790004,0.0799436343537521,0.292709187357457,0.125028422778101,0.199361110765293,0.0524862007945657,0.141159062416776
"Patient145",0.0676070517260847,0.0687350295596729,0.0736845325405368,0.14094213345427,0,0.534549099403923,0.00924293500169089,0.529395678288787,0.238598755222613,0.115302710176127
"Patient146",0.0682306905893325,0.0701283322821908,0.0747861063857384,0.0345502010194072,0.0486461182697105,0.222360584560067,0.112326162225362,0.400945697835813,0.021009117368869,0.0939683828589066
"Patient147",0.0679341153581852,0.0725944641557158,0.0781807536904372,0,0.0385497374692546,0,0.0864865940961932,0,0.00934002749442705,0.039371069968197
"Patient148",0.0846635918015097,0.0832482453802432,0.0839548583486918,0.0893551605486014,0.125036680010106,0.33927093916753,0.196864576606921,0.351757274136881,0.0540029308878182,0.0993857695902189
"Patient149",0.0764681818481371,0.0807255075054268,0.0874933783017079,0.116921658215205,0.0703005558180167,0.313156962184331,0.110564758639672,0.334559791446916,0.110520045845339,0.098777157454168
"Patient14",0.11955579029318,0.117705539743488,0.120514409746103,0.0390626355543492,0,0.0956989222458928,0.0251554321616527,0.176805639449549,0.0488526594804885,0.120217753776986
"Patient150",0.0831668973074579,0.0838277428502479,0.0806177291595345,0.0408933472015771,0.0636917355790339,0.115505119323518,0.114095607919954,0.147990823041191,0.0432101723658921,0.0898515483518858
"Patient154",0.0667701807273163,0.0704562542951187,0.0779325114915243,0.140115617154578,0.0264058188919883,0,0.0423937590485806,0.150684587862927,0.176838437778762,0.095591084725065
"Patient155",0.0293620644565095,0.0315860785971279,0.0329474653675935,0.0600736999225529,0,0.0923750788926727,0.0192553014926516,0,0.0743833905417273,0.117633574168293
"Patient156",0.059945762604048,0.0585810827763322,0.0607002002360596,0.049536477904965,0.0519449143039932,0.0592166666477173,0.0916407261122121,0.0674219176208284,0.0866605588787202,0.12563415371056
"Patient158",0.0534760212875567,0.0469758969921698,0.0506648031768311,0,0.00544415218544197,0,0.0361631332261981,0,0.0125497170033584,0.061841679993822
"Patient159",0.0534703929724439,0.0579972058697999,0.0634567715424398,0.0277684251307821,0.00287514794012788,0.129292923900432,0.0411132385252029,0.297653664457048,0.0173356262257924,0.0735836990157746
"Patient15",0.0821046764060116,0.0845735903646415,0.082161757026081,0.0663931872540876,0.0943521088769349,0.275570816459362,0.164056568417963,0.290677221978154,0.0469785378474869,0.072546919378675
"Patient162",0.101987373233474,0.102882965000913,0.103758320156678,0.0365424887383168,0,0.00168540800338213,0.0262585068779296,0.442390688626303,0.0573953063528645,0.0780499184203872
"Patient163",0.103968016441893,0.10237730689246,0.104702387333737,0,0.026579761770835,0,0.0733222402389118,0,0.00036950071911471,0.0298776751263016
"Patient165",0.0717986254507937,0.0694924812711345,0.0683458463368016,0.0219045376579365,0.016912043620824,0.224346905712902,0.0891562183700169,0.350841324504339,0.0286734161191719,0.112716846417738
"Patient166",0.0704098719639383,0.0749221921715637,0.0822673005845628,0.0160566706260914,0.0583283504486312,0.0246363375282916,0.118857413594996,0.109082521188176,0.0356950561435531,0.0956463019603515
"Patient167",0.0679246570029623,0.0668124643836725,0.0672484473834628,0.049824606162202,0.0401632796316692,0.159548431327963,0.0825440137289516,0.108626308021823,0.0529574381346873,0.100855630613367
"Patient168",0.0718105493186402,0.0751149776751503,0.0765392307405605,0.00848275005845875,0.0595391967140746,0.111754986352728,0.144564764221577,0.146116038418164,0.0111620894358634,0.162066202353494
"Patient169",0.0496993881266305,0.0484431025383848,0.0493298957120849,0.0498188314007879,0.0457120509176255,0.325278093925574,0.127873914504057,0.356885026931579,0.0501204229572262,0.0678552295151514
"Patient170",0.0683518538674642,0.0719625359930533,0.0790807653978089,0.0338893054324071,0,0.168677875149235,0.0241430514432205,0.255815641276829,0.0191690867201501,0.127827578449733
"Patient172",0.0227824744194508,0.0282201784547714,0.0329034128479045,0.186533503136639,0.0549996984436665,0.185250704500607,0.0786096898559495,0.208576816505466,0.133712945775323,0.0924464945183662
"Patient173",0.0642901554191146,0.0685129640970015,0.0693775804321919,0.0139949667649826,0.067420503850462,0.261980812957295,0.148152203969403,0.3641917491415,0.00775203956724893,0.120010266990345
"Patient179",0.0990341454326446,0.100334375375644,0.0958177186148733,0.0055232180440447,0.0266521998144778,0,0.0846114911290541,0.00489083506812966,0.0259908919474693,0.0516693893520027
"Patient17",0.0196247854734289,0.0224596121259031,0.0289312410030968,0.042632001314013,0.0352948081516704,0.121759982113048,0.078612303275425,0.153665156561136,0.0693259487080945,0.0993723466493645
"Patient181",0.0725553430744061,0.076673976485315,0.0822691657396658,0.0460941191006965,0,0.0681022250743134,0,0.117274912581993,0.00484495763973296,0.0838693304085072
"Patient183",0.084998772624825,0.0848160347527756,0.0875714473526515,0.0742461708493034,0.00479484198849397,0.0690683092566715,0.0249743209738363,0.0407190838932614,0.108647509428851,0.0585399209942452
"Patient184",0.0744916157919563,0.075729962041086,0.0824004490366313,0,0.0437590507291584,0,0.0896575321740051,0,0.010226548824465,0.0989679773027655
"Patient185",0.0894348707206088,0.089641323413855,0.0903538196778232,0.047859891131516,0,0.100399507461855,0.0203570383637115,0.071839946198593,0.0471032995417338,0.130190264491063
"Patient187",0.0611591858741673,0.0594734106720701,0.0626404397812413,0.0790443890490732,0.0693954958414701,0.229567744143606,0.104954486807374,0.355657315689598,0.062279934721764,0.135041657984926
"Patient188",0.0760683230593445,0.0762901455418239,0.080169110825476,0,0,0,0.0197255896716044,0.16054042347655,0.0127034923657196,0.0267691040222583
"Patient18",0.0719991469789268,0.0733674327252016,0.0728598878153217,0.015966413571642,0,0.0828032601277432,0.0146922808342141,0.205131881882299,0.0137593618314476,0.0855345032461783
"Patient1",0.0992955348963974,0.0985129232961818,0.100097545276444,0.0512746010799388,0,0.188996165957021,0.0381576731569719,0.166727132279359,0.0392597575442494,0.0282594057207058
"Patient20",0.0599892018156414,0.065136941271043,0.0728992774829765,0.0536253319022964,0.00910143565692811,0.197924737808467,0.0571452112019507,0.207777717306242,0.0555488169852154,0.0901716466973976
"Patient21",0.0729274907085509,0.0736763681845889,0.0716298123268879,0.0115680885657962,0.0471950329194052,0.0906102798755772,0.127482990979128,0.056069201092166,0.0189306461709234,0.115751292047765
"Patient22",0.0730055522858299,0.0759857762169647,0.0773868541682593,0.0433391323664705,0.0601029012820589,0.153620292730863,0.110271344593292,0.262987191840611,0.0380643181518152,0.0809982794075154
"Patient23",0.0996739321996834,0.105693874428472,0.114522509150094,0.0129028525173853,0,0,0,0.0385625822048752,0.0103302065451425,0.0916019648386468
"Patient24",0.0363887698172502,0.0374581054298176,0.0412748237391559,0.0536890800197901,0,0.0954332109823254,0.0263548734539391,0,0.026102093638331,0.0815857823884603
"Patient25",0.0540589294838799,0.0602978244326087,0.0628760058440675,0.163658584834678,0,0.316846111977388,0.0210421771923346,0.488437750849761,0.198744041754649,0.0983466404878047
"Patient27",0.0752131475348687,0.0780271709894551,0.0799750863452288,0.0114822630600829,0,0.0845663112624194,0,0.035279870405201,0.00121275556175954,0.0395824498567006
"Patient30",0.101400328466387,0.108812448741986,0.116522132905627,0.0332402515825117,0,0.086558562017897,0,0.0703365940871653,0.0416169206044933,0.0428766276970374
"Patient31",0.0933473252489203,0.0973445085871414,0.098835389261567,0.0230170533428396,0.0536041155714603,0.0225509614931459,0.111667877205817,0.436473708051582,0.043503945048932,0.0596084017015155
"Patient32",0.0992018199977221,0.101199468697804,0.104210536955325,0.0169078267347119,0.0257627583886387,0.0327300934949211,0.0711605354119865,0.130389996588843,0.0287626435898651,0.0710456408266191
"Patient33",0.109446386380833,0.110311064936555,0.114509969022232,0.283370776475334,0.0481356725825006,0.179515758063297,0.0579970896870045,0.253477591465726,0.0349732366626073,0.127255650896646
"Patient34",0.136601557189247,0.142913541468486,0.150999215110498,0.379397293700478,0,0.121939632301955,3.45526542570584e-05,0.186008553049016,0.0764002368951208,0.0743172546661044
"Patient35",0.101308271229304,0.101306803855907,0.0999911921150081,0.117086406765781,0.0393351279643282,0.0807007968363242,0.0750064634210858,0.0879208895652183,0.141198139082396,0.067714133067443
"Patient36",0.0775309263200947,0.0814184190397333,0.0835755198175971,0.165904205678944,0.0224506088670182,0.194458697211041,0.0614660225054896,0.319999437987997,0.220241243256984,0.0395824095589421
"Patient37",0.0675336448313051,0.07466146423623,0.0847977833611582,0.0735817055619066,0,0.143941040961336,0.00898102829950379,0.145607745610493,0.0885952387597228,0.0788464327402039
"Patient38",0.0570979672165946,0.0607231878687032,0.0663403107946422,0.0326927521342713,0.0612121951452461,0.138305155353801,0.107357289161801,0.292303585168013,0.0376285835281009,0.0720637638073682
"Patient40",0.0710243394624576,0.0720970562622689,0.0767925299200801,0,0.0163247593076981,0.103755294655721,0.0804676892094374,0.47799207529182,0.01014878128715,0.0770271932771849
"Patient42",0.0737950687748952,0.0727742635070574,0.0770462408993395,0.0153241133710029,0,0.0846951287011142,0.0279790342959254,0.0875486428799575,0.0116706113646877,0.0841920174752698
"Patient44",0.0715614713786986,0.0712762734493512,0.0772356325006338,0.00491710738800027,0.0546065344947393,0,0.10388580481099,0,0,0.082066334003892
"Patient45",0.0964701580185364,0.096984119166954,0.0988364209330544,0.0363607984853159,0.0100332723487883,0.168497231195462,0.0650160211005599,0.292692253546714,0.0641465141032747,0.121700192291032
"Patient47",0.112499681684505,0.110534729869898,0.112186260102238,0.00931582066891281,0.0162068528643148,0.0444283773565511,0.0598775902981199,0.0297698504582346,0,0.0212926039268573
"Patient48",0.0712047447261733,0.0725136126979361,0.0695272269792877,0.0203045308567649,0.068884126348759,0.0124024814359524,0.145434780324215,0.331341148228341,0.03551481736297,0.050486413831035
"Patient4",0.0763218758069991,0.0785449345140796,0.0790531749381421,0.0400407721235013,0.0180452101969377,0.134870141067837,0.0608149673838724,0.232410690009159,0.0297203423729754,0.10206214529072
"Patient51",0.0579068028601186,0.0620235193053203,0.0700084125121054,0.0868492414316137,0,0.189460336112684,0.00396956601371728,0.255428965867985,0.125629170864153,0.0993870887584828
"Patient58",0.0586229331736347,0.0612053627503148,0.0643488129431638,0.0108992751917591,0.0162613430537276,0,0.0685440306561171,0.19796164884164,0,0.0723090585830877
"Patient61",0.0985618466910043,0.0975440705304645,0.094669122217102,0,0,0,0,0,0,0.280642946913427
"Patient62",0.067812967354549,0.0728873849272662,0.0818551167584024,0.0328358819642324,0.0202893895307718,0.200091554245152,0.0759168089498042,0.239699770816799,0.0410710042827775,0.089313061854227
"Patient63",0.098991765199049,0.0925116392869968,0.0873963380910153,0.0255323760724386,0.0535961129473372,0.135355934160002,0.150329210780466,0.282454389188708,0.029197946011438,0.0482196913825245
"Patient67",0.105301044087355,0.105593737064085,0.0986983924213103,0.00905682930672851,0.0267782548517338,0,0.103134175388346,0.125890638164348,0.0101219774953818,0.0112292651351024
"Patient6",0.0893725860112651,0.0934314629938095,0.100274706541732,0.028569730542809,0.0235286231874203,0.21236777325143,0.0721806162353781,0.323259274164086,0.0268049455696375,0.0682182028781973
"Patient72",0.0756686775679865,0.0781179514110475,0.0807608988013715,0.0615747637535135,0,0.0890237405435492,0,0.100032039009268,0.0951976751566697,0.0891999555622024
"Patient73",0.0914734763347014,0.0944801262749915,0.0912843380458266,0.0111816013879162,0.0365451065653397,0,0.11898660022862,0.12994357214675,0.0240943572050711,0.112420134474971
"Patient75",0.0920217796034271,0.0953648966492338,0.0989101942249911,0.00523691535073015,0.00471174961031004,0,0.048141588802925,0.0425181921249499,0.00794086646368338,0.0784163813041421
"Patient77",0.0581475264733985,0.0625393260634583,0.0659864933392988,0.0468966638546336,0,0.110716882486011,0.00711444924130814,0.167496767211666,0.0314196395685426,0.111188136867177
"Patient78",0.0436241515311567,0.0490191316907449,0.0572108554711707,0.02872649878642,0,0.110885349229483,0.00503505807491881,0.0955908502764308,0.0143854832919747,0.094402774268913
"Patient79",0.0419903875471081,0.0454885943703671,0.048701009480545,0.195450912563733,0,0.11490575057912,0.0102911521096526,0.323066714775197,0.0269480050564638,0.122213181991876
"Patient7",0.0820368309119733,0.0869663399241878,0.0892748324710235,0.0172938780483397,0,0.13603971990878,0.0514618385126309,0.186531804043684,0.0278401907636456,0.077610373085194
"Patient82",0.107843422963237,0.114915231791702,0.12133399030785,0.0309177869786561,0.0594963967448998,0,0.112393570254886,0.150734610899298,0,0.0808837118276692
"Patient83",0.0867444159830533,0.0889665693179552,0.0928424037823045,0.0320397677400807,0.00879176527165184,0.127546076870048,0.048698524996424,0.077972660041252,0.0515192129793347,0.0339906277048158
"Patient86",0.0328013781267186,0.0368142079836587,0.041401588176362,0.060059778145097,0,0.0258478902121642,0,0,0.0449706678190948,0.0936252780205489
"Patient87",0.0699361681451534,0.0708578384171263,0.0722333041728834,0.0274858775653625,0.0228491829324678,0.111646314382963,0.0419784919949262,0.0775262194322118,0.0234240187491474,0.0623293182488105
"Patient8",0.078569345388842,0.0825855478299974,0.0863681486803552,0.0784336493670333,0.035027121245231,0.271588060552338,0.0689721742126366,0.21680617401784,0.087329398440223,0.0898037741707025
"Patient94",0.0589971118028483,0.0605838809359484,0.0607232886765499,0.0166589700755349,0,0.202161160010273,0.00268617823764308,0.00102417341653159,0.00426511732594644,0.0861128828717166
"Patient96",0.109595094046412,0.111579606579411,0.110342822403762,0.102507899590221,0.0468476665633854,0.215991834167276,0.0865521579620884,0.242006315728647,0.0553843299932117,0.0826295666551128
"Patient98",0.0772116088967394,0.0812213857135735,0.0856199581370208,0.0940909489695452,0,0.199362159268951,0,0.242257924204366,0.106823413022739,0.101541059714053
"Patient99",0.0442957658483429,0.048194761268296,0.0502920502914777,0.142440877933619,0.0599887934240057,0.420661806481817,0.110473552596216,0.228711894200076,0.0510462054876393,0.186481989926215
"Patient9",0.081555734261677,0.0866111823339345,0.0889310592191503,0.0176643775981381,0.000238024095791489,0.0473480167849173,0.0420841577204214,0.0980248213040918,0.0221148144101215,0.0390551438452287
"Patient56",0.0199952478525842,0.0260446320876825,0.0357170900256872,0.106533359790284,0,0.0531387179702158,0.00235942310731729,0.257364303947116,0.147011936840026,0.144145292454871
"Patient191",0.0588884661134976,0.0631470610729403,0.0634526311679793,0.0309264184766375,0.0182409637053164,0.232779898331061,0.0755934791726829,0.189207159935632,0.0411403769361402,0.133738838012245
"Patient189",0.0575480314487595,0.0634971775444317,0.0726018598272874,0.177228364937665,0,0.0765871894076611,0,0,0,0.0663833109577927
"Patient200",0.0657584920361937,0.0695449182581286,0.0703178692561117,0.093571216587213,0,0.250519618679505,0.0113784975115196,0.167066206705784,0.0648116678523197,0.100825762572041
"Patient201",0.0482178047860929,0.0513873247125836,0.0606395811593713,0.0213026085137502,0.0196767039910146,0.12976408743932,0.0577993893928239,0.160585045347315,0.0163123879673356,0.0480821472564282
"Patient203",0.0401166763716235,0.0443310030116402,0.0518986853179276,0.0328794425857305,0,0.0769843420096647,0.0105333997304766,0.194094009625314,0.0388606353431242,0.0829656003314983
"Patient193",0.0271740309171031,0.0287567159103227,0.0308372063892614,0.0945988966676324,0,0.145262054571365,0,0.0587184691162394,0.0911157359664753,0.0796615531067599
"Patient195",0.0419048929540402,0.0465972526654465,0.0487985105659269,0.0186579717262338,0,0.0778801791880718,0.041673654419943,0.0776260329923501,0.0159824947034225,0.120544591214993
"Patient196",0.0776241706369261,0.0781129094297183,0.0749531687467962,0.00423507191256698,0.0456435591725031,0.0569431057577741,0.121014738229491,0.142223953828587,0.0185333777610169,0.111754787081183
"Patient197",0.0605644170400306,0.0605123218392114,0.0609592024661074,0.00560871675725216,0.0400948977512292,0.125084455636935,0.12383160060937,0.0853541566480091,0.00959665886372388,0.0958053667056029
"Patient204",0.0678743632748048,0.0700546742421655,0.0716981201179351,0.0167338099981866,0.0178487430097271,0.0744841683001268,0.0527671679791119,0.177578394207475,0,0.0856258072165049
"Patient205",0.0576463131009062,0.0628890754957295,0.0685771171862288,0.122887400901344,0.0232766933757668,0.497223212389005,0.0595849526520909,0.20975699779135,0.143104031776656,0.107923348363375
"Patient206",0.050851971930724,0.0565260018743114,0.0663198217112381,0.111321431460132,0,0.255694838391163,0,0.183768951848711,0.152795206340109,0.064030380807082
