"","Quantiseq_NoSignature_Myeloid.dendritic","Epidish_CBSX.LM22_Dendritic.activated","DeconRNASeq_CBSX.LM22_Dendritic.resting","DeconRNASeq_CBSX.LM22_Dendritic.activated","Epidish_CBSX.HNSCC_Dendritic","DeconRNASeq_CBSX.HNSCC_Dendritic","Epidish_CCLE.TIL10_Dendritic","Epidish_LM22_Dendritic.activated","DeconRNASeq_LM22_Dendritic.resting","DeconRNASeq_LM22_Dendritic.activated","Epidish_TIL10_Dendritic","DeconRNASeq_TIL10_Dendritic","CBSX_LM22_Dendritic.activated","CBSX_HNSCC_Dendritic","CBSX_TIL10_Dendritic","CBSX_CCLE.TIL10_Dendritic"
"LUNG-NSCLC2-0588",0.0238308921221968,0.0338805750397934,0.0447551159507783,0.066967093334753,0,0.0288550533412247,0,0.0338805750397934,0.0447551159507783,0.066967093334753,0,0.044551267430182,0.0272455898692828,0,0.357793161087167,0.0278074128527333
"LUNG-NSCLC2-0590",0.0290376126176529,0.0524584251338682,0.070592808008837,0.107989416988697,0.185437550404469,0.0730558381386795,0,0.0524584251338682,0.070592808008837,0.107989416988697,0,0.0494507947035984,0.0561809659548188,0.190383312316955,0.0224871932265054,0.133169413102057
"LUNG-NSCLC2-0592",0.029152276618757,0.0112154358488386,0.0598400479474742,0.149884551572982,0.0148938312780794,0.0565902939534654,0.16338134619333,0.0112154358488386,0.0598400479474742,0.149884551572982,0.331869685375379,0.0649991039803933,0.0030490147312838,0.0669409484016375,0.238244266846112,0.102220835528439
"LUNG-NSCLC2-0593",0,0.0478637064953789,0.0400529566656155,0.0850042466962952,0.0535884160140355,0.0202538001578045,0.11816121839003,0.0478637064953789,0.0400529566656155,0.0850042466962952,0.199320091233763,0,0.0370985479249867,0.026015330070644,0.303479995021841,0.0928622378288718
"LUNG-NSCLC2-0595",0.0655179857483949,0.0159071283964002,0.0730983107417288,0.0638279706179011,0.198425732055015,0.061320103694178,0.010989258881446,0.0159071283964002,0.0730983107417288,0.0638279706179011,0.0930941263568083,0.0785695856891662,0.0013902808194397,0.0594298275064643,0.34613247564489,0.128730596671967
"LUNG-NSCLC2-0596",0,0.0326790552370011,0.0352263860956316,0.0758100420948102,0.0621504701301945,0.0436868424716416,0,0.0326790552370011,0.0352263860956316,0.0758100420948102,0,0,0.0275540458877917,0.0690885292521931,0.17964901012914,0
"LUNG-NSCLC2-0599",0.0274433312995827,0.0276938384327936,0.0617562312008728,0.138133917006241,0.081525160907462,0.0453617293177241,0,0.0276938384327936,0.0617562312008728,0.138133917006241,0,0.0513747871873534,0.0222588390745706,0.0698706159614651,0.0283330971930007,0
"LUNG-NSCLC2-0602",0,0.0372230539697208,0.0118712956509867,0.142944809837975,0.0413704166919694,0.0473022931127761,0,0.0372230539697208,0.0118712956509867,0.142944809837975,0,0,0.0487162081162334,0.0213976874333311,0,0
"LUNG-NSCLC2-0603",0,0.133652209745009,0.0426072949318995,0.234318234445794,0.047894284336907,0.0393445710647547,0,0.133652209745009,0.0426072949318995,0.234318234445794,0,0,0.122083049325484,0.0567407044963153,0.0662238574027885,0
"LUNG-NSCLC2-0608",0,0.100227272512444,0.07832040552773,0.152104145797524,0.0989797714411101,0.0544723254615914,0.0760986080499931,0.100227272512444,0.07832040552773,0.152104145797524,0.275983847399256,0,0.100251852794324,0.0441813610324637,0,0.0256674486513572
"LUNG-NSCLC2-0610",0,0.0401022595981943,0.0500130381789458,0.0968925947309669,0.0050612116246827,0.0277941157903257,0,0.0401022595981943,0.0500130381789458,0.0968925947309669,0,0,0.0358285695387783,0.0098478603215067,0,0
"LUNG-NSCLC2-0611",0.0344101756315967,0.0495102613895809,0.0608546355315374,0.122089211167011,0.186331940518911,0.08183767963145,0.129707876050833,0.0495102613895809,0.0608546355315374,0.122089211167011,0.326680491683385,0.031273127776572,0.0385639949452781,0.224909966562418,0.384309095071581,0.0406572639435185
"LUNG-NSCLC2-0622",0,0.0289041178713526,0.100392913173585,0.067321645770781,0.181433401488553,0.0628437061243838,0.0066604620256371,0.0289041178713526,0.100392913173585,0.067321645770781,0.040020070786132,0,0.0195062485351589,0.101084399699247,0.128686812795049,0.0297387871299849
"LUNG-NSCLC2-0623",0.000429457734816179,0.0210105755428871,0.03386777918776,0.0771485205578772,0,0.0364538629446524,0,0.0210105755428871,0.03386777918776,0.0771485205578772,0,0,0.0252859506052336,0.0029919902405119,0,0.0087945409272555
"LUNG-NSCLC2-0630",0,0.0423021837415231,0.0281900225877478,0.121035053717228,0.102919231079001,0.0515842380604219,0,0.0423021837415231,0.0281900225877478,0.121035053717228,0.0494144529930151,0,0.0368566490548345,0.0825128523505725,0,0.0950157188572935
"LUNG-NSCLC2-0631",0.0033245066192922,0.0789197190465576,0.028234560883552,0.153282300953857,0.121164531721633,0.0558023780706414,0.0428352903617789,0.0789197190465576,0.028234560883552,0.153282300953857,0.100329847854773,0,0.0810792888168017,0.116441646504744,0.130240974973134,0.130429527614232
"LUNG-NSCLC2-0632",0.0069021191122145,0.024970509116703,0.051408264879467,0.0877115861746429,0.192522194926876,0.0677028098567766,0.0214702962029225,0.024970509116703,0.051408264879467,0.0877115861746429,0.224545903391306,0,0.0089902796178176,0.183391699812879,0.084467670648347,0.174819145285806
"LUNG-NSCLC2-0633",0.0022683185248739,0.0413783557237699,0.0970719212443236,0.152348966987407,0,0.0297184659846079,0.0472968976238511,0.0413783557237699,0.0970719212443236,0.152348966987407,0.170374781008164,0.0305541601603401,0.0401714573983932,0,0.122920690517225,0.149131042713212
"LUNG-NSCLC2-0635",0,0.032175824344575,0.0133105595103311,0.0825429192637534,0.0557765494883588,0.0457470354999794,0.0393886914800436,0.032175824344575,0.0133105595103311,0.0825429192637534,0.115948838893405,0,0.018989866979733,0.0370689224523011,0.179091387464589,0.0796459095728053
"LUNG-NSCLC2-0641",0,0.0403016430336724,0.0586139853915147,0.0767493462481766,0,0.0296240989475864,0.154726179553514,0.0403016430336724,0.0586139853915147,0.0767493462481766,0.023591495792131,0,0.0416477271746312,0,0.05965216432576,0.0995726262238838
"LUNG-NSCLC2-0648",0,0.0462925940812052,0.0253301093074002,0.144476443378311,0,0.0340015183561158,0.027725986571747,0.0462925940812052,0.0253301093074002,0.144476443378311,0,0,0.0541314845303602,0.0178905066303461,0.105643665341337,0.063214882409448
"LUNG-NSCLC2-0652",0,0.0218412380262865,0.0463717979527236,0.100124653406626,0.0317981407860286,0.0335755654125364,0,0.0218412380262865,0.0463717979527236,0.100124653406626,0,0.0174297477343288,0.0205328006312153,0.0245670254179068,0,0
"LUNG-NSCLC2-0657",0,0.0238439549424274,0.0458279288100634,0.070069413705,0.035949036488827,0.0301761432060866,0.0014382330910773,0.0238439549424274,0.0458279288100634,0.070069413705,0.030618041373008,0,0.0216735107897457,0.0118452032286393,0.104166616216068,0.0368492569164898
"LUNG-NSCLC2-0660",0.0365941001484333,0.0123842629937113,0.0413272439693434,0.0924966250499956,0.0726115593732205,0.0412906958706738,0.0646109527684883,0.0123842629937113,0.0413272439693434,0.0924966250499956,0,0.0494792778120375,0.0250664620419192,0.0700661069803011,0.154016077839755,0
"LUNG-NSCLC2-0678",0,0.0539660836241705,0.0173864249075376,0.0710640559928409,0,0.0452466144287737,0.1303409971242,0.0539660836241705,0.0173864249075376,0.0710640559928409,0.0313590983514978,0,0.0592655219295241,0,0.461089938604443,0.196880378603766
"LUNG-NSCLC2-0683",0,0.0755258044738335,0.0400252238041726,0.127637813311768,0.0613191482835022,0.0450674861475162,0,0.0755258044738335,0.0400252238041726,0.127637813311768,0,0,0.0598788736723936,0.062985514315998,0.0667185842269574,0
"LUNG-NSCLC2-0685",0,0.0470897800871506,0.0638863390399002,0.0769443506276699,0.0928396810889354,0.0460057999070104,0.110598023651315,0.0470897800871506,0.0638863390399002,0.0769443506276699,0.334622560141327,0,0.0386963977613125,0.0609994923454102,0.311570037051167,0.0167379866555227
"LUNG-NSCLC2-0687",0,0.0199581915406503,0.0423366299765978,0.0881743069136259,0.0370043391593722,0.0335606332971317,0,0.0199581915406503,0.0423366299765978,0.0881743069136259,0,0,0.0220162871146023,0.0479468538065043,0,0
"LUNG-NSCLC2-0689",0.0243910357825968,0.062523518144019,0.0237711937280615,0.153238032117854,0.0069395230512776,0.0463192201853512,0.0651985258654258,0.062523518144019,0.0237711937280615,0.153238032117854,0.159541338004803,0.038957732643526,0.0503316693117905,0.0324775930689776,0.0745257626528094,0.165420413649681
"LUNG-NSCLC2-0695",0.0354438207768707,0.0754171086627908,0.0230571102714731,0.164390426434623,0.118147026034568,0.0607136523110323,0,0.0754171086627908,0.0230571102714731,0.164390426434623,0,0.0729423496984215,0.0721615764433358,0.0997930581993679,0.515011005096297,0
"LUNG-NSCLC2-0696",0,0.0824794597026725,0.0720630326549553,0.14738136843465,0.0772407035960677,0.0448792896654427,0.127075753983225,0.0824794597026725,0.0720630326549553,0.14738136843465,0,0,0.079298289131262,0.0089219373747807,0.15118336524775,0.0609860308463547
"LUNG-NSCLC2-0698",0.0185502886946802,0.0340789438316235,0.0191860059603504,0.099200937389956,0.0401801714513485,0.0366138129440752,0,0.0340789438316235,0.0191860059603504,0.099200937389956,0,0.0476474452427589,0.035608429132704,0.0074726913141132,0,0
"LUNG-NSCLC2-0704",0.0163693443253528,0.0347589484962092,0.0452164352976992,0.0534667118932958,0.0306683579503097,0.0625038468955528,0.0455612739880475,0.0347589484962092,0.0452164352976992,0.0534667118932958,0.0026378993542704,0.0011190710140059,0.0255296102145447,0.0379947093421163,0,0.070007321435129
"LUNG-NSCLC2-0705",0,0.0215921754153333,0.0257325811314999,0.107537888964474,0,0.0343109615568562,0.00906569421502,0.0215921754153333,0.0257325811314999,0.107537888964474,0,0,0.0071188269591691,0.00091438659283701,0.220586447349002,0
"LUNG-NSCLC2-0707",0,0.0765893015660506,0.110468281467418,0.122693329064555,0.0292420221054896,0.0413258180879177,0.0828896828439046,0.0765893015660506,0.110468281467418,0.122693329064555,0.06954691808841,0.0171000597339678,0.0748134570688898,0,0.287458644352464,0.0405401186682894
"LUNG-NSCLC2-0709",0.0238756338367745,0.0718155455228946,0.012835410290365,0.132669846630777,0.104098736356399,0.0588329357195229,0.0379725206917755,0.0718155455228946,0.012835410290365,0.132669846630777,0.25374727992519,0.0252944807507892,0.0774959376691095,0.114546129132294,0.518319442570584,0.205066248700996
"LUNG-NSCLC2-0712",0,0.0397359011959597,0.0321450867790089,0.0659316962046562,0.110365515362406,0.0512851849463245,0,0.0397359011959597,0.0321450867790089,0.0659316962046562,0.0305589316829428,0.110131493645914,0.0392397960639859,0.0845918190952503,0.302496046824672,0.230898843765917
"LUNG-NSCLC2-0714",0.0083927474688702,0.0349027203914962,0.0383756902385856,0.113000143995033,0.0879339824280088,0.0566406449256501,0,0.0349027203914962,0.0383756902385856,0.113000143995033,0.111872318124395,0.0057124182114298,0.0189515064012404,0.0862901419843,0.32479453655268,0
"LUNG-NSCLC2-0715",0,0.0291026234015642,0.0411499557799087,0.130933315602373,0.0215473206013594,0.0373647166930384,0.0505317863261069,0.0291026234015642,0.0411499557799087,0.130933315602373,0.161118097672176,0,0.0271630367979151,0,0.242560427167318,0.0373881920156573
"LUNG-NSCLC2-0718",0,0.0942249117946647,0,0.127590753494483,0.0044980849057071,0.0376197316880865,0.0143908685463507,0.0942249117946647,0,0.127590753494483,0,0,0.110675469913964,0,0,0.0456293857010468
"LUNG-NSCLC2-0720",0,0.0811972958193646,0.0425818374626559,0.112724541828513,0.0791687587049497,0.0346315150494084,0.0064514655581908,0.0811972958193646,0.0425818374626559,0.112724541828513,0,0,0.0851879856543768,0.0829918065961537,0.0259201406256293,0
"LUNG-NSCLC2-0727",0.0029339127220781,0.107458553440013,0.0316665161583835,0.136013555169103,0.0025227183691969,0.033095790056346,0,0.107458553440013,0.0316665161583835,0.136013555169103,0,0.0046613108449486,0.111168907275752,0.0174289003398239,0.120557561300775,0
"LUNG-NSCLC2-0728",0.0620206349660855,0.055139816111719,0.0545389258326369,0.124774086939484,0.0732568182527035,0.0303123274513606,0.0571823767100883,0.055139816111719,0.0545389258326369,0.124774086939484,0.277898169610049,0.0808816265862538,0.0599497442645063,0.0224726645734768,0.156828267800049,0.0674565227313893
"LUNG-NSCLC2-0729",0,0.0275577784242497,0.0185166296751112,0.117456133449479,0.0221457338299726,0.0340569239910338,0,0.0275577784242497,0.0185166296751112,0.117456133449479,0,0.0316497030320218,0.0459812980349791,0.0099144514982005,0.267046336942207,0
"LUNG-NSCLC2-0730",0,0.025098870664311,0.0592664122940731,0.0475948001549173,0,0.0408935985280069,0.0318062582039228,0.025098870664311,0.0592664122940731,0.0475948001549173,0,0,0.0114149594593357,0,0.327290590642017,0.115526714104207
"LUNG-NSCLC2-0732",0,0.025505649782866,0.0360710944584503,0.127757291474929,0.121812849388315,0.0781631261321377,0.0764389888336338,0.025505649782866,0.0360710944584503,0.127757291474929,0.176548264066392,0.0104616998538921,0.0096879404694814,0.121255111494479,0.318329648643944,0.10407162484498
"LUNG-NSCLC2-0734",0,0.018389373798405,0.0461196427984476,0.137331586759035,0.0608793578297752,0.0550539623132468,0.127967854168251,0.018389373798405,0.0461196427984476,0.137331586759035,0.26261710970731,0,0.0135663577985131,0,0.153286090080246,0.048268522186756
"LUNG-NSCLC2-0736",0,0.0480122174675431,0.0417041257801036,0.0946166432632081,0.0148480558726696,0.0113647726412281,0,0.0480122174675431,0.0417041257801036,0.0946166432632081,0,0,0.043048243678304,0.0060400811456293,0.376057158885758,0
"LUNG-NSCLC2-0737",0.0081644950234756,0.0195338624989262,0.0670727934667518,0.110727872963639,0,0.0321299404553323,0,0.0195338624989262,0.0670727934667518,0.110727872963639,0,0.0091008071200551,0.0387811230423958,0.0378992264548947,0,0
"LUNG-NSCLC2-0740",0.02000176110961,0.0581667907369831,0.0599903908347461,0.0930750608572851,0.05851893765802,0.0536234871006631,0.0330289064776063,0.0581667907369831,0.0599903908347461,0.0930750608572851,0.0935415513674155,0.0513519572527211,0.0449684039406061,0.007374955144286,0.369202121862564,0.143376833402148
"LUNG-NSCLC2-0742",0,0.0480273577295237,0.0346541273431605,0.102789523159151,0.0611193767506031,0.0442482453157411,0.0067152748029975,0.0480273577295237,0.0346541273431605,0.102789523159151,0,0,0.0322993980660479,0.0333024075156177,0.139054580655926,0.0023712103831454
"LUNG-NSCLC2-0743",0,0.0372952572409985,0.0400644767019362,0.0828303244751691,0,0.0116808820951394,0,0.0372952572409985,0.0400644767019362,0.0828303244751691,0,0,0.0423499803914128,0,0,0
