"","B_LungPredict_Subgroup_6","B_LungPredict_Subgroup_7","B_LungPredict_Subgroup_1_2_5_4","CAF_LungPredict_Subgroup_1_2","Cancer_LungPredict_Subgroup_3","CD4_LungPredict_Subgroup_1_3_4","CD8_LungPredict_Subgroup_4","CD8_LungPredict_Subgroup_1_6_5","CD8_LungPredict_Subgroup_2_7","M1_LungPredict_Subgroup_1_5_3","M1_LungPredict_Subgroup_4_6","M2_LungPredict_Subgroup_3","M2_LungPredict_Subgroup_1_4","Mono_LungPredict_Subgroup_1_2","Neutrophils_LungPredict_Subgroup_1_2","NK_LungPredict_Subgroup_2","Dendritic_LungPredict_Subgroup_1","Dendritic_LungPredict_Subgroup_2_3","Endothelial_LungPredict_Subgroup_1_2","Macrophages_LungPredict_Subgroup_1_2"
"LP.01.20",0.232708450330123,0.509352843859247,0.0598553129014837,0.712787947434966,0.18905402716427,0.10837334716134,0.0704663530515146,0.000587003327719378,0.137933092115104,0.259468613987108,0.244356133801827,0.0852561983688187,0.0191029388710563,0.0712459250863038,0.132629904491879,0.0213503854336191,0.145516380972132,0.0782850468501946,0.0906365095439985,0.0568038417196305
"LP.01.22",0.273004150465231,0.521784589811627,0.0299865350099633,0.518700366434391,0.334890064090786,0.0220815943728077,0.0697868831337143,0,0.144305848343291,0.101995204401971,0.256398637596849,0.0830706418536981,0.250212978102105,0.0370806674993162,0.096901638056217,0.0056806732306078,0.0315924107716151,0.184165063712068,0.194235306393552,0.0748275965467154
"LP.01.24",0.146368808869605,0.520797837340623,0.0725330554823617,0.370919166363497,0.0239931457727226,0.213789760338461,0.0230124085902675,0.016413119674719,0.0513962168251317,0.346543118943079,0.251087315379873,0.155100590287157,0.108213769716051,0.108156633015298,0.195342754103162,0.0422524527377622,0.0261890475060779,0.0669026136293411,0.130163621009531,0.199231613668409
"LP.01.25",0.224054813736112,0.606454753338943,0.0443399327728692,0.48816394166889,0.0959486660745839,0.150113478656724,0.0404411324005586,0.005423488728051,0.0672337535556423,0.47864388940531,0.229297974940192,0.0867012806745411,0.0668812880248154,0.0896007602424318,0.161660883435393,0.0313049356928621,0.0096351180939669,0.0395202824618802,0.108805727649749,0.217535282722048
"LP.01.28",0.177263030924383,0.500808481001228,0.0534600122025963,0.564766856101422,0.0306741566850749,0.0875652746847123,0.0416077141798693,0.00137784805571564,0.0486893867329191,0.294818712562933,0.246943367090184,0.126851997454245,0.30347871832063,0.0914688570174707,0.14023854979691,0.0428373015193019,0.0256815833509608,0.0262271662713108,0.157447442526998,0.16257662058181
"LP.01.31",0.255664371586858,0.555880522977885,0.0348455211942971,0.517439651651793,0.121905730620216,0.0315701200353669,0.10257391427999,0.00125686076829187,0.109482784122313,0.400484403264989,0.274720077216145,0.071809360929847,0.16411509022537,0.0539307669076805,0.0900873763690947,0.0240089327932967,0.0166472842555229,0.0969984366753008,0.20142195209144,0.126796095243972
"LP.01.35",0.100684189821899,0.552352079165815,0.056374741243591,0.478224055661123,0.0157455023609631,0.21248220811455,0.00785661537343305,0.00578155700697515,0.0284486111375428,0.602420266277589,0.35672985458791,0.0989802408454393,0.0339315287784644,0.122406411790956,0.103535692277523,0.0377605225693334,0.0127675270251511,0.0354010357135975,0.0450505638339602,0.19624753980163
"LP.01.40",0.139403393596311,0.420732156465458,0.020828264094185,0.435764285781692,0.599156669996489,0.0737496477457425,0.0733130824613639,0.00863414361605065,0.127236147244929,0.260877893969227,0.435386333079044,0.0517265916213897,0.0279155346359471,0.0553093182294038,0.119766636222734,0.00171682015901053,0.00309004493629585,0.259810798908206,0.0714047930115726,0.117537298841081
"LP.01.42",0.086644315530094,0.438277541941291,0.0632947962940061,0.584039729884302,0.403944906180238,0.140112133416101,0.0899912240642987,0.00133639298957762,0.127060089037125,0.471926067894961,0.260914307977371,0.0551148351343087,0.0178607071844408,0.0851802445190889,0.0728635252751537,0.0045190675562595,0,0.154492257541229,0.0313594842369851,0.0776951232438579
"LP.01.46",0.308455803314192,0.665770157641517,0.0351102814313654,0.437880692055823,0.158399922325041,0.0919354638201273,0.0746283672861016,0.00830423355712231,0.139329787727033,0.254976946757252,0.106601548922278,0.0372431326037495,0.199059449841975,0.084967737904607,0.0830725467477611,0.0536625473012445,0.027530698476203,0.133126445786826,0.0979883740242606,0.278223695006932
"LP.01.58",0.16775985156279,0.563238409688398,0.0609367480334621,0.558167021558364,0.297518265948935,0.109994353013456,0.0370438084010688,0.0008606090393916,0.149196415222184,0.53055928237395,0.343727874463339,0.0507423293107489,0.0350922466190329,0.0555818779932324,0.110929260364699,0.00312603413099917,0,0.0943819874117079,0.0855164204197961,0.0902074213383083
"LP.01.61",0.110164209217472,0.489544895958083,0.0364678370289503,0.439416864246538,0.698275738243457,0.0219999876917277,0.0465737947025684,0,0.0747035445798205,0.279359626506157,0.205143264727457,0.159151455753936,0.0436341593235098,0.088471388698785,0.0886064813920773,0,0.0187756104999644,0.249572858535609,0.0937414816618029,0.219168336721108
"LP.01.66",0.145945055163072,0.623108791152833,0.091089452516047,0.396567994286326,0.22085679363751,0.123073341368595,0.00839970136549575,0.033704150578975,0.0888320278411319,0.472091003122572,0.284442739939569,0.0888704388281051,0.0604453953466836,0.100873882977799,0.0812445608107806,0.0413528448710457,0.0242109931101174,0.0674697791436406,0.0661408475802803,0.263673072913248
"LP.01.67",0.196413803179682,0.546971999193947,0.0338613995238347,0.475681239394891,0.0190901330077365,0.125050235227846,0.0542230032539227,0,0.0543365484992095,0.490218587494267,0.206994098190216,0.0606250294665965,0.0500330166961818,0.0699589368167409,0.186374205121976,0.0257768811304016,0.00437520914273193,0.120069151618805,0.133765563190046,0.182120345466491
"LP.01.68",0.135224060239179,0.593485517556682,0.0588390512536427,0.292871954004782,0.0277512069313982,0.165223763370331,0.0252468816290565,0,0.0174513868122691,0.369016958837674,0.211140815156747,0.120553445506818,0.13553300657769,0.116605506834858,0.207637041556738,0.0253849931459895,0.0245524488311726,0.00403415817978255,0.164089074453832,0.399085916955996
"Test.FFPE.01",0.1862616792267,0.507355184364613,0.0313344190509077,0.559798499050533,0.538746571560907,0.0862744832501895,0.0612826911968194,0.0225162837768283,0.192000947717639,0.331065652023852,0.230675812250462,0.040286992137545,0.0434270146885588,0.0654781758765239,0.116205783148766,0.00113109945997487,0,0.102232670216681,0.112262083374448,0.106531179097779
"Test.FFPE.03",0.151767400022971,0.711781470180904,0.0486259533933314,0.360811946695844,0.0345206658573787,0.162628069086077,0.0130557011338925,0.0428219073796457,0.0167681223201414,0.364023203520119,0.199050193664101,0.0642940470182632,0.150513531810266,0.097782641881526,0.0723543795664606,0.0494810000982578,0.00164179844984118,0.00308900161915362,0.0700335236819068,0.363468931955349
"Test.FFPE.04",0.24647890845492,0.520757057527057,0.0641774380352051,0.581262261806767,0.260337813500389,0.131875153385002,0.0748402176275512,0.0058835570632772,0.0915589284742762,0.351095806001989,0.285925360118108,0.0536192279865822,0.122236114410712,0.0739629937562654,0.124714603265858,0.0050234338768557,0.0106551865269246,0.00608130172810217,0.134209212361704,0.0959078382532206
"Test.FFPE.05",0.239234698697334,0.584950152969473,0.0837291061376399,0.488924881021065,0.159680939947516,0.117396113658022,0.0193586543368706,0.082489665843849,0.0982076374545785,0.575753113834139,0.248966333702603,0.044877907259896,0.00549694261934941,0.0710351350855674,0.0608214825768279,0.00152614472715419,0,0.0556606385466357,0.0381078813954804,0.157104891907848
"Test.FFPE.06",0.180364502735569,0.495513141680294,0.0410082938298342,0.698916103898418,0.553196087299995,0.062166830589198,0.0250125828934507,0.00718992885783174,0.156494132013856,0.220040864462337,0.203267023531151,0.103572634157809,0.0936910359127204,0.0612790286432169,0.11190726989799,0,0,0.0503555917749705,0.0908567922854936,0.0912952971552078
"Test.FFPE.08",0.170824314579663,0.571175443926768,0.0552593817382119,0.712649233059613,0.477556799933963,0.030935158158917,0.0177459230320537,0.00472500266205666,0.108342413195486,0.341661510244682,0.262681376650997,0.0660820894328917,0.0154608624800997,0.0683545894886198,0.0593395643166834,0,0.0109318906427956,0.0751741791315552,0.0482644674787329,0.144029823966604
