"","Cluster_1","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_2","Cluster_20","Cluster_21","Cluster_22","Cluster_23","Cluster_24","Cluster_25","Cluster_26","Cluster_27","Cluster_28","Cluster_29","Cluster_3","Cluster_30","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9"
"IP.127",0.0937548831994159,0.261595958304535,0.0839628958909918,0,0.110288573802914,0.17403427746505,0,0.0711554850655813,0.0880116707360144,0.105739503115074,0.293859465620984,0.028020445662012,0.111004018020417,0.0610582913109717,0.0235218030377394,0,0.0603597931442764,0.346340435624437,0,0.29408255753066,0.930532748482448,0.286101451087475,0.115437863858629,0.381155264863399,0.387905603224902,0.0362185304943588,0.0238972290486383,0.0655483717332184,0.0816744688128474,0.221129652410482
"IP.138b",0.0827485722755684,0.34996378196722,0.258280025081043,0.0183547782913244,0.102583503134688,0.14326196616813,0.0518253319204907,0.0568449529045513,0.0511430542588041,0.0730680085031021,0.162305113389764,0.0464069747160989,0.0403100687327743,0.00571249231301487,0.0534024121934799,0,0,0.160511340603946,0,0.536962380537189,0.929230024534291,0.318682050987475,0.0694495848055515,0.133917524857651,0.518803901920749,0.0555202117987091,0.0439744945567384,0.0908895228792256,0.0306862504470801,0.194996348985097
"IP.140b",0.0896749417512196,0.219868335381796,0.18328165732318,0.090966005744291,0.107192629721794,0.295783039891292,0.0510457070319534,0.0656859659252688,0.0309251882761359,0.0898823996543957,0.249316026213178,0.0788689234007013,0.0585328121031332,0.0154768916648537,0.0755374057467643,0,0,0.0109608602338915,0.006341697813435,0.452806077533845,0.947032223409015,0.294842618681296,0.07092688305242,0.238788992900508,0.408434895672381,0.10516313610492,0.0412957226803597,0.0872753394807769,0.0478299268464537,0.173492384771521
"IP.197",0.0816156191064016,0.229895916550505,0.12263791072308,0.0181500082997193,0.0915399509207714,0.0514013047717231,0.00707681206036245,0.115831433723804,0.111758164477127,0.0645375365422386,0.205944722562265,0.0221983935452277,0.116176676491102,0.115480932234154,0.0103943376605471,0.0529816750558645,0.038912702074432,0.124355924893916,0.130369668379262,0.388110284203466,0.982042880011708,0.394490174972577,0.0977073174413501,0.617630691457458,0.301080191850646,0.0186927518349827,0.0261882125758843,0.0683580228564802,0.0605973455962033,0.229389646608766
"IP.214",0.0907651934599396,0.0119231865529281,0.0935008036309825,0.0480836419378396,0.118165444952069,0.121899547167778,0.0247870831791712,0.098567176616213,0.0583559278788261,0.063938102735912,0.167631254428138,0.0479786900087277,0.119849749345356,0.0364314622383984,0.0459345629703555,0,0.0661754506761003,0.148354942497741,0.0065442868025121,0.411673391604974,0.906411861272118,0.358535661715414,0.0990643573768324,0.59631716362482,0.319879136829707,0.0341071014068781,0.0282585800773297,0.0791404906145558,0.0738558968235805,0.192783395546806
"IP.28",0.0951167860149269,0,0.0853431103608912,0.0260695954094706,0.104727503402065,0.00795710407016568,0,0.261461711129109,0.0666495845545794,0.0431456706159024,0.273237816359153,0.0260601257770873,0.117277458688685,0.0864741337778397,0.102816484525919,0.26075942842631,0.0618942697884588,0.5,0,0.39321859823373,0.957616615777762,0.393280712111925,0.134351839098761,0.643105063223971,0.204147670673376,0.00842823936980071,0.021603874000744,0.0743300827474839,0.0480277927382362,0.223245196645124
"IP.31b",0.0767924138799446,0.265922621745678,0.284456576792808,0.058969238020719,0.0450891566270856,0.181598029904782,0.00534597104223615,0.0873267540072964,0.0409443427950667,0.0527780025950779,0.179193499209025,0.0424627840527621,0.067535037396195,0.0265048074679455,0.0281416643924372,0,0.0428805223945715,0.287757941304754,0,0.493112352153472,0.863606866476661,0.476257085479315,0.0248676635648641,0.0678383058430488,0.434570105287564,0.0234296038409925,0.0610514278503261,0.223275042812877,0.0788077861276947,0.270715079551819
"IP.36",0.0988702458120544,0.23561061292753,0.168659175161811,0.0134717790408509,0.136722602104772,0.035729181602397,0.0149971005927666,0.101685786246828,0.0565737953018366,0.0463534149935766,0.136548589283801,0.0303994428307544,0.101916135797712,0.0211665293033753,0.0836391022367642,0.0293205387300709,0.061851198883117,0,0.0348909934121015,0.477710942840164,0.928063975566736,0.46547916762346,0.125926319467534,0.509921725575355,0.313920477134137,0.0217859462807989,0.0137245830316462,0.142269127167884,0.0421747768686263,0.258308814555864
"IP.38b",0.0965025842770398,0.179467303041202,0.0988255677535104,0.00484463480078303,0.0791730409416918,0.0580030037171354,0.00510400253311335,0.0832790326108139,0.107789793421268,0.0518084420355658,0.203888853621797,0.0237428731987215,0.130881785892496,0.0667249302723133,0,0.152988582858316,0.0849347128665323,0.43385363061069,0.0666938649624068,0.282523597563196,0.94827840202671,0.281366163168684,0.119600862419505,0.583903315779413,0.323024378425433,0.0208603705077214,0.0286406907417113,0.0833804643005006,0.050663060883392,0.390352706064362
"IP.52",0.0721844272964519,0.278331736681916,0.188401307949759,0.0893011296297862,0.108841999176952,0.0811294371087346,0.0160628614452048,0.0872844073030716,0.0448087095702742,0.0686927005291696,0.165074788711804,0.033053548545827,0.084787272002714,0.0445442592452859,0.0648951022008083,0.077002136001048,0.0789370778957833,0.070602750905111,0.0680050886953634,0.475949388402751,0.919433378338141,0.317538858069828,0.0755423929851717,0.386878021909157,0.310863293921203,0.0339604938973279,0.0352340461253395,0.0815907836698967,0.0563100434329769,0.212035812330999
"IP.57",0.0700782738440767,0.318454435509681,0.203608861675973,0.00916158905101605,0.0345671887956508,0.092019210503175,0,0.0773004751834169,0.026039459869243,0.0344736670709715,0.165029182255915,0.0183453492350621,0.0696707238818369,0.0389806755645252,0.00409929203788701,0.34551185327184,0.0756698339755445,0.188266873083336,0,0.529403883315806,0.97709441643961,0.521337140811982,0.0318812494754622,0.621406542650851,0.297688863931484,0.0106220112245251,0.0131960046969985,0.182692168928678,0.142020460021334,0.253222895814453
"IP.58b",0.0992991549968328,0.312195641560789,0.246115540843115,0.102393637378813,0.0768600589936197,0.0336023290676809,0.0436641220678736,0.0348670805762355,0.0375200687282055,0.0848397932147765,0.182463212234263,0.0155718564849566,0.0293114052099314,0.0659146225376543,0.0627500394700742,0.0117177166929303,0,0,0.0697970525144761,0.562854095404231,0.992043346525043,0.282907012589672,0.0700468181144517,0.250840456389063,0.411803810241357,0.109798763494281,0.029326214584984,0.0740536013231378,0.0367490441675252,0.204138151754471
