"","11840006c0017r","11840007c0017r","11840008c0017r","11840009c0017r","11840010c0017r","11840011c0017r","11840012c0017r","11840013c0017r","11840014c0017r","11840016c0017r","11840018c0012r","11840019c0017r","11840020c0017r","11840021c0017r","11840022c0018r","11840023c0013r","11840024c0017r","11840025c0017r","11840026c0017r"
"ATF3",-3.28878298828541,-1.11991460115219,-1.80782926346627,-1.45439367977275,-1.02762867227918,-1.7675895110548,-2.68052497144804,-1.47498506474082,-0.608511115327923,-2.39605080990179,-2.06564555347626,-2.48009679380671,-0.438050981220489,-3.26501762909756,-2.4774528220369,-3.33310515629461,-2.57483890633569,-1.29850836526221,-2.28738198529628
"ATF4",-0.145980693351782,-0.279824558907912,0.0346384646316014,-1.6150125510989,0.87493078492925,-0.521850509538469,1.24875748038537,0.224928318461318,0.112591846693813,0.654568752152764,-0.428918086137038,-1.32470330349196,0.313271377247653,0.162222328525296,-0.801657848879826,-0.907704490356998,0.501517445811957,-0.983973119964352,-0.366306409234715
"ATF6",1.65423446890001,1.05336068698166,1.23768572731336,0.992976866054922,2.15112294425635,1.91551718232286,1.96590018941882,1.09764106693906,1.96705539917303,1.62775774631928,1.75824004433264,2.02528951297719,2.19330635016899,0.789198875034641,1.84187131570836,1.07895873056242,1.04414801140317,1.30080854227226,1.0124370941041
"ATF7",1.63658334971006,2.06451455926469,2.0755617787429,0.877735353032593,2.27081255527963,2.02205898095538,1.27854595745888,1.99841995813615,1.6962204306172,3.04783676422079,2.68893668754412,3.36309762717566,2.12126886587398,2.33246977049944,3.5600782837985,1.92420148416105,3.36732675553749,1.99900267999804,2.23543985885216
"BACH1",0.773122664528082,2.26287300370651,1.31501444062822,0.417173026766434,1.57814013294759,1.44346766698855,0.948752358555993,1.01981636061745,1.42530860921125,0.891240591865811,0.457979838409808,2.88849245237888,0.402126226982162,0.161631806854873,0.211188088525623,1.17255104333393,0.0822094665090111,-0.553774707178812,0.527088742762786
"BACH2",1.45791450245799,1.22874796137204,0.942863274289094,1.48049709261754,1.73339967084955,0.817556695217843,0.732768272507891,1.38423688703019,-0.253795401277065,1.1688649713874,0.183241327952242,3.08441910253481,0.361427058370196,1.02134300877839,1.24428404152258,1.13612430444182,2.20592318602196,1.61699183749557,-1.49599588977676
"BATF",0.992542769380912,0.933819860751239,1.89052351350565,2.18812540383097,1.9874728899453,1.11722837452345,1.89382061606837,2.59270574207497,-0.35062206253922,1.5270095568056,0.802113622590094,2.84805833263222,3.0817190842523,1.56577219644258,2.69623061086436,1.4441492014118,1.60853289817836,2.46042439307972,0.847326639037554
"BCL11A",1.16114327983692,0.0947361637589722,-0.816695487903526,2.22187231680391,1.82684245901546,0.297343941535367,0.957692855778305,1.3733087753953,0.117707775890474,0.165518336387913,1.45166147528803,-0.0177057221369004,1.4837936188927,0.499012103161676,0.688038647296741,0.515687824088617,1.67986144973506,1.3294909876997,0.443436139008989
"BCL6",-0.803267201851578,-2.42933734917507,-0.427176626568616,-2.01124628129092,-3.12702170368579,-1.65659133994979,-3.38303877968192,-2.49983334675832,-2.1544863643619,-1.76856360506933,-3.32834456788411,-1.21389597938601,-1.02777365119474,-0.899983204492266,-1.56807079144209,-1.71989551270247,-2.31591580470233,-1.36127258965943,-1.44612293633167
"BHLHE22",-1.02859506037176,-1.30161057568095,0.568394074105218,-1.49531386634259,-2.03378795943434,-0.707154905907516,-1.32383801210045,-2.3607837782675,-1.73016161229186,-1.07832871048615,-0.303527699935265,-0.31264221209822,-1.85631840143555,-0.360065302164236,-1.28875340542603,-0.893749564893484,-2.02026096424679,-1.45186644969779,-2.22539469947748
"BHLHE40",-2.79786943700481,-1.74089527242054,-2.93500853680151,-3.19711250479014,-1.22240205026151,-2.0019707307697,-1.92481971551588,-1.32119447616999,-1.7571069837035,-1.78935373894346,-1.5094408532012,-2.02597192691996,-2.25573508081441,-1.77228651279605,-2.39110793107083,-3.01044070618503,-1.17907736727807,-0.67188367210168,-1.78563827071821
"BPTF",-2.12434952165654,-1.77716132374188,-2.15517536178847,-2.59355455718441,-2.3710274134583,-2.05478780227224,-1.99518623002271,-1.36526323560147,-1.47282775399726,-1.85645999516428,-1.65062529389641,-2.10543541143626,-1.5473512498008,-2.05156898848737,-1.84661186206535,-1.89909081953779,-2.53904580973881,-0.519449941700505,-2.01383195190523
"BRF2",3.20582778899945,3.46485416692835,3.94319613865073,2.92697218427849,4.44380736718916,4.0766331137141,3.85061022551702,3.99415305849729,4.20514036997451,3.05204544356306,3.24945813675145,4.52399997481111,2.86290644290314,4.13294443739122,2.85825159231935,4.00119792671304,3.14228649186675,3.75812098770704,3.14713432716643
"CBX2",-4.31042909851267,-3.09378774720844,-3.4190071222918,-3.93300465107598,-3.06171642160601,-2.52363486964181,-4.39716323685855,-2.03840990666689,-2.67305925195139,-3.70511663916741,-1.26871614878498,-2.98055677140187,-3.27570425426905,-4.08845230863981,-2.10978345031636,-3.02610530377172,-1.8364243298272,-2.35336530339715,-2.84030367912731
