"","DeconRNASeq_BPRNACan3DProMet_M0","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"LP.01.29",-0.00618080402938977,-0.00709918548758613,0.0689621485818147,0.0651174492763894,0.0689621485818147,0.0651174492763894,0.0682594232973188
"LP.01.31",-0.00618080402938977,-0.00709918548758613,0.0258761114965039,0.0434371612586832,0.0258761114965039,0.0434371612586832,0.0397996791111798
"LP.01.32",0.0158617231312722,0.0131609855463135,0.0338913966488608,0.0296415701433002,0.0338913966488608,0.0296415701433002,0.0203520321608
"LP.01.34",-0.00298838999510513,0.000113363953071897,0.037157577883388,0.0329360874628992,0.037157577883388,0.0329360874628992,0.0330593190479723
"LP.01.35",0.017569489556168,0.0204376853381244,0.0721100250984238,0.0404111311006157,0.0721100250984238,0.0404111311006157,0.047832468636267
"LP.01.37",-0.00618080402938977,-0.00709918548758613,0.176285488973639,0.0783053602456624,0.176285488973639,0.0783053602456624,0.207012257080579
"LP.01.38",-0.00618080402938977,-0.00709918548758613,0.175069398300409,0.0842384457348754,0.175069398300409,0.0842384457348754,0.213744854900038
"LP.01.40",-0.00618080402938977,-0.00709918548758613,0.0181085146567743,0.0156401672711641,0.0181085146567743,0.0156401672711641,0.0476924519500224
"LP.01.42",0.0241522688960486,0.0257912135385031,0.0296386869742361,0.0367490261167791,0.0296386869742361,0.0367490261167791,0.0706680643573083
"LP.01.43",0.0502966898548597,0.0525277750863323,0.0125949874695302,0.0305053604107818,0.0125949874695302,0.0305053604107818,0.0268502013059465
"LP.01.44",-0.00108511584141056,0.00391540713259957,0.118564293148461,0.0419541021222789,0.118564293148461,0.0419541021222789,0.131691217494261
"LP.01.45",0.00454997105347333,2.27991019213763e-05,0.0551516051518063,0.0555982250384844,0.0551516051518063,0.0555982250384844,0.0538358918695347
"LP.01.46",0.0127323338227589,0.00720696528980079,0.0377701570503193,0.0320307383426397,0.0377701570503193,0.0320307383426397,0.0414949602481042
"LP.01.47",-0.000651607124813876,-0.00111083444649837,0.061520159089537,0.121590904451076,0.061520159089537,0.121590904451076,0.058263376042944
"LP.01.48",-0.000651607124813876,-0.00111083444649837,0.251357242819772,0.143779726275444,0.251357242819772,0.143779726275444,0.275028597956157
"LP.01.52",-0.000651607124813876,-0.00111083444649837,0.21382147981762,0.0468241341496811,0.21382147981762,0.0468241341496811,0.234468988881667
"LP.01.53",-0.000651607124813876,-0.00111083444649837,0.0786339097099066,0.0569581775049936,0.0786339097099066,0.0569581775049936,0.0435283628492213
"LP.01.56A",-0.000107848896618061,-0.0004840419341857,0.0972027178611124,0.0105916809168064,0.0972027178611124,0.0105916809168064,0.0988120691561693
"LP.01.57",0.0356399584879575,0.0354435958061396,0.0840988539409016,0.0232632361399014,0.0840988539409016,0.0232632361399014,0.108702560485972
"LP.01.58",-0.000651607124813876,-0.00111083444649837,0.0152530896223968,0.0226891449863689,0.0152530896223968,0.0226891449863689,0.0431152792469765
"LP.01.59",-0.000651607124813876,0.00372108200713115,0.0402809319058577,0.0249226661631976,0.0402809319058577,0.0249226661631976,0.0790085532424445
"LP.01.60",-0.000651607124813876,-0.00111083444649837,-0.0100852983895416,0.025316426427849,-0.0100852983895416,0.025316426427849,0.00602291289069393
"LP.01.61",-0.000651607124813876,-0.00111083444649837,0.0450122663816411,0.0163750930446994,0.0450122663816411,0.0163750930446994,0.0885649330877763
"LP.01.62",0.0375673830624163,0.0450706607741319,-0.0100852983895416,-0.00457663898471753,-0.0100852983895416,-0.00457663898471753,-0.0168642010428387
"LP.01.63",-0.000651607124813876,-0.00111083444649837,0.031715870988527,0.0935658382998584,0.031715870988527,0.0935658382998584,0.117645856696253
"LP.01.64",-0.000651607124813876,-0.00111083444649837,-0.0100852983895416,0.0177628918911194,-0.0100852983895416,0.0177628918911194,-0.0168642010428387
"LP.01.66",0.0154203691296839,0.0147775251494418,0.0590318573628669,0.02244912979795,0.0590318573628669,0.02244912979795,0.00158485680799474
"LP.01.67",0.00907778197854948,0.00975516738943073,0.0596948609976682,0.0173057658606196,0.0596948609976682,0.0173057658606196,0.0461561267372914
"LP.01.68",0.00552077910915413,0.00558181369498507,0.183753207067429,0.0263232965870154,0.183753207067429,0.0263232965870154,0.192836788379239
"LP.01.70",0.0495250891671097,0.0504334958481318,0.0592765690793255,0.0446640292297588,0.0592765690793255,0.0446640292297588,0.107338624414343
"LP.01.71",0.0114671837891267,0.0150335188054252,0.106614348221859,0.0510086208062529,0.106614348221859,0.0510086208062529,0.0721040237768886
"LP.01.72",-0.000651607124813876,-0.00111083444649837,0.0070073076597541,0.0504366705966559,0.0070073076597541,0.0504366705966559,1.13303357486341e-05
"Test.FFPE.01",0.00463714598797738,0.00612352332395989,0.0651958727671417,0.0395308963565618,0.0651958727671417,0.0395308963565618,0.0346709239117779
"Test.FFPE.02",0.0102840850058503,0.0109583271342612,0.0353667762237373,0.031882811880152,0.0353667762237373,0.031882811880152,0.0391505008657995
"Test.FFPE.03",0.0105819713745492,0.00612352332395989,0.070896129092867,0.0409449367305868,0.070896129092867,0.0409449367305868,0.100176598867468
"Test.FFPE.04",0.0266224572242502,0.0257952491016908,0.0119606195667667,0.038376832079733,0.0119606195667667,0.038376832079733,-0.00294560829661095
"Test.FFPE.05",0.00463714598797738,0.00612352332395989,0.0229601816686168,0.0333592072103272,0.0229601816686168,0.0333592072103272,0.014329994139128
"Test.FFPE.06",0.00463714598797738,0.00612352332395989,0.00939787353198787,0.0340656267330026,0.00939787353198787,0.0340656267330026,0.0372641247733871
"Test.FFPE.07",0.00463714598797738,0.00612352332395989,-0.0147939745615049,0.0162317327243277,-0.0147939745615049,0.0162317327243277,-0.0200069025478648
"Test.FFPE.08",0.00463714598797738,0.00612352332395989,0.0466181586149498,0.0376117344186332,0.0466181586149498,0.0376117344186332,0.0694509639259522
"Test.FFPE.09",0.00463714598797738,0.00612352332395989,0.372615903579514,0.11729300697854,0.372615903579514,0.11729300697854,0.403214383582472
"Test.FFPE.10",0.00952628610607922,0.00809747967905339,0.0806769267198592,0.032343981131721,0.0806769267198592,0.032343981131721,0.115174920353595
