"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__TIL10__B.cells","CBSX__CD226__B"
"LP.01.17",0.0950302433034685,0.0629066759763863,0.0823080401655169,0.0626254531618018,0.0719456667140566,0.0809569653566398,0.0647692934952644,0.880272231487521,0.484402808512254,0.0341309457827034,0.100685995000463,0.114421908262166,0.0311050148810973,0.13348110221716,0.205692914768282,0.221660082095772,0.880272231487521,0.484402808512254,0.0341309457827034,0.100685995000463,0.160026380494471,0.75439533504939,0.0439270838952811,0.00412694948292674,0.213257516989808
"LP.01.18",0.0298172930600765,0.0140346183737425,0.0772111280022866,0.0106254813095335,0.0640955907121919,0.0170944276238883,0.0672450157374927,0.978548205780728,0.682280445891689,0.0138451289673101,0.0745332111210553,0.0954468847130858,0.00395554326379164,0.0369047755814026,0.259542556400909,0.376437340157593,0.978548205780728,0.682280445891689,0.0138451289673101,0.0745332111210553,0.0760078649399072,0.922350702171443,0.0101255516430295,0.00412694948292674,0.218685990676478
"LP.01.19",0.0432388741600157,0.0219261957656248,0.0881320333209839,0.0182578558804704,0.0773516613458344,0.0310208087634356,0.0767414160881262,0.954926485489759,0.589917549671804,0.0199317428383145,0.106623920568349,0.0971453345786383,0.00395554326379164,0.054559661720133,0.145698277299675,0.363755813937827,0.954926485489759,0.589917549671804,0.0199317428383145,0.106623920568349,0.0759045473543882,0.838230050459707,0.0101255516430295,0.00412694948292674,0.149765855122496
"LP.01.20",0.0574394653910418,0.0385413545249411,0.0857490821542091,0.0344837424236098,0.0743176021212502,0.0523825430417578,0.0723833334494116,0.910053398164917,0.444050168031743,0.061782537200603,0.104595234643589,0.124055182731154,0.00528824602446586,0.104163762005358,0.324000942785979,0.232471589169522,0.910053398164917,0.444050168031743,0.061782537200603,0.104595234643589,0.132763831227468,0.85266202580384,0.0622133671839845,0.00412694948292674,0.188293993581643
"LP.01.22",0.0214507394732756,0.00949202940215834,0.121058477882058,0.0067286312546605,0.108381387885715,0.0139013114446827,0.111718029713931,0.900299405971051,0.391740063421095,0.0108599337559991,0.102221239181028,0.131790168182314,0.00395554326379164,0.0679489720687386,0.373774925311246,0.249105551756738,0.900299405971051,0.391740063421095,0.0108599337559991,0.102221239181028,0.11172965098288,0.860891555121384,0.0101255516430295,0.00412694948292674,0.21911141132659
"LP.01.23",0.0398675921088929,0.0162506396144734,0.0850274548421947,0.0121973207385973,0.0740046766697601,0.0205045390757337,0.0687687699868361,0.952182302815343,0.648633103886743,0.0174817467757243,0.0885987759780525,0.103547656552935,0.00395554326379164,0.0567962131278936,0.194405744333405,0.39446332284541,0.952182302815343,0.648633103886743,0.0174817467757243,0.0885987759780525,0.083561811230053,0.899863701326372,0.0101255516430295,0.00412694948292674,0.183493789061136
"LP.01.24",0.0951003493112459,0.070238333470545,0.0958680155462656,0.0665054535873935,0.0843079689651847,0.0727541852266978,0.0750755779867775,0.96003784545285,0.579147894631027,0.0229862537004837,0.088045162619525,0.0896739235462932,0.0413630300268195,0.12136073860394,0.186449918545883,0.245610330085536,0.96003784545285,0.579147894631027,0.0229862537004837,0.088045162619525,0.135749048612836,0.862413271850578,0.0250214026248842,0.00412694948292674,0.153165734900702
"LP.01.25",0.0531053103826719,0.0225805600737906,0.081388264553204,0.0190479119994217,0.0692616214529275,0.0225022418799306,0.0591849629906412,0.972603812658628,0.620854325644158,0.0789946840169637,0.0961101371561524,0.104220047156764,0.00395554326379164,0.0674099619941487,0.284652811866285,0.39819142364306,0.972603812658628,0.620854325644158,0.0789946840169637,0.0961101371561524,0.0942879046352487,0.881146010289695,0.0858942292746278,0.00412694948292674,0.210334851313313
"LP.01.28",0.0827789973451756,0.0208269843988895,0.0906116244821485,0.0195882262898033,0.0799891020658091,0.0238522451059658,0.0688966028492798,0.974704107673498,0.48231919804482,0.0266704132097173,0.0740979609478098,0.096328013576287,0.00942486924503261,0.125847402820348,0.22566984831118,0.222819920207913,0.974704107673498,0.48231919804482,0.0266704132097173,0.0740979609478098,0.141428476010484,0.845224969049411,0.0149841312320839,0.00412694948292674,0.17573424924496
"LP.01.29",0.0392966263821821,0.0182471826814859,0.0894312939002414,0.0168922783170071,0.0792715814949829,0.0326020155711833,0.101271453740098,0.831243124676018,0.516629035622168,0.0243456624486387,0.105152327693041,0.112638791867053,0.00395554326379164,0.0506520252258629,0.157652900624053,0.237567528071046,0.831243124676018,0.516629035622168,0.0243456624486387,0.105152327693041,0.0983358538246301,0.678956660224534,0.0172968327983393,0.00412694948292674,0.167447497536881
