"","Quantiseq_Macrophage_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"LP.01.17",0.0694986708127339,0.00876743428223855,0.0746492354775757,-0.00369210068983919,-0.00761624263374166,0.0164661089110833,0.0939057572387121,0.0162132006602656,0.0430189934807571,0.0887593800753907
"LP.01.18",0.0657865720979857,0.0915353530861202,0.04201341083153,-0.00369210068983919,-0.000446553818165049,0.141459654001416,0.0745452908445231,0.133427389097706,0.0727666546655117,0.118076692474435
"LP.01.19",0.0708655049391212,0.0235724004827887,0.0792392660493526,-0.00369210068983919,0.0530152779069134,0.0164661089110833,0.104426177873477,0.110824428461449,0.00795808631575325,0.209624859957187
"LP.01.20",0.0368382390829306,-0.0191606690872819,0.0542765140556093,-0.00369210068983919,0.0374566000732293,0.0164661089110833,0.0728719251127959,0.0162132006602656,0.011366381229755,0.18170461446923
"LP.01.22",0.0919619589714584,0.290540973678443,0.108040060355215,-0.00369210068983919,0.0735849978647166,0.501843371103876,0.137820592063575,0.430563907836542,0.167279507038716,0.139019547132381
"LP.01.23",0.0715408821422457,0.0168674114468208,0.109809157329635,-0.00369210068983919,0.0186443867788812,0.0222867480364094,0.136583863871838,0.159290299668237,0.0108238643341371,0.147920738069458
"LP.01.24",0.0751455182561241,0.156492550797491,0.0676724836348043,0.0862756679023616,0.08986605374903,0.0421281860648191,0.0790574088525349,0.0162132006602656,0.2893957785743,0.248860567956242
"LP.01.25",0.0915733507576862,0.116518141576872,0.0566262785771063,-5.35405601626241e-05,0.0287080408563699,0.0707670616593602,0.0748845775828514,0.0162132006602656,0.00883707171693478,0.19114986047358
"LP.01.28",0.101832944996225,0.443173205938041,0.137706414956961,0.00557515525280076,0.0949914399821133,0.383254823014834,0.152823500966759,0.304563571500521,0.478189599163084,0.239689915873986
"LP.01.29",0.0493415855034526,-0.0191606690872819,0.0532349573567642,-0.00369210068983919,0.0107560278080085,0.0164661089110833,0.0972114916919751,0.0162132006602656,0.00795808631575325,0.114889361121123
